年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成21,2009,0,13000,総数,Tokyo-to,11,56,34,25968717,2333307,23635410,130203,361839,15431,10669
平成22,2010,0,13000,総数,Tokyo-to,11,57,34,26218946,2350992,23867954,131110,366702,15677,10705
平成23,2011,0,13000,総数,Tokyo-to,11,58,33,26347934.6,2365186.1,23982748.5,131510,370716,15699,10723
平成24,2012,0,13000,総数,Tokyo-to,11,58,33,26490398,2384790,24105608,131949,375880,15760,10753
平成25,2013,0,13000,総数,Tokyo-to,11,58,33,26613015,2401441,24211574,132315,380580,15823,10852
平成25,2013,1,13100,区部,All ku,5,23,21,16376880,1679826,14697054,90191,244825,9357,7539
平成25,2013,2,13101,千代田区,Chiyoda-ku,-,-,1,289041,46837,242204,1550,4035,317,216
平成25,2013,2,13102,中央区,Chuo-ku,-,1,-,314614,38858,275756,1833,5726,331,388
平成25,2013,2,13103,港区,Minato-ku,-,1,1,431534,66332,365202,2587,6365,385,337
平成25,2013,2,13104,新宿区,Shinjuku-ku,-,1,1,549849,65536,484313,3675,7841,330,269
平成25,2013,2,13105,文京区,Bunkyo-ku,-,1,1,315278,40686,274592,1927,4727,257,206
平成25,2013,2,13106,台東区,Taito-ku,-,-,-,410486,34005,376481,2402,7098,235,212
平成25,2013,2,13107,墨田区,Sumida-ku,-,-,1,501493,56092,445401,2853,8052,373,318
平成25,2013,2,13108,江東区,Koto-ku,-,4,1,742662,106582,636080,3759,10005,687,553
平成25,2013,2,13109,品川区,Shinagawa-ku,-,-,1,578279,58109,520170,2853,8334,326,350
平成25,2013,2,13110,目黒区,Meguro-ku,-,1,1,447950,38159,409791,2429,7278,187,216
平成25,2013,2,13111,大田区,Ota-ku,-,2,1,1166995,115353,1051642,6201,18451,674,677
平成25,2013,2,13112,世田谷区,Setagaya-ku,2,3,1,1620870,167672,1453198,9057,23191,818,702
平成25,2013,2,13113,渋谷区,Shibuya-ku,-,-,1,394889,37333,357556,2289,6493,208,144
