年次,Year,月次 ,Month,立会日数 Trading days,上場会社数 (年・月末) Number of listed companies (End of y.& m.),時価総額 (年・月末）(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数 (千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証第二部株価指数平均 TSE Second section stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成21,2009,総数,Total,243,452,3583698,41985,76.37,2049.7,169.68,2.74
平成22,2010,総数,Total,245,431,3447326,29857,57.36,2129.54,170.08,2.32
平成23,2011,総数,Total,245,431,3240483,40206,79.71,2215.57,166.84,2.29
平成24,2012,総数,Total,248,415,3227363,31063,66.09,2280.83,159.18,2.32
平成25,2013,総数,Total,245,559,5539515,90716,173.34,3153.42,191.81,1.89
平成25,2013,1,Jan.,19,414,3556701,63230,10.8,2627.56,170,2.08
平成25,2013,2,Feb.,19,412,3640643,47768,8.15,2767.35,176.16,2.01
平成25,2013,3,Mar.,20,411,3862508,43895,7.92,3018.02,188.22,1.88
平成25,2013,4,Apr.,21,413,4183421,77378,14.7,3123.73,187.47,1.82
平成25,2013,5,May,21,409,4051445,90352,17.1,3325.73,199.04,1.77
平成25,2013,6,June,20,410,3776312,41601,7.48,3008.79,183.98,1.95
平成25,2013,7,July,22,568,5219824,57123,9.79,3163.76,192.47,1.92
平成25,2013,8,Aug.,22,570,5112195,65790,9.93,3176.46,196.01,1.94
平成25,2013,9,Sept.,19,566,5530742,111467,14.54,3296.79,201.09,1.89
平成25,2013,10,Oct.,22,563,5471873,135313,20.38,3391.45,200.22,1.84
平成25,2013,11,Nov.,20,561,5441621,173115,23.66,3409.27,202.69,1.82
平成25,2013,12,Dec.,20,559,5539515,181151,24.89,3459.46,201.53,1.83
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (2) 第二部  (平成21～25年) 15-6  TRANSACTIONS OF STOCK (2) THE 2nd SECTION ( 2009-2013 ),,,,,,,,,,,
この表については， 数値の単位未満を切り捨てているため （ただし， 平均値は， 四捨五入），合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注 1) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: 1) Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
