会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,911376,936101,936101
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,911376,936101,936101
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,911376,936101,936101
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,911376,936101,936101
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,1106709,1146012,1125093
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,768826,794073,770202
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,234286,244887,247839
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,103597,107052,107052
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,959638,1000673,977645
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,959638,1000673,977645
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,445,445,715
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,13,13,19
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,1,1,2
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,431,431,694
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,445,445,-
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,445,445,-
母子福祉貸付資金,Funds for families without father,0,歳入,Revenue,4940,4940,5625
母子福祉貸付資金,Funds for families without father,1,事業収入,Operations,2425,2425,2888
母子福祉貸付資金,Funds for families without father,1,繰入金,Funds transferred,653,653,379
母子福祉貸付資金,Funds for families without father,1,諸収入,Miscellaneous,0,0,2
母子福祉貸付資金,Funds for families without father,1,都債,Metropolitan debt,994,994,487
母子福祉貸付資金,Funds for families without father,1,繰越金,Balance brought forward,867,867,1869
母子福祉貸付資金,Funds for families without father,0,歳出,Expenditure,4940,4940,3814
母子福祉貸付資金,Funds for families without father,1,貸付費,Loans,4940,4940,3814
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,6363,6363,6068
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,事業収入,Enterprises,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,234,234,221
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,6129,6129,5844
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,6363,6363,6068
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,扶養年金費,Annuity,6363,6363,6068
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳入,Revenue,2504,2504,3545
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,事業収入,Operations,2474,2474,1044
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰入金,Funds transferred,23,23,21
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,諸収入,Miscellaneous,0,0,0
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰越金,Balance brought forward,7,7,2479
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳出,Expenditure,2504,2504,1059
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,助成費,Subsidies,2504,2504,1059
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳入,Revenue,52,52,87
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,事業収入,Operations,10,10,10
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰入金,Funds transferred,1,1,-
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,諸収入,Miscellaneous,0,0,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰越金,Balance brought forward,41,41,77
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳出,Expenditure,52,52,14
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,助成費,Subsidies,52,52,14
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳入,Revenue,48,48,83
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,事業収入,Operations,24,24,27
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,国庫支出金,National grants-in-aid,6,6,-
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰入金,Funds transferred,4,4,1
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,諸収入,Miscellaneous,0,0,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰越金,Balance brought forward,14,14,55
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳出,Expenditure,48,48,20
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,助成費,Subsidies,48,48,20
と場,Slaughter house,0,歳入,Revenue,6032,6032,5581
と場,Slaughter house,1,使用料及手数料,Charges and fees,1323,1323,1447
と場,Slaughter house,1,繰入金,Funds transferred,4489,4489,3939
と場,Slaughter house,1,諸収入,Miscellaneous,41,41,69
と場,Slaughter house,1,都債,Metropolitan bonds,179,179,127
と場,Slaughter house,1,繰越金,Balance brought forward,0,0,-
と場,Slaughter house,0,歳出,Expenditure,6032,6032,5581
と場,Slaughter house,1,と場事業費,Slaughter house operations,6032,6032,5581
都営住宅等事業,Metropolitan public housing， etc.,0,歳入,Revenue,167873,178230,155611
都営住宅等事業,Metropolitan public housing， etc.,1,分担金及負担金,Beneficiary contribution,454,454,148
都営住宅等事業,Metropolitan public housing， etc.,1,使用料及手数料,Charges and fees,69185,69185,69345
都営住宅等事業,Metropolitan public housing， etc.,1,国庫支出金,National treasury disbursements,31109,35485,25840
都営住宅等事業,Metropolitan public housing， etc.,1,財産収入,Revenue from property ,1758,1758,1693
都営住宅等事業,Metropolitan public housing， etc.,1,繰入金,Funds transferred,30251,30737,29243
都営住宅等事業,Metropolitan public housing， etc.,1,諸収入,Miscellaneous,5050,5244,6149
都営住宅等事業,Metropolitan public housing， etc.,1,都債,Metropolitan bonds,30066,35331,21651
都営住宅等事業,Metropolitan public housing， etc.,1,繰越金,Balance brought forward,0,36,1542
都営住宅等事業,Metropolitan public housing， etc.,0,歳出,Expenditure,167873,178230,154400
都営住宅等事業,Metropolitan public housing， etc.,1,都営住宅等事業費,Metropolitan public housing， etc.,167873,178230,154400
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳入,Revenue,14574,14574,15170
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,保証金収入,Security deposits ,641,641,469
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰入金,Funds transferred,1543,1543,1490
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,諸収入,Miscellaneous,5,5,6
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰越金,Balance brought forward,12385,12385,13205
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳出,Expenditure,1981,1981,1972
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,返還金,Refunds,569,569,560
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰出金,Funds transferred,1412,1412,1412
都市開発資金,Urban development funds,0,歳入,Revenue,2121,2121,352
都市開発資金,Urban development funds,1,財産収入,Revenue from property,1105,1105,352
都市開発資金,Urban development funds,1,繰入金,Funds transferred,16,16,-
都市開発資金,Urban development funds,1,諸収入,Miscellaneous,0,0,0
都市開発資金,Urban development funds,1,都債,Metropolitan bonds,1000,1000,-
都市開発資金,Urban development funds,1,繰越金,Balance brought forward,0,0,-
都市開発資金,Urban development funds,0,歳出,Expenditure,2121,2121,352
都市開発資金,Urban development funds,1,用地費,Land acquisition,2121,2121,352
用地,Land acquisition,0,歳入,Revenue,44769,44840,39792
用地,Land acquisition,1,財産収入,Revenue from property,8482,8482,13889
用地,Land acquisition,1,繰入金,Funds transferred,9911,9911,7227
用地,Land acquisition,1,諸収入,Miscellaneous,1,1,0
用地,Land acquisition,1,都債,Metropolitan bonds,21773,21838,11112
用地,Land acquisition,1,繰越金,Balance brought forward,4603,4609,7564
用地,Land acquisition,0,歳出,Expenditure,44769,44840,32228
用地,Land acquisition,1,用地費,Land acquisition,44769,44840,32228
公債費,Debt services,0,歳入,Revenue,1905390,1905390,1882480
公債費,Debt services,1,財産収入,Revenue from property,3567,3567,4198
公債費,Debt services,1,繰入金,Funds transferred,1404179,1404179,1381281
公債費,Debt services,1,諸収入,Miscellaneous,1,1,0
公債費,Debt services,1,都債,Metropolitan bonds,497643,497643,497001
公債費,Debt services,0,歳出,Expenditure,1905390,1905390,1882480
公債費,Debt services,1,公債費,Debt services,1905390,1905390,1882480
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳入,Revenue,17064,18659,23210
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,分担金及び負担金,Allotments and shares,1,1,-
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,使用料及手数料,Charges and fees,0,0,7
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,財産収入,Revenue from property,0,0,-
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰入金,Funds transferred,7868,8734,4330
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,諸収入,Miscellaneous,0,0,0
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰越金,Balance brought forward,9195,9924,18873
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳出,Expenditure,13009,14605,6766
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,臨海都市基盤整備費,Waterfront urban infrastructure development,13009,14605,6766
,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-3  特別会計予算，決算額 (平成25年度) 21-3  BUDGETS AND SETTLEMENTS OF THE SPECIAL ACCOUNTS ( Fiscal Year 2013 ),,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.  ,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:歳入・歳出　1:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
