年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成21,2009,総数,Total,,,,19975,12686,7289,19975,12686,7289
平成22,2010,総数,Total,,,,21488,14053,7435,21488,14053,7435
平成23,2011,総数,Total,,,,22269,14766,7503,22269,14766,7503
平成24,2012,総数,Total,,,,22850,14813,8037,22850,14813,8037
平成25,2013,総数,Total,,,,24368,16034,8334,24368,16034,8334
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,7454,5321,2133,7453,5321,2132
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,3832,2357,1475,4134,2357,1777
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,737,357,380,680,357,323
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1392,727,665,1321,727,594
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,590,366,224,582,366,216
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1291,810,481,1255,810,445
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,830,572,258,811,572,239
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1441,923,518,1426,923,503
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1712,1155,557,1696,1155,541
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1410,958,452,1378,958,420
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,675,361,314,666,361,305
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1137,785,352,1123,785,338
平成25,2013,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,1867,1342,525,1843,1342,501
,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成21～25年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2009-2013),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
