年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／年／月／日 Year／Month／Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m／s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m／s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／年／月／日 Year／Month／Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／年／月／日 Year／Month／Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m／s or more,地震回数（震度1以上） Earthquakes on record (seismic intensity of one or greater)
平成3,1991,総数,Total,1013.6,16.4,19.8,13.2,64,15,1991-03-07， 1991-04-22,6.6,1733,39,3.4,13.1,北西 NW,1991-02-17,2042,220.5,1992-09-19,121,109,53,19,33,146,121,3,-,4,10,73,22,44
平成4,1992,総数,Total,1014.1,16,19.6,12.7,63,13,1992-04-29,6.5,1823.4,41,3.3,12.8,北 N,1992-02-01,1619.5,119,1992-10-09,116,104,49,18,38,140,116,10,8,5,17,71,18,55
平成5,1993,総数,Total,1013.9,15.5,19,12.3,63,15,1993-05-11,6.7,1711.9,39,3.3,15.5,北北西 NNW,1993-03-29,1872.5,234.5,1993-08-27,137,123,51,14,45,163,137,8,-,1,12,83,18,47
平成6,1994,総数,Total,1013.8,16.9,20.5,13.5,62,13,1994-04-03,6.4,2063.6,47,3.3,12.3,北西 NW,1994-02-21,1131.5,70,1994-06-19,108,92,34,8,42,132,108,9,9,-,19,44,16,47
平成7,1995,総数,Total,1013.2,16.3,20.1,13,60,16,1995-11-18,6.2,2028.1,46,3.3,16,北 N,1995-09-17,1220,93.5,1995-09-17,101,94,40,10,47,140,101,5,2,5,11,45,14,44
平成8,1996,総数,Total,1013.9,15.8,19.7,12.3,62,11,1996-03-16,6.5,1984.2,45,3.3,17,北北西 NNW,1996-09-22,1333.5,259.5,1996-09-22,100,90,34,10,32,131,100,12,5,1,9,48,20,57
平成9,1997,総数,Total,1013.7,16.7,20.6,13.2,63,11,1997-04-25， 1997-04-26,6.3,2063.9,47,3.4,15.4,南西 SW,1997-05-08,1302,98.5,1997-08-23,106,93,44,10,44,133,106,3,-,4,12,56,18,64
平成10,1998,総数,Total,1014.6,16.7,20.5,13.4,68,11,1998-01-24,7.2,1535.4,35,3.2,12.9,南西 SW,1998-03-20,1546.5,94,1998-09-16,132,119,52,16,30,182,132,11,14,2,13,77,13,24
平成11,1999,総数,Total,1013.6,17,20.9,13.6,62,11,1999-12-21,6.3,2008.1,45,3.3,13.9,北北西 NNW,1999-03-22,1622,130.5,1999-07-13,103,94,44,16,46,133,103,5,1,5,7,52,17,14
平成12,2000,総数,Total,1013.4,16.9,20.6,13.6,60,10,2000-01-21,6.4,1962.5,44,3.2,13.8,北西 NW,2000-03-20,1603,115,2000-07-08,112,96,52,13,33,131,112,7,2,1,22,60,18,27
