地域階層,地域コード,地域,District,除却 Removed／建築物数 Number,除却 Removed／床面積の合計 Total floor space,除却 Removed／建築物評価額 Estimated value,災害 Damaged by disasters／建築物数 Number,災 害Damaged by disasters／床面積の合計 Total floor space,災害 Damaged by disasters／建築物損害見積額 Estimated damages
0,13000,総数,Tokyo-to,10595,2637989,9456906,189,12010,108133
1,13100,区部,All ku,7052,2017392,8611083,157,10126,93183
5,13101,千代田区,Chiyoda-ku,49,308300,3885023,3,424,3297
5,13102,中央区,Chuo-ku,124,196380,914269,3,52,1535
5,13103,港区,Minato-ku,119,97453,512111,1,590,9547
5,13104,新宿区,Shinjuku-ku,208,92772,274542,5,246,1449
5,13105,文京区,Bunkyo-ku,177,91311,518369,7,320,4795
5,13106,台東区,Taito-ku,108,22075,1956,2,92,92
5,13107,墨田区,Sumida-ku,258,55043,107298,11,301,301
5,13108,江東区,Koto-ku,175,66622,20242,7,424,1271
5,13109,品川区,Sｈinagawa-ku,307,85062,318332,-,-,-
5,13110,目黒区,Meguro-ku,275,56060,46094,-,-,-
5,13111,大田区,Ota-ku,503,81287,89312,15,637,5096
5,13112,世田谷区,Setagaya-ku,887,145191,131351,18,1164,8127
5,13113,渋谷区,Shibuya-ku,159,66064,135679,3,314,521
5,13114,中野区,Nakano-ku,215,27071,18344,5,119,1602
5,13115,杉並区,Suginami-ku,604,101310,66932,6,301,897
5,13116,豊島区,Toshima-ku,197,25956,22904,-,-,-
5,13117,北区,Kita-ku,294,100426,158667,-,-,-
5,13118,荒川区,Arakawa-ku,176,31144,80465,8,404,5683
5,13119,板橋区,Itabashi-ku,285,40242,34423,20,995,7695
5,13120,練馬区,Nerima-ku,626,74590,69341,6,584,10957
5,13121,足立区,Adachi-ku,472,87438,596944,26,2659,20070
5,13122,葛飾区,Katsushika-ku,385,52137,82666,-,-,-
5,13123,江戸川区,Edogawa-ku,449,113458,525819,11,500,10248
1,13200,市部,All shi,3471,613181,839963,32,1884,14950
5,13201,八王子市,Hachioji-shi,359,44406,33849,12,694,5039
5,13202,立川市,Tachikawa-shi,188,40324,83209,3,335,1340
5,13203,武蔵野市,Musashino-shi,142,30080,16976,-,-,-
5,13204,三鷹市,Mitaka-shi,156,20818,25459,-,-,-
5,13205,青梅市,Ome-shi,130,27045,11198,-,-,-
5,13206,府中市,Fuchu-shi,290,38214,39902,-,-,-
5,13207,昭島市,Akishima-shi,83,13169,12798,-,-,-
5,13208,調布市,Chofu-shi,329,80941,174108,8,281,3066
5,13209,町田市,Machida-shi,280,40680,63709,6,413,4130
5,13210,小金井市,Koganei-shi,86,10387,7423,-,-,-
5,13211,小平市,Kodaira-shi,126,24476,11698,-,-,-
5,13212,日野市,Hino-shi,146,30915,40758,-,-,-
5,13213,東村山市,Higashimurayama-shi,128,15456,12489,-,-,-
5,13214,国分寺市,Kokubunji-shi,132,16379,27848,-,-,-
5,13215,国立市,Kunitachi-shi,56,6490,6538,-,-,-
5,13218,福生市,Fussa-shi,35,4165,4086,-,-,-
5,13219,狛江市,Komae-shi,67,6604,5069,-,-,-
5,13220,東大和市,Higashiyamato-shi,55,5850,5213,-,-,-
5,13221,清瀬市,Kiyose-shi,35,5783,7268,-,-,-
5,13222,東久留米市,Higashikurume-shi,59,11503,15749,-,-,-
5,13223,武蔵村山市,Musashimurayama-shi,51,5039,5336,-,-,-
5,13224,多摩市,Tama-shi,71,33226,126248,-,-,-
5,13225,稲城市,Inagi-shi,51,6810,5301,1,15,187
5,13227,羽村市,Hamura-shi,126,43145,52429,-,-,-
5,13228,あきる野市,Akiruno-shi,71,6303,5461,-,-,-
5,13229,西東京市,Nishitokyo-shi,219,44973,39841,2,146,1188
,,郡部，島部,All gun and islands,72,7416,5860,-,-,-
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,
3-13  地 域 別 滅 失 建 築 物 （平成25年） ,,,,,,,,,
DESTROYED BUILDINGS BY DISTRICT ( 2013 ) ,,,,,,,,,
この表は建築基準法により， 工事施工者から知事に届出のあった建築物除去届及び市町村長からの建築物災害報告によって作成された ,,,,,,,,,
もので，対象は床面積の合計が10平方メートルを越える建築物である。 ,,,,,,,,,
This table is based on notifications of building removal submitted to the Governor by contractors and reports on buildings damaged by ,,,,,,,,,
disasters submitted by the heads of shi，machi，andmura，and covers buildings with total floors pace of more than 10 square meters.,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）    (Space in ㎡， Value in 10 thousand yen),,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,
