年次,Year,地域階層,地域コード,産業 (大分類) Industry (Division),地域，産業 (大分類）,District and industry (Division),事業所数 Number of establishments,従業者数 Number of employees ,従業者数 Number of employees ／（うち) 常雇 (of which) Regular employees
平成13,2001,0,13000,,東京都,Tokyo-to,1369,48746,47484
平成18,2006,0,13000,,東京都,Tokyo-to,1157,41111,40375
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,
8-9  外国の会社の事業所数及び従業者数 (平成13，18年) 8-9  FOREIGN ENTERPRISE ESTABLISHMENTS AND EMPLOYEES， BY　INDUSTRY  ( DIVISION ) AND DISTRICT ( 2001 and 2006 ),,,,,,,,,
外国の会社とは，外国で設立された法人の支店，営業所などのうち，会社法の規定により日本に営業所などの所在地を登録したものをいう。,,,,,,,,,
Foreign enterprises are branches or offices of corporations established in a foreign country that have a registered address in Japan under the regulations of the Companies Act.,,,,,,,,,
資料：都総務局統計部経済統計課 「事業所・企業統計調査報告」Source: Bureau of General Affairs， TMG,,,,,,,,,
