項番 Item number,観測地,Observatory,平成21年 2009 平均 Average,平成22年 2010 平均 Average,平成23年 2011 平均 Average,平成24年 2012 平均 Average,平成25年 2013 平均 Average,平成25年 2013 平均 Average／1月 Jan.,平成25年 2013 平均 Average／2月 Feb.,平成25年 2013 平均 Average／3月 Mar.,平成25年 2013 平均 Average／4月 Apr.,平成25年 2013 平均 Average／5月 May,平成25年 2013 平均 Average／6月 June,平成25年 2013 平均 Average／7月 July,平成25年 2013 平均 Average／8月 Aug.,平成25年 2013 平均 Average／9月 Sept.,平成25年 2013 平均 Average／10月 Oct.,平成25年 2013 平均 Average／11月 Nov.,平成25年 2013 平均 Average／12月 Dec.
1,東京,Tokyo,16.7,16.9,16.5,16.3,17.1,5.5,6.2,12.1,15.2,19.8,22.9,27.3,29.2,25.2,19.8,13.5,8.3
2,江戸川臨海,Edogawarinkai,10.7,16.2,15.9,15.6,16.4,5.2,5.6,11.2,14.3,18.7,22,26,28.3,24.5,19.2,13.2,8
3,練馬,Nerima,16.1,16.3,15.9,-,15.8,3.7,4.6,11,14,19,22.2,26.8,28.4,24,18.7,11.3,6.3
4,府中,Fuchu,15.6,15.8,15.3,14.9,15.6,3.6,4.6,10.9,13.7,18.7,22,26.5,27.9,23.7,18.6,11.1,6.1
5,八王子,Hachioji,14.9,15.2,14.6,14.4,15,2.7,3.6,10.3,13.1,18.3,21.7,26.4,27.7,23,18.1,10.4,4.9
6,青梅,Ome,14.6,14.8,14.3,14,14.7,2.6,3.6,9.9,12.7,18.1,21.4,25.8,27.2,22.7,17.8,9.9,5
7,小河内,Ogochi,12.5,12.6,12.1,11.8,12.6,0.7,1.6,7.9,10.6,15.9,19.2,23.3,24.5,20.3,15.5,8.2,3.1
8,羽田,Haneda,16.4,16.7,16.4,16,16.7,5.6,5.9,11.6,14.7,19,22.1,26.3,28.6,24.6,19.6,13.6,8.4
9,大島,Oshima,16.3,16.6,16.3,16.2,16.5,6.3,7.2,12.5,14.9,18.3,20.8,24.9,27.3,23.8,19.6,13.6,9.2
10,新島,Niijima,17.3,17.7,17.4,17.2,17.4,7.5,8.8,13.7,15.8,18.7,21.1,25,27.8,24.9,21,14.7,10.2
11,三宅島,Miyakejima,17.8,18.2,17.8,17.6,17.8,8.4,9.5,14.2,16.1,18.8,21,25.3,27.6,25,21.3,15.5,11.1
12,八丈島,Hachijojima,17.7,18.3,17.7,17.5,17.9,8.8,10.1,14.5,15.9,18.4,20.5,25.1,27.4,24.8,21.9,15.9,11
13,父島,Chichijima,23.4,23.5,23.2,22.8,22.9,17.7,17.7,20.4,20.8,21.8,25.9,26.9,27.8,27.7,26.4,22.8,19.1
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-6  観測地別平均気温 （平成21～25年） 1-6  AVERAGE TEMPERATURE BY OBSERVATORY ( 2009-2013 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
注1) 記号）: 準正常値 欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,,,,,,
2) 記号］：資料不足値 欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,
3）新島地域気象観測所廃止のため、平成20年以降は新島空港の観測データを掲載。,,,,,,,,,,,,,,,,,,,
Note: 1) A parenthesis following a figure indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,,,,,,
2) A square bracket following a figure indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,,,,,,
3） Due to the closure of  the Niijima observation station， data for 2008 and later years were collected at Niijima Airport.,,,,,,,,,,,,,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
