産業 (大分類) Industry ( Division ),産業 (大分類),Industry ( Division ),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),総数 Total／従業者数 Number of employees 1)／男 Male,総数 Total／従業者数 Number of employees 1)／女 Female ,総数 Total／売上 (収入) 金額／Sales (income) 2),総数 Total／付加価値額／ Added value 2)
,全産業,All industries,627357,8655267,5220831,3396365,…,55638374
A・B,農林漁業,Agriculture， forestry and fisheries,462,3585,2636,949,44477,9494
C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,52,465,385,80,7293,7839
D,建設業,Construction,42564,468233,392966,75264,…,2620441
E,製造業,Manufacturing,50051,706624,510677,195947,12542021,3976230
F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,376,30953,25652,5301,…,745278
G,情報通信業,Information and communications,21792,786859,589950,190604,…,7084617
H,運輸業，郵便業,Transport and postal activities,16718,467518,387314,79812,…,2596312
I,卸売業，小売業,Wholesale and retail trade,154578,1920451,1112989,804894,164897476,12572860
J,金融業，保険業,Finance and insurance,10758,414185,226771,186971,…,6278923
K,不動産業，物品賃貸業,Real estate and goods rental and leasing,58658,343789,214843,126820,13559801,2949992
L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,41024,422454,285092,137257,11514433,4238980
M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,88820,852433,406870,426300,3400126,1360253
N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,46173,349804,164456,182604,9109668,1102222
O,教育，学習支援業,Education， learning support,16330,322331,169220,153111,…,1373203
P,医療，福祉,Medical， health care and welfare,39701,644732,194018,450040,26118392,5089807
Q,複合サービス事業,Compound services,1773,19966,10715,9251,…,91562
R,サービス業 (他に分類されないもの),Services， n.e.c.,37527,900885,526277,371160,…,3540361
,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,
8-3  産業 (大分類) 民営事業所数，従業者数，売上 (収入) 金額及び付加価値額 (平成24年) 8-3  PRIVATELY-OWNED ESTABLISHMENTS， EMPLOYEES， SALES ( INCOME ) AND ADDED VALUE BY INDUSTRY ( DIVISION ) ( 2012 ),,,,,,,,
 「平成24年経済センサス-活動調査」（平成24年2月1日現在）による。ただし，売上（収入）金額及び付加価値額は平成23年１年間の数値である。,,,,,,,,
売上（収入）金額及び付加価値額は，必要な事項の数値が得られた事業所を対象として集計した。,,,,,,,,
Data are based on the Economic Census for Business Activity (as of February 1， 2012).  As for sales (income) and added value， figures are for 2011.,,,,,,,,
Sales (income) and added value figures are only from establishments that provided the necessary figures. ,,,,,,,,
注 1) 男女別の不詳を含む。,,,,,,,,
2) 外国の会社及び法人でない団体を除く。,,,,,,,,
Note: 1) Including gender unknown.,,,,,,,,
"2)  Excluding ""foreign enterprises"" and ""organizations other than corporations.""",,,,,,,,
資料：総務省統計局・経済産業省，都総務局統計部産業統計課「平成21年経済センサス-基礎調査報告」，「平成24年経済センサス-活動調査報告」 Source: Statistics Bureau， Ministry of Internal Affairs and Communications; Ministry of Economy， Trade and Industry; Bureau of General Affairs， TMG ,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,
