年次,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
平成23,2011,出国, Departure,総数,Total,3763993,2512198,461988,16502,580421,54523,137770,591
平成24,2012,出国, Departure,総数,Total,4664876,3062365,621552,20960,730604,63141,165773,481
平成25,2013,出国, Departure,総数,Total,5579939,3768594,719028,22491,803978,60227,205127,494
平成25,2013,出国, Departure,東京,Tokyo,420,363,36,-,17,-,4,-
平成25,2013,出国, Departure,羽田（空港）,Haneda(Airport),1334297,1059090,108920,3737,129482,6050,26923,95
平成25,2013,出国, Departure,成田（空港）,Narita(Airport),4245222,2709141,610072,18754,674479,54177,178200,399
平成23,2011,入国, Entry,総数,Total,3728570,2486288,462308,16257,580304,48644,134267,502
平成24,2012,入国, Entry,総数,Total,4660688,3036606,627955,21140,739312,64521,170693,461
平成25,2013,入国, Entry,総数,Total,5556730,3719011,728440,22874,817154,59862,208938,451
平成25,2013,入国, Entry,東京,Tokyo,184,131,34,-,10,1,8,-
平成25,2013,入国, Entry,羽田（空港）,Haneda(Airport),1293083,1022479,106194,3919,125111,5521,29778,81
平成25,2013,入国, Entry,成田（空港）,Narita(Airport),4263463,2696401,622212,18955,692033,54340,179152,370
,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　国籍別出入国者数 (平成23～25年) 4-26 PERSONS WHO ENTERED OR DEPARTED FROM TOKYO BY NATIONALITY ( 2011-2013 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,,
