年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成22,2010,0,13000,,総数,Tokyo-to,24327936,181967523,17973682,163735182,323916,12609740,982158,26627548,6213912,67099873,10453696,57398021,6354254,18232341,59623,593800,460796,2218537,5833835,15420004,
平成23,2011,0,13000,,総数,Tokyo-to,24341542,182542404,18029761,164431192,319990,12515138,991361,26907903,6218272,67328289,10500138,57679862,6311781,18111212,59219,593077,458944,2211200,5793618,15306935,
平成24,2012,0,13000,,総数,Tokyo-to,24405945,183598991,18133457,165571825,322327,12661521,1006140,27190736,6235692,67638018,10569297,58081549,6272488,18027166,59274,593745,456707,2200508,5756507,15232913,
平成25,2013,0,13000,,総数,Tokyo-to,24431102,184674165,18178522,166684718,320483,12625201,1004049,27886445,6229529,67827829,10624461,58345243,6252580,17989447,58136,588476,429398,2100585,5765046,15300386,
平成26,2014,0,13000,,総数,Tokyo-to,24466923,185309675,18233090,167360258,321179,12677806,1008821,28087240,6220148,67891712,10682942,58703500,6233833,17949417,57650,587833,427461,2093754,5748722,15267830,
平成26,2014,1,13100,,区部,All ku,11874641,102009934,10196300,95891697,296191,11612969,747026,19212404,3864967,37782063,5288116,27284261,1678341,6118237,26066,312686,224071,1002181,1428204,4803370,
平成26,2014,5,13101,1,千代田区,Chiyoda-ku,174825,2770857,174825,2770857,19563,798473,34132,893125,69111,800642,52019,278617,-,-,-,-,-,-,-,-,
平成26,2014,5,13102,2,中央区,Chuo-ku,194885,2990493,186177,2945925,15329,620861,31333,922450,100705,1173728,38810,228886,8708,44568,1141,15149,656,7371,6911,22048,
平成26,2014,5,13103,3,港区,Minato-ku,305366,4402188,285600,4338194,30210,1254894,50922,1324065,87192,1098993,117276,660242,19766,63994,110,826,43,182,19613,62986,
平成26,2014,5,13104,4,新宿区,Shinjuku-ku,355720,3362809,355720,3362809,11636,403626,35896,979234,80355,946768,227833,1033181,-,-,-,-,-,-,-,-,
平成26,2014,5,13105,5,文京区,Bunkyo-ku,207448,1951258,112015,1552414,6147,239446,18525,463665,41774,555420,45569,293883,95433,398844,-,-,16214,88826,79219,310018,
平成26,2014,5,13106,6,台東区,Taito-ku,258371,2626986,217359,2477687,9811,372478,23773,591829,84935,912188,98840,601192,41012,149299,-,-,-,-,41012,149299,
平成26,2014,5,13107,7,墨田区,Sumida-ku,295507,2940735,295401,2940517,3201,117843,35676,876485,108973,1237972,147551,708217,106,218,-,-,-,-,106,218,
平成26,2014,5,13108,8,江東区,Koto-ku,391090,5615124,390013,5610530,37916,1538394,67486,1751584,174571,1633937,110040,686615,1077,4594,-,-,809,3684,268,910,
平成26,2014,5,13109,9,品川区,Shinagawa-ku,380582,3644445,213393,2963207,17995,767843,34524,845960,138082,1187315,22792,162089,167189,681238,80,1529,128888,567390,38221,112319,
平成26,2014,5,13110,10,目黒区,Meguro-ku,355183,2182865,290467,1993111,2835,105142,12210,343841,135635,997139,139787,546989,64716,189754,140,3459,2517,12499,62059,173796,
平成26,2014,5,13111,11,大田区,Ota-ku,850930,7513281,787203,7317664,32440,1111992,47684,1241557,261581,2422898,445498,2541217,63727,195617,839,6837,2106,12189,60782,176591,
平成26,2014,5,13112,12,世田谷区,Setagaya-ku,1185473,8200984,945900,7382210,16258,611577,28714,666310,220476,2324251,680452,3780072,239573,818774,70,578,2876,14542,236627,803654,
平成26,2014,5,13113,13,渋谷区,Shibuya-ku,273126,2732448,245793,2659339,7729,347385,31244,812290,110955,1062885,95865,436779,27333,73109,-,-,-,-,27333,73109,
平成26,2014,5,13114,14,中野区,Nakano-ku,367574,2145859,208575,1590659,925,30438,8630,240295,52469,639259,146551,680667,158999,555200,-,-,-,-,158999,555200,
平成26,2014,5,13115,15,杉並区,Suginami-ku,688389,4610764,503483,3940051,8549,332196,20420,532458,91757,999903,382757,2075494,184906,670713,24,270,1049,4619,183833,665824,
平成26,2014,5,13116,16,豊島区,Toshima-ku,309185,2369376,219254,2065330,4839,180719,19122,535618,47081,552246,148212,796747,89931,304046,-,-,170,682,89761,303364,
平成26,2014,5,13117,17,北区,Kita-ku,372110,2963524,269998,2594046,1986,73793,20354,486944,169196,1620119,78462,413190,102112,369478,13868,115456,26826,98532,61418,155490,
平成26,2014,5,13118,18,荒川区,Arakawa-ku,215084,1661397,215084,1661397,2593,92171,5763,179861,86399,871230,120329,518135,-,-,-,-,-,-,-,-,
平成26,2014,5,13119,19,板橋区,Itabashi-ku,740119,5836065,669275,5517634,17147,762307,37740,904365,149818,1339058,464570,2511904,70844,318431,1655,82359,3447,13981,65742,222091,
平成26,2014,5,13120,20,練馬区,Nerima-ku,1129246,7357076,965801,6700852,5720,223157,27613,756599,415840,3305527,516628,2415569,163445,656224,8139,86223,17597,92470,137709,477531,
平成26,2014,5,13121,21,足立区,Adachi-ku,1046441,9717584,955464,9445149,9824,382638,56873,1612187,541486,5177011,347281,2273313,90977,272435,-,-,18086,71271,72891,201164,
平成26,2014,5,13122,22,葛飾区,Katsushika-ku,702693,5190526,614206,4838825,3566,140685,23563,625730,220554,2667357,366523,1405053,88487,351701,-,-,2787,13943,85700,337758,
平成26,2014,5,13123,23,江戸川区,Edogawa-ku,1075294,9223290,1075294,9223290,29972,1104911,74829,1625952,476022,4256217,494471,2236210,-,-,-,-,-,-,-,-,
平成26,2014,2,13200,,市部,All shi,10304202,71229324,6977751,62180549,24459,1048071,253688,8646145,1939740,24771480,4759864,27714853,3326451,9048775,28576,250203,184295,992179,3113580,7806393,
平成26,2014,5,13201,1,八王子市,Hachioji-shi,1515126,14308404,1294532,13680127,4612,234766,78663,3535604,326926,4503282,884331,5406475,220594,628277,622,4894,3782,19762,216190,603621,
平成26,2014,5,13202,2,立川市,Tachikawa-shi,293999,2569106,231165,2335168,730,32630,16074,539971,93143,1079483,121218,683084,62834,233938,19,198,94,365,62721,233375,
平成26,2014,5,13203,3,武蔵野市,Musashino-shi,146462,1121887,121436,1025300,141,4316,1855,53023,42925,555960,76515,412001,25026,96587,455,3557,2793,15279,21778,77751,
平成26,2014,5,13204,4,三鷹市,Mitaka-shi,290280,1911020,243486,1735063,221,8466,6249,207736,48467,556384,188549,962477,46794,175957,170,1630,1431,6504,45193,167823,
平成26,2014,5,13205,5,青梅市,Ome-shi,959612,4758172,437862,3724003,316,14713,10900,256945,144269,1865808,282377,1586537,521750,1034169,40,289,712,3693,520998,1030187,
平成26,2014,5,13206,6,府中市,Fuchu-shi,477348,3756614,386806,3497406,3072,106112,22639,676871,100831,1279002,260264,1435421,90542,259208,-,-,4242,15990,86300,243218,
平成26,2014,5,13207,7,昭島市,Akishima-shi,253041,1743200,124542,1262264,706,24475,3769,87353,61881,821074,58186,329362,128499,480936,4254,36800,22461,131803,101784,312333,
平成26,2014,5,13208,8,調布市,Chofu-shi,439869,2682960,294951,2304768,586,23790,17370,453574,59649,683704,217346,1143700,144918,378192,181,1265,2092,9858,142645,367069,
