海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
総数,Total,総数,Total,,,3051381
総数,Total,魚類,Fish,総数,Total,2542996
総数,Total,魚類,Fish,きんめだい,Alfonsino,993905
総数,Total,魚類,Fish,かじき類,Swordfish,214801
総数,Total,魚類,Fish,いさき,Grunt,67514
総数,Total,その他の水産動物,Other marine animals,総数,Total,248896
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,119850
総数,Total,その他の水産動物,Other marine animals,いか,Squid,102124
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,9736
総数,Total,貝類,Shellfish,総数,Total,91538
総数,Total,貝類,Shellfish,さざえ,Top shell,43101
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,15319
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,17945
総数,Total,藻類,Seaweed,総数,Total,167951
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,94110
総数,Total,藻類,Seaweed,とさかのり,Comb paste,71243
東京湾海区,Tokyo bay area,総数,Total,,,163285
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,145370
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,24890
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,72901
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,22462
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,868
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,17047
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,15319
東京湾海区,Tokyo bay area,貝類,Shellfish,その他,Other,1727
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,-
大島海区,Oshima sea area,総数,Total,,,1333365
大島海区,Oshima sea area,魚類,Fish,総数,Total,933456
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,519982
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,67342
大島海区,Oshima sea area,魚類,Fish,たかべ,Yellow striped butterfish,105349
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,167665
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,98806
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか,Squid,68669
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,71289
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,42928
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,15391
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,7287
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,160954
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,88248
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,71153
三宅海区,Miyake sea area,総数,Total,,,169519
三宅海区,Miyake sea area,魚類,Fish,総数,Total,143054
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,25536
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,50058
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,11794
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,16743
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,11215
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか,Squid,5442
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,2816
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,173
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,2168
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,6907
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,5863
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,768
八丈海区,Hachijo sea area,総数,Total,,,891016
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,888583
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,448387
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,92529
八丈海区,Hachijo sea area,魚類,Fish,かつお類,Skipjack,95723
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,1957
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか,Squid,658
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,1235
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,385
八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,385
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,90
八丈海区,Hachijo sea area,藻類,Seaweed,とさかのり,Comb paste,90
小笠原海区,Ogasawara sea areas,総数,Total,,,494196
小笠原海区,Ogasawara sea areas,魚類,Fish,総数,Total,432533
小笠原海区,Ogasawara sea areas,魚類,Fish,かじき類,Swordfish,200783
小笠原海区,Ogasawara sea areas,魚類,Fish,はまだい,Ruby snapper,85758
小笠原海区,Ogasawara sea areas,魚類,Fish,まぐろ類,Tuna,75912
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,総数,Total,61663
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,いせえび,Spiny lobster,8595
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,かめ ,Sea turtle　,9736
小笠原海区,Ogasawara sea areas,その他の水産動物,Other marine animals,いか,Squid,27356
小笠原海区,Ogasawara sea areas,貝類,Shellfish,総数,Total,-
小笠原海区,Ogasawara sea areas,藻類,Seaweed,総数,Total,-
,,,,,,
"東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) ９　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES						",,,,,,
"9-8  海区別生産金額（平成24年） 9-8 CATCHES ( VALUE ) BY SEA REGION ( 2012 )　						",,,,,,
"大手水産会社による遠洋・沖合漁業を除く。						",,,,,,
"Excluding deep sea and offshore activities by large fishery companies.						",,,,,,
"注) 数値は，主要生産額のみを掲げてあるので，内訳の合計は総数に一致しない。						",,,,,,
"Note: The total is not the sum of the details as detailed figures are given for key values only.						",,,,,,
"資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs， TMG						",,,,,,
"（単位　千円） (Value in thousands of yen)						",,,,,,
