品目階層,品目,Item,平成23年 2011／数量 Quantity,平成23年 2011／金額 Value,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value,平成25年 2013／数量 Quantity,平成25年 2013／金額 Value
0,総数,Total,527542,452038987,523547,444191585,514829,448946144
1,鮮魚,Fresh fish,167491,136884647,164881,136589791,163534,139688662
2,まぐろ類,Tuna,12831,21372552,11253,20900922,9869,20012341
2,かじき類,Swordfish,1377,1840808,1462,1944165,1282,1767647
2,かつお類,Skipjack,10658,5781245,9412,5685146,11267,6110026
2,ぶり類,Yellowtail,31434,19086138,32886,17888407,33873,18359073
2,あじ類,Horse mackerel,19148,9049648,17032,9108317,17457,9082665
2,さわら類,King mackerel,1970,1824429,1550,1632961,1791,1710957
2,いわし類,Sardine,5816,1989344,6143,2038747,7328,2421894
2,いか類,Squid,13783,7106012,12899,6857640,11940,6839412
2,かれい類,Flounder,3752,2700164,3570,2523224,3501,2463341
2,たい類,Sea bream,11144,11613050,10793,12079839,10999,12258291
2,めぬけ類,Rock fish,948,1593127,841,1552985,888,1641726
2,さめ類,Shark,320,157710,384,167351,399,154956
2,さけ・ます類,Salmon and trout,6491,6098824,8143,6502618,7162,7167583
2,たら類,Cod,5429,3816036,5550,3631426,5552,3368037
2,えび類,Shrimp and lobster,1892,4503691,2056,4945710,1986,5374540
2,かに類,Crab,1486,2943889,1818,3219474,1607,3192018
2,あなご類,Conger eel,306,376620,275,404669,280,444248
2,ふぐ類,Puffer,629,1967448,712,2175844,669,1987067
2,その他鮮魚類,Other fresh fish,38078,33063912,38104,33330347,35683,35332840
1,活魚類,Live fish ,13700,17569328,15799,18971827,14513,18829006
1,貝類,Shellfish,30419,31951224,31254,31292288,31369,33034610
2,生鮮貝類,Fresh shellfish,24963,24543225,26366,25455400,26190,26158085
2,冷凍貝類,Frozen shellfish,5456,7407999,4888,5836888,5179,6876525
1,冷凍魚,Frozen fish,122761,123643898,127616,116814535,129573,122135033
2,冷まぐろ類,Frozen tuna,32894,48325568,35127,47672532,36837,46363212
2,冷かじき類,Frozen swordfish,2149,2029577,2137,2010886,2348,1926649
2,冷いか類,Frozen squid,7634,4501807,8338,4615142,7408,4422995
2,冷かれい類,Frozen flounder,7555,5249303,6172,4386681,5427,3819242
2,冷たい類,Frozen sea bream,159,149630,169,155471,130,144932
2,冷さめ類,Frozen shark,5,1938,5,2173,3,1454
2,冷さけ・ます類,Frozen salmon and trout,32305,21425831,35442,16478174,34818,21095745
2,冷えび類,Frozen shrimp and lobster,10930,13462187,11946,13749171,11599,16441500
2,冷かに類,Frozen crab,2852,5809821,2975,5540155,2749,5061868
2,その他冷凍魚類,Other frozen fish,26278,22688237,25305,22204149,28253,22857434
1,淡水魚,Freshwater fish,1709,2391621,1431,2321408,1476,2436214
2,生鮮淡水魚類,Fresh freshwater fish,1575,2286262,1315,2224738,1360,2346768
2,冷凍淡水魚類,Frozen freshwater fish,134,105359,116,96670,116,89446
1,海そう類,Seaweed,7084,3262861,7436,3506054,7470,3476137
1,加工品,Processed foods,184377,136335408,175131,134695682,166895,129346482
2,塩蔵品類,Salted,22813,30602411,22613,29808411,22291,29173963
2,塩干品類,Salted and dried,28242,14901061,26908,14433631,25733,14094308
2,煮干製品類,Boiled and dried,11649,11255352,12308,13948430,12459,11497181
2,練製品類,"""Surimi""",26964,14988577,25929,14358420,25621,13755972
2,その他,Others,94710,64588006,87373,62146790,80791,60825058
,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成23～25年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2011-2013 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
