年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成25,2013,2,13113,13,渋谷区,Shibuya-ku,145,101,6,-,-,38,6,4,43,407,-,-,13,86797
平成25,2013,2,13114,14,中野区,Nakano-ku,106,70,2,-,-,34,10,9,53,390,-,3,14,36000
平成25,2013,2,13115,15,杉並区,Suginami-ku,140,93,18,-,-,29,5,6,99,542,-,4,22,103557
平成25,2013,2,13116,16,豊島区,Toshima-ku,136,92,5,-,-,39,2,2,38,138,-,1,14,32946
平成25,2013,2,13117,17,北区,Kita-ku,140,85,7,-,-,48,3,12,57,677,-,1,20,133332
平成25,2013,2,13118,18,荒川区,Arakawa-ku,118,77,2,-,-,39,6,4,57,460,-,4,21,84245
平成25,2013,2,13119,19,板橋区,Itabashi-ku,193,128,15,-,-,50,12,12,135,823,-,6,39,198777
平成25,2013,2,13120,20,練馬区,Nerima-ku,186,106,13,-,-,67,5,7,68,689,-,5,23,139672
平成25,2013,2,13121,21,足立区,Adachi-ku,309,187,11,-,-,111,15,12,146,2828,-,4,59,664694
平成25,2013,2,13122,22,葛飾区,Katsushika-ku,204,106,10,-,-,88,13,5,103,1091,-,1,26,200415
平成25,2013,2,13123,23,江戸川区,Edogawa-ku ,249,144,22,-,-,83,11,10,80,999,-,6,35,330458
平成25,2013,1,13200,,市部,All shi ,,,,,,,,,,,,,,
平成25,2013,2,13201,1,八王子市,Hachioji-shi,226,102,26,-,1,97,5,3,60,834,-,1,32,87785
平成25,2013,2,13202,2,立川市,Tachikawa-shi,92,54,1,-,-,37,2,-,24,356,-,1,13,39360
平成25,2013,2,13203,3,武蔵野市,Musashino-shi,43,36,2,-,-,5,4,1,28,229,-,2,10,37724
平成25,2013,2,13204,4,三鷹市,Mitaka-shi,32,19,3,-,-,10,1,2,14,61,-,3,6,17463
平成25,2013,2,13205,5,青梅市,Ome-shi,58,30,4,-,-,24,2,-,18,240,-,-,5,42952
平成25,2013,2,13206,6,府中市,Fuchu-shi,82,42,4,-,-,36,8,6,32,826,-,1,21,220785
平成25,2013,2,13207,7,昭島市,Akishima-shi,37,21,4,-,-,12,2,-,18,50,-,2,4,8125
平成25,2013,2,13208,8,調布市,Chofu-shi,88,60,7,-,-,21,5,6,34,245,-,2,19,160804
平成25,2013,2,13209,9,町田市,Machida-shi,121,69,2,-,-,50,6,3,38,440,-,5,9,83562
平成25,2013,2,13210,10,小金井市,Koganei-shi,38,21,2,-,-,15,-,-,13,156,-,-,4,6401
平成25,2013,2,13211,11,小平市,Kodaira-shi,60,33,4,-,-,23,5,3,39,401,-,2,8,42624
平成25,2013,2,13212,12,日野市,Hino-shi ,74,36,5,-,-,33,-,2,20,123,-,-,11,19621
平成25,2013,2,13213,13,東村山市,Higashimurayama-shi,44,26,2,-,-,16,8,5,30,513,-,1,16,79742
平成25,2013,2,13214,14,国分寺市,Kokubunji-shi,47,25,3,-,-,19,8,2,23,868,-,2,9,113658
平成25,2013,2,13215,15,国立市,Kunitachi-shi,30,21,2,-,-,7,1,1,19,39,-,1,6,7183
平成25,2013,2,13218,16,福生市,Fussa-shi,24,10,1,-,-,13,1,-,6,275,-,-,-,74681
平成25,2013,2,13219,17,狛江市,Komae-shi,26,20,4,-,-,2,1,3,16,209,-,1,8,26962
平成25,2013,2,13220,18,東大和市,Higashiyamato-shi,31,18,5,-,-,8,-,-,11,31,-,-,6,26213
平成25,2013,2,13221,19,清瀬市,Kiyose-shi,33,21,3,-,-,9,-,-,24,38,-,-,4,7204
平成25,2013,2,13222,20,東久留米市,Higashikurume-shi,53,23,1,-,-,29,1,-,17,433,-,-,7,86661
平成25,2013,2,13223,21,武蔵村山市,Musashimurayama-shi,56,22,2,-,1,31,2,5,15,330,10,1,6,65091
平成25,2013,2,13224,22,多摩市,Tama-shi,57,29,3,-,-,25,5,3,18,331,-,1,4,53761
平成25,2013,2,13225,23,稲城市,Inagi-shi,12,7,1,-,-,4,-,-,4,15,-,-,1,9054
平成25,2013,2,13227,24,羽村市,Hamura-shi,24,11,-,-,-,13,-,-,6,445,-,-,1,150739
平成25,2013,2,13228,25,あきる野市,Akiruno-shi,37,14,1,-,1,21,4,-,11,237,12,2,3,28804
平成25,2013,2,13229,26,西東京市,Nishitokyo-shi,47,28,1,-,-,18,1,1,29,152,-,-,10,23130
平成25,2013,1,13300,,郡部,All gun,,,,,,,,,,,,,,
平成25,2013,2,13303,1,瑞穂町,Mizuho-machi,20,7,2,-,-,11,1,-,3,131,-,-,1,59963
平成25,2013,2,13305,2,日の出町,Hinode-machi ,10,4,1,-,-,5,2,-,3,194,-,-,-,32695
平成25,2013,2,13307,3,檜原村,Hinohara-mura,3,3,-,-,-,-,1,-,-,619,-,-,1,33490
平成25,2013,2,13308,4,奥多摩町,Okutama-machi,8,2,1,-,-,5,4,-,-,471,-,-,2,55690
平成25,2013,1,13350,,島部,All islands,,,,,,,,,,,,,,
平成25,2013,2,13361,1,大島町,Oshima-machi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,2,13363,3,新島村,Niijima-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,2,13364,4,神津島村,Kozushima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,2,13381,5,三宅村,Miyake-mura ,2,1,-,-,-,1,1,-,-,180,-,-,-,178
平成25,2013,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,2,13401,7,八丈町,Hachijo-machi,9,-,-,-,-,9,-,-,-,-,4,-,-,5
平成25,2013,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,2,13421,9,小笠原村,Ogasawara-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （平成24，25年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2012 and 2013 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
