年次(平成),Year,地域階層,地域コード,地域,District,総数 Total,男 Male／計 Total,男 Male／15～24歳 15-24years old,男 Male／25～39歳 25-39years old,男 Male／40～59歳 40-59years old,男 Male／60～64歳 60-64years old,男 Male／65歳以上 65 years old and over,女 Female
10,1998,0,13000,総数,Tokyo-to,1479,1332,31,205,583,176,337,147
15,2003,0,13000,総数,Tokyo-to,1156,1077,37,155,445,129,311,79
20,2008,0,13000,総数,Tokyo-to,1243,1161,21,148,543,158,291,82
20,2008,1,13100,区部,All ku ,494,436,8,39,229,66,94,58
20,2008,1,13350,島部,All islands,749,725,13,109,314,92,197,24
20,2008,2,13361,大島町,Oshima-machi,141,124,1,7,51,19,46,17
20,2008,2,13362,利島村,Toshima-mura,16,15,-,3,5,3,4,1
20,2008,2,13363,新島村,Niijima-mura,95,95,1,6,39,15,34,-
20,2008,2,13364,神津島村,Kozushima-mura,176,174,3,22,84,12,53,2
20,2008,2,13381,三宅村,Miyake-mura,50,49,-,4,18,10,17,1
20,2008,2,13382,御蔵島村,Mikurajima-mura,11,11,-,3,2,6,-,-
20,2008,2,13401,八丈町,Hachijo-machi,182,181,3,38,83,21,36,1
20,2008,2,13402,青ヶ島村,Aogashima-mura,8,8,-,-,7,-,1,-
20,2008,2,13421,小笠原村,Ogasawara-mura,70,68,5,26,25,6,6,2
,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,,,,
9-6 漁業就業者数（平成10～20年） 9-6 FISHERY WORKERS ( 1998-2008 ) ,,,,,,,,,,,,,
各年11月1日現在の「漁業センサス」による。,,,,,,,,,,,,,
Data are based on the Fishery Census taken as of November 1 of the year stated.,,,,,,,,,,,,,
資料：農林水産省 「2008年漁業センサス」 Source: Agriculture， Forestry and Fisheries ,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・島部　2:区市町村),,,,,,,,,,,,,
