年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
平成23,2011,総数,Total,…,83088535
平成24,2012,総数,Total,…,86447112
平成25,2013,総数,Total,…,86177982
平成25,2013,切花（本）,Cut flowers (stems),927713096,57461775
平成25,2013,切葉（枚）,Cut leaves (pieces),77667590,2320717
平成25,2013,切枝（束）,Cut tree branches (bundles),28593154,4705233
平成25,2013,鉢物（鉢）,Potted flowers (pots),33357781,16254568
平成25,2013,苗物（箱）,Bedding plants (boxes),3327474,4843784
平成25,2013,その他花き（箱）,Others (boxes),854181,591904
,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成23～25年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（  2011-2013  ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
