年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成21,2009,0,13000,東京都,Tokyo-to,1705,982,723,169184,97144,72040,167938,94459,73479
平成22,2010,0,13000,東京都,Tokyo-to,1740,977,763,173532,97251,76281,172797,95213,77584
平成23,2011,0,13000,東京都,Tokyo-to,1800,961,839,181384,96736,84648,178955,94246,84709
平成24,2012,0,13000,東京都,Tokyo-to,1855,954,901,186698,96547,90151,185263,94596,90667
平成25,2013,0,13000,東京都,Tokyo-to,1915,948,967,193757,96850,96907,193150,95318,97832
平成25,2013,1,13100,区部,All ku,1245,747,498,125334,77212,48122,124253,76332,47921
平成25,2013,2,13101,千代田区,Chiyoda-ku,7,6,1,565,465,100,611,498,113
平成25,2013,2,13102,中央区,Chuo-ku,22,15,7,2179,1642,537,2075,1585,490
平成25,2013,2,13103,港区,Minato-ku,27,18,9,2683,2178,505,2659,2137,522
平成25,2013,2,13104,新宿区,Shinjuku-ku,38,24,14,3931,2431,1500,3880,2412,1468
平成25,2013,2,13105,文京区,Bunkyo-ku,31,20,11,2620,1910,710,2619,1882,737
平成25,2013,2,13106,台東区,Taito-ku,23,13,10,2056,1220,836,2029,1182,847
平成25,2013,2,13107,墨田区,Sumida-ku,43,27,16,4284,2742,1542,4238,2660,1578
平成25,2013,2,13108,江東区,Koto-ku,77,44,33,7635,4489,3146,7576,4407,3169
平成25,2013,2,13109,品川区,Shinagawa-ku,67,43,24,6056,4219,1837,6123,4448,1675
平成25,2013,2,13110,目黒区,Meguro-ku,31,22,9,3019,2215,804,2955,2175,780
平成25,2013,2,13111,大田区,Ota-ku,91,52,39,9620,6281,3339,9435,6190,3245
平成25,2013,2,13112,世田谷区,Setagaya-ku,90,49,41,9562,4771,4791,10019,5085,4934
平成25,2013,2,13113,渋谷区,Shibuya-ku,32,19,13,2795,1610,1185,2733,1631,1102
平成25,2013,2,13114,中野区,Nakano-ku,36,22,14,3547,2163,1384,3516,2140,1376
平成25,2013,2,13115,杉並区,Suginami-ku,57,44,13,5531,4017,1514,5587,4049,1538
平成25,2013,2,13116,豊島区,Toshima-ku,33,24,9,3293,2472,821,3307,2445,862
平成25,2013,2,13117,北区,Kita-ku,58,41,17,5690,4182,1508,5342,3920,1422
平成25,2013,2,13118,荒川区,Arakawa-ku,32,24,8,3787,2801,986,3806,2805,1001
平成25,2013,2,13119,板橋区,Itabashi-ku,95,43,52,8676,3970,4706,8794,3943,4851
平成25,2013,2,13120,練馬区,Nerima-ku,98,60,38,9581,6313,3268,9563,6320,3243
平成25,2013,2,13121,足立区,Adachi-ku,93,53,40,9339,5508,3831,9301,5462,3839
平成25,2013,2,13122,葛飾区,Katsushika-ku,79,43,36,8592,4832,3760,8218,4533,3685
平成25,2013,2,13123,江戸川区,Edogawa-ku,85,41,44,10293,4781,5512,9867,4423,5444
平成25,2013,1,13200,市部,All shi,641,186,455,66026,18421,47605,66974,18220,48754
平成25,2013,2,13201,八王子市,Hachioji-shi,89,16,73,9692,1430,8262,9975,1440,8535
平成25,2013,2,13202,立川市,Tachikawa-shi,29,10,19,3312,1065,2247,3304,932,2372
平成25,2013,2,13203,武蔵野市,Musashino-shi,15,4,11,1421,400,1021,1449,434,1015
平成25,2013,2,13204,三鷹市,Mitaka-shi,31,19,12,2498,1582,916,2485,1573,912
平成25,2013,2,13205,青梅市,Ome-shi,32,-,32,3165,-,3165,3220,3,3217
平成25,2013,2,13206,府中市,Fuchu-shi,41,16,25,4378,1754,2624,4365,1771,2594
平成25,2013,2,13207,昭島市,Akishima-shi,20,2,18,2489,200,2289,2514,193,2321
平成25,2013,2,13208,調布市,Chofu-shi,36,12,24,3350,1175,2175,3464,1211,2253
平成25,2013,2,13209,町田市,Machida-shi,63,7,56,5668,665,5003,5905,637,5268
平成25,2013,2,13210,小金井市,Koganei-shi,13,5,8,1378,525,853,1416,538,878
平成25,2013,2,13211,小平市,Kodaira-shi,22,10,12,2173,1157,1016,2213,1217,996
平成25,2013,2,13212,日野市,Hino-shi,31,12,19,2888,1255,1633,3042,1255,1787
平成25,2013,2,13213,東村山市,Higashimurayama-shi,19,7,12,1949,710,1239,2125,787,1338
平成25,2013,2,13214,国分寺市,Kokubunji-shi,20,7,13,1987,738,1249,1812,661,1151
平成25,2013,2,13215,国立市,Kunitachi-shi,12,4,8,1169,416,753,1182,388,794
平成25,2013,2,13218,福生市,Fussa-shi,13,-,13,1280,-,1280,1264,-,1264
平成25,2013,2,13219,狛江市,Komae-shi,11,6,5,1055,628,427,992,632,360
平成25,2013,2,13220,東大和市,Higashiyamato-shi,15,1,14,1768,105,1663,1818,111,1707
平成25,2013,2,13221,清瀬市,Kiyose-shi,13,8,5,1178,578,600,1120,493,627
平成25,2013,2,13222,東久留米市,Higashikurume-shi,17,10,7,1690,1019,671,1702,1012,690
