年次,Year,総数 Total／件数 Cases of registration,総数 Total／個数 Registered items, 不動産登記 Registration of immovables／計 Total／件数 Cases of registration, 不動産登記 Registration of immovables／計 Total／個数 Registered items, 不動産登記 Registration of immovables／土地 Land／件数 Cases of registration, 不動産登記 Registration of immovables／土地 Land／個数 Registered items, 不動産登記 Registration of immovables／建物 Structures／件数 Cases of registration, 不動産登記 Registration of immovables／建物 Structures／個数 Registered items,立木登記 Registration of trees／件数 Cases of registration,立木登記 Registration of trees／個数 Registered items,船舶登記 Registration of vessels／件数 Cases of registration,船舶登記 Registration of vessels／個数 Registered items,財団登記 Registration of foundations／件数 Cases of registration,財団登記 Registration of foundations／個数 Registered items,農業用動産抵当登記 Registration of agricultural chattel mortgages／件数 Cases of registration,農業用動産抵当登記 Registration of agricultural chattel mortgages／個数 Registered items,建設機械登記 Registration of construction machinery／件数 Cases of registration,建設機械登記 Registration of construction machinery／個数 Registered items,鉱害賠償登録 Registration of mine disaster compensations／件数 Cases of registration,鉱害賠償登録 Registration of mine disaster compensations／個数 Registered items,企業担保権登記 Registration of enterprise mortgages／件数 Cases of registration,夫婦財産契約登記 Registration of matrimonial property agreements／件数 Cases of registration,商業登記 Commercial registration／計 Total／件数 Cases of registration,商業登記 Commercial registration／株式会社 Stock companies／件数 Cases of registration,商業登記 Commercial registration／特例有限会社 Special limited companies／件数 Cases of registration,商業登記 Commercial registration／合名会社 General partnership companies／件数 Cases of registration,商業登記 Commercial registration／合資会社 Limited partnership companies／件数 Cases of registration,商業登記 Commercial registration／合同会社 Limited liability companies／件数 Cases of registration,商業登記 Commercial registration／外国会社 Foreign companies／件数 Cases of registration,商業登記 Commercial registration／商号 Company name／件数 Cases of registration,商業登記 Commercial registration／商号の仮登記 Provisional registration of business name／件数 Cases of registration,商業登記 Commercial registration／未成年者 Minors／件数 Cases of registration,商業登記 Commercial registration／後見人 Guardians／件数 Cases of registration,商業登記 Commercial registration／支配人 (個人) Managers (Individuals)／件数 Cases of registration,商業登記 Commercial registration／支配人 (会社) Managers (Companies)／件数 Cases of registration,一般社団・財団法人登記 Registration of general incorporated associations and foundations／計 Total／件数 Cases of registration,一般社団・財団法人登記 Registration of general incorporated associations and foundations／一般社団法人 General incorporated associations／件数 Cases of registration,一般社団・財団法人登記 Registration of general incorporated associations and foundations／一般財団法人 General incorporated foundations／件数 Cases of registration,相互会社登記 Registration of mutual insurance companies／件数 Cases of registration,特定目的会社登記 Registration of specific purpose companies／件数 Cases of registration,投資法人登記 Registration of investment corporations／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／計 Total／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／宗教法人 Religious corporations／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／農業協同組合 Agricultural cooperatives／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／水産業協同組合 Fishery cooperatives／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／中小企業等協同組合 Small and mediumsized enterprise cooperatives／件数 Cases of registration,組合その他の法人登記 Registration of unions and other corporations／その他の法人 Other corporations／件数 Cases of registration,投資事業有限責任組合契約登記 Registration of investment limited partnership agreements／件数 Cases of registration,有限責任事業組合契約登記 Registration of limited liability partnership agreements／件数 Cases of registration,限定責任信託登記 Registration of limited liability trusts／件数 Cases of registration,動産譲渡登記 Registration of transfer of movables／件数 Cases of registration,動産譲渡登記 Registration of transfer of movables／個数 Registered items,債権譲渡登記 Registration of assignment of claims／件数 Cases of registration,債権譲渡登記 Registration of assignment of claims／個数 Registered items,成年後見登記 Registration of adult guardianships／件数 Cases of registration,筆界特定 Identification of land boundary／新受 Newly received,筆界特定 Identification of land boundary／処理 Processed
平成23,2011,1734929,82732715,1208814,2557859,609601,1489763,599213,1068096,-,-,318,338,64,195,1,2,9,13,-,-,-,4,333178,276898,45277,127,707,7512,1963,198,-,-,-,2,494,13866,9082,4784,9,2711,88,27234,407,88,27,2941,23771,952,638,3,3611,135568,37622,80038740,105626,181,227
平成24,2012,1885273,97947213,1344149,2824614,629600,1626746,714549,1197868,-,-,303,305,78,242,-,-,2,2,-,-,1,2,327114,272163,42393,114,657,9064,1981,241,-,-,-,5,496,15679,10278,5401,9,2786,102,32405,452,89,34,3022,28808,978,535,-,3710,66112,38020,95055938,119181,219,169
平成25,2013,1897968,77050240,1359392,2946701,655850,1724596,703542,1222105,-,-,338,346,57,144,-,-,7,7,-,-,-,2,322815,269633,38502,148,597,11450,1794,176,-,-,-,4,511,16747,11290,5457,12,2707,62,28045,434,56,42,2816,24697,1094,539,-,4035,37220,30382,74065822,131538,196,226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-1  登記の種類別登記(平成23～25年) 20-1  REGISTRATIONS BY TYPE （ 2011-2013 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：法務省 「登記統計」(ホームページ) Source: Ministry of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
