観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1614,70,30,44.5,283,56,159,115.5,99,231.5,440,26,59.5
江戸川臨海,Edogawarinkai,1301,61,28,39,234,61,137,45.5,44.5,171,403,27,50
練馬,Nerima,1527.5,49.5,21.5,38,224,57.5,172.5,89.5,160,275.5,363,15.5,61
世田谷,Setagaya,1645,69,35.5,45,282.5,56,159,93.5,104,340,379.5,19.5,61.5
府中,Fuchu,1520,61.5,26.5,41.5,227.5,42.5,170.5,69.5,121,296.5,378.5,22.5,62
八王子,Hachioji,1467.5,45,29,53.5,188.5,23.5,222.5,54.5,82,313.5,373.5,27,55
小沢,Ozawa,1459,37.5,30,42,170.5,37,228,87,81,294.5,361,32,58.5
青梅,Ome,1324,38,17.5,49.5,161.5,38.5,206.5,88,73,245,341,21,44.5
小河内,Ogochi,1335.5,35,32,34.5,176.5,33,200.5,108,69.5,237,321,29,59.5
羽田,Haneda,1298.5,61,36,32.5,250,57.5,143,56.5,55,179.5,360,21,46.5
大島,Oshima,3365.5,132.5,152.5,74.5,423.5,109,503,133.5,42.5,280,1255,133.5,126
新島,Niijima,1745,77.5,129.5,91.5,251.5,66.5,363,59.5,16.5,86.5,377,156,70
三宅島,Miyakejima,2459,94,163.5,174,330,144,445,75,54.5,233.5,496.5,120,129
八丈島,Hachijojima,2191,191,153,214,180,119,491.5,40,112.5,122,240.5,173,154.5
父島,Chichijima,1110.5,49.5,18,4,177,229,108,6.5,37.5,172,112.5,127.5,69
,,,,,,,,,,,,,,
東京都統計年鑑 （平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成25年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2013 ),,,,,,,,,,,,,,
注) 記号）: 準正常値 欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,
Note: A parenthesis following a figure indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
