年次,Year,区分階層,種類,Kind,東京地方裁判所 Tokyo District Court／新受 Newly received,東京地方裁判所 Tokyo District Court／既済 Disposed,東京地方裁判所 Tokyo District Court／未済 Pending,立川支部 Tachikawa Branch／新受 Newly received,立川支部 Tachikawa Branch／既済 Disposed,立川支部 Tachikawa Branch／未済 Pending
平成21,2009,0,総数,Total,16988,16958,2689,5741,5758,554
平成22,2010,0,総数,Total,16601,16435,2855,5206,5185,575
平成23,2011,0,総数,Total,14825,15176,2503,4334,4506,403
平成24,2012,0,総数,Total,13669,13987,2185,3902,3977,328
平成25,2013,0,総数,Total,12398,12586,1997,3554,3551,331
平成25,2013,1,執行イ,Type A,2794,2882,198,588,582,62
平成25,2013,2,動産執行,Execution against movables ,2779,2866,197,588,582,62
平成25,2013,2,動産競売,Auction of movables,15,16,1, -, -, -
平成25,2013,1,執行ロ,Type B,4450,4413,593,1065,1082,104
平成25,2013,2,不動産等の引渡し,Delivery of immovablesetc.,4201,4172,535,1018,1040,95
平成25,2013,2,動産の引渡し,Delivery of movables,21,21,6,25,24,1
平成25,2013,2,船舶国籍証書等の取り上げ,Confiscation of vessel nationality certificatesetc.,4,5,1, -, -, -
平成25,2013,2,自動車・建設機械の引渡し,Delivery of automobiles and construction machinery,44,40,12,9,6,3
平成25,2013,2,代替執行,Execution by substitute ,157,149,24,10,10,1
平成25,2013,2,援助（民執法6Ⅱ等）,Assistance (Civil Execution Act 6 IIetc.), -, -, -,1,1, -
平成25,2013,2,保全処分（民執法55Ⅰ等）,Temporary restraining order (Civil Execution Act 55 Ietc.),18,14,9,1,1, -
平成25,2013,2,強制管理の管理人等,Administrator of sequestrationetc.,5,12,6,1, -,4
平成25,2013,1,執行ハ,Type C,776,872,888,86,88,42
平成25,2013,2,仮差押え,Provisional seizure ,20,18,19,1,2,1
平成25,2013,2,仮処分,Provisional disposition,754,852,868,85,86,41
平成25,2013,2,特別法による保全処分,Temporary restraining order under special laws,2,2,1, -, -, -
平成25,2013,1,不動産等売却,Sale of real propertyetc.,2178,2175,178,987,958,73
平成25,2013,2,不動産・船舶・航空機,Real propertyvesselsaircraft,2170,2167,177,986,958,72
平成25,2013,2,自動車・建設機械,Automobiles and construction machinery,3,2,1,1, -,1
平成25,2013,2,債権その他の財産権,Claims and other property rights,5,6, -, -, -, -
平成25,2013,1,現況調査等,Investigation into the current statusetc.,2199,2243,140,828,841,50
平成25,2013,2,現況調査,Investigation into the current status,2199,2243,140,828,841,50
平成25,2013,2,評価,Evaluation, -, -, -, -, -, -
平成25,2013,1,内覧,Preliminary inspection,1,1, -, -, -, -
平成25,2013,1,提訴前現況調査,Investigation prior to filing suits, -, -, -, -, -, -
平成25,2013,1,その他,Others, -, -, -, -, -, -
平成25,2013,2,拒絶証書の作成等,Preparation of certificates of refusaletc., -, -, -, -, -, -
平成25,2013,2,財産調査の援助・立会い・封印等,Asset investigation assistanceattendancesealingetc., -, -, -, -, -, -
,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICEPOLICEAND FIRE FIGHTING SERVICES,,,,,,,,,,
20-3  執行官事務の種類別件数 （平成21～25年） 20-3 WORK OF COURT ENFORCEMENT OFFICERS BY KIND ( 2009-2013 ),,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
