品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,0,13531644,,5473748,,8057896
食料品及び動物,Foodstuffs and animals,,,,,,,,,0,81619,,65918,,15700
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,128,30043,127,27426,0,2616
飲料及びたばこ,Beverages and tobacco,,,,,,,,,0,8628,,8401,,228
食料に適さない原材料,No beverage raw material,,,,,,,,,0,147489,,122403,,25087
食料に適さない原材料,No beverage raw material,パルプ及び古紙,Pulp and usedpaper,,,,,1，000t,,2242,40987,2242,40987,-,-
食料に適さない原材料,No beverage raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,1，000t,,602,58674,602,38302,0,20372
鉱物性燃料,Mineral fuels,,,,,,,,,0,3671,,3311,,360
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,13,1931,13,1551,0,380
化学製品,Chemical products,,,,,,,,,0,1270873,,559071,,711802
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,0,109057,,41937,,67120
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,776,416182,760,279612,16,136570
原料別製品,Manufactured goods by raw materials,,,,,,,,,0,1016414,,450720,,565695
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,64,81039,62,64953,2,16086
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,0,163176,,67429,,95746
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,,,0,76032,,32273,,43759
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,260,43294,260,43294,-,-
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,75,400647,67,96275,8,304372
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,0,235964,,120663,,115300
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,0,6949888,,3275762,,3674126
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,0,2774850,,1560186,,1214664
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,1，000t,,130,416765,124,236963,6,179802
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,0,759007,,508150,,250857
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,1mil.units,6,212544,2,83666,4,128877
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,,,0,3624935,,1216894,,2408041
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,,,0,180328,,102322,,78006
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,,,0,541320,,231155,,310165
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,10，000台,10，000 units,560,265579,107,25371,453,240208
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio／visual apparatuses,,,1，000t,,5,138278,2,32617,3,105661
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,,,0,243117,,87524,,155593
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,0,1096918,,231401,,865517
