種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,11051255,88566962,5535665,27512713,3561069,939840,998,10283,7930,2715,6323,8145,251791,553721,172775
一般財産 ,General assets,2,行政財産,Administrative assets,,9102602,80642890,5062404,26400495,3174763,838593,903,9905,7930,2152,5950,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,1948653,7924072,473261,1112219,386306,101247,95,378,-,562,373,8145,251791,553721,172775
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2589913,14361020,1633600,1888060,313235,479958,1,92,-,-,250,135,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1490889,6573616,752875,1872155,313183,424486,1,92,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,1099025,7787404,880725,15905,52,55472,-,-,-,-,-,135,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),13018469,247956713,934562,2932383,1090227,10962047,1828,167,-,-,1322,-,27238,1078,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成25年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2013 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
