品目階層,品目,Item,平成23年 2011／数量 Quantity,平成23年 2011／金額 Value,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value,平成25年 2013／数量 Quantity,平成25年 2013／金額 Value
0,総数,Total,2045061,508967981,2090489,524609209,2074745,531670296
1,野菜,Vegetables,1529997,339346414,1572124,352622516,1571007,361499440
2,根菜類,Root vegetables,264324,32982281,262042,33970142,264219,34798961
3,だいこん,Japanese radish,135056,10526769,133794,12363360,137008,12578741
3,かぶ,Turnip,19093,2244396,17537,2286569,16895,2282632
3,にんじん,Carrot,87883,11934485,88394,11031500,87159,12322465
3,ごぼう,Edible burdock,10827,3195214,10607,3043786,10708,2612349
3,れんこん,Lotus root,8838,3755660,8427,3775998,9700,3594093
3,その他,Others,2628,1325757,3283,1468929,2749,1408681
2,キャベツ類,Cabbage varieties,182776,14928582,190607,15857440,183690,17814302
2,レタス類,Lettuce varieties,92231,16252331,95565,19172896,97020,19754669
2,葉茎菜類,Leaf and stem vegetables,286345,70295251,294504,77151268,298359,79359474
3,はくさい,Chinese cabbage,112569,6998605,116086,7215839,118657,8485500
3,こまつな,"""Komatsuna""",10617,2963654,10892,3425105,11932,3715677
3,ほうれんそう,Spinach,15977,7056205,15575,7977389,15651,8015144
3,ねぎ,Welsh onion,57131,14219383,57150,15661114,57615,16055119
3,ブロッコリー,Broccoli,23143,7266027,25331,8433825,25151,8488180
3,その他,Others,66908,31791378,69470,34437996,69353,34599854
2,果菜類,Fruit vegetables,308833,99520645,322108,105877809,317106,107851747
3,きゅうり,Cucumber,77639,22199335,79382,22355412,77205,23455261
3,かぼちゃ,Pumpkin　,40030,6327705,42343,5775674,36930,5867234
3,なす,Eggplant,31841,10866211,32169,10331090,30546,10484272
3,トマト,Tomato,82701,28326642,84220,32678525,86628,30683633
3,ピーマン,Bell pepper,22122,7847540,22802,7853475,22643,9254210
3,その他,Others,54502,23953211,61192,26883633,63154,28107137
2,豆科野菜類,Legumes,17102,12027821,17079,11437987,15935,11522053
3,いんげん,String bean,4232,3236636,4317,3113315,4145,3132714
3,えだまめ,Green soybean,5858,4465899,6711,4153132,5260,4330036
3,その他,Others,7012,4325287,6051,4171540,6530,4059303
2,ばれいしょ類,Potatoes,92162,14056430,102234,10904709,99678,11110560
2,土物類,Sweet potatoes／onions， etc.,186602,30102302,189972,29723530,199757,30196902
3,かんしょ,Sweet potato,28166,5532850,30709,5315452,31575,5258643
3,たまねぎ,Onion,123947,12402856,126428,12779596,135537,12845858
3,その他,Others,34489,12166596,32835,11628482,32645,12092401
2,香辛つま物類,Spices／garnishes,14475,16043217,14440,16070067,14277,16766851
3,根しょうが,Ginger,6020,3065933,6036,2719836,6075,2576919
3,その他,Others,8455,12977284,8404,13350231,8202,14189932
2,きのこ山菜類,Mushrooms／Wild plants,44922,23026411,45134,22619353,43197,23163452
3,なましいたけ,"""Shiitake"" mushroom， fresh",7807,6836667,7795,6742926,7251,6757515
3,えのきだけ,"""Enokidake"" mushroom",13108,2988794,13102,3218608,13382,3253361
3,しめじ,"""Shimeji"" mushroom",11279,4546346,11064,4351424,10371,4504135
3,その他,Others,12728,8654604,13173,8306395,12193,8648441
2,その他野菜類,Others,9535,3861180,7866,3697929,8725,3419531
3,うめ,"""Ume"" apricot",2778,1089898,2319,1141984,3006,843807
3,その他,Others,6757,2771282,5547,2555945,5719,2575724
2,野菜加工品,Processed vegetables,30688,6249963,30573,6139387,29046,5740937
1,果実,Fruits,467259,155290484,472870,158626392,459911,156900257
2,みかん類,Mandarins,101190,26610344,110596,28193404,106570,26770966
2,かんきつ類,Citrus varieties,55132,14391432,62804,16068210,55291,13599796
3,いよかん,"""Iyo""tangor",7323,1772222,8226,1768393,6355,1231408
3,グレープ,Grapefruit,8838,1233518,8229,1181742,6535,950489
3,その他,Others,38972,11385692,46349,13118075,42401,11417899
2,りんご類,Apples,67487,18045624,55635,17957037,67172,17719729
2,日本なし類,Japanese pears,27465,7256892,24839,7605715,24926,6940309
2,西洋なし類,European pears,3083,998468,2575,892721,3186,1024925
2,かき類,Japanese persimmons,19428,5566569,25096,5318984,21311,5900834
2,びわ類,Loquats,586,726358,367,553186,594,711917
2,もも類,Peaches,17097,6929753,15519,7055852,14879,7101980
2,すもも類,Plums,2927,1357369,2988,1430147,2711,1336366
2,おうとう類,Cherries,2446,3455056,1767,3113698,1819,3303593
2,あんず類,Apricots,117,54777,108,53632,77,42979
2,ぶどう類,Grapes,11843,9254914,15191,10841679,14512,11140558
2,くり類,Chestnuts,1444,696728,1337,608793,1214,633039
2,いちぢく類,Figs,1301,942966,1346,967753,1255,898306
2,いちご類,Strawberries,25896,26080571,22407,26148779,24407,27143627
2,メロン類,Melons,23407,10234361,23090,10063278,22082,10132906
2,すいか類,Watermelons,41824,8041505,44471,8050387,43405,8529956
2,その他果実,Other fruits,58647,10862657,58342,10616108,50300,10958980
2,果実加工品,Processed fruits,5940,3784140,4390,3087031,4199,3009491
1,つけ物,Pickles,14544,7125763,13874,6849855,13432,6874844
1,その他食料品,Other foods,19596,4006822,18246,3630739,17465,3405573
1,鳥卵,Poultry eggs,13665,3198499,13375,2879707,12930,2990183
,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成23～25年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2011-2013 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
