地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,10172029,144562,10082767,21548,2520416,57957,2554570,944,75555,64113,4932226,1817,89262,347,17379,525,11262,933,60057,12,564
1,13100,,区部,All ku,7084083,106997,7041491,13681,1616507,45422,1961591,699,53217,47195,3410176,907,42592,141,6924,218,4463,545,31017,3,188
5,13101,1,千代田区,Chiyoda-ku,101660,1219,101660,21,2680,388,36286,109,6398,701,56296,-,-,-,-,-,-,-,-,-,-
5,13102,2,中央区,Chuo-ku,321023,4856,321023,40,4241,725,32766,34,1911,4057,282105,-,-,-,-,-,-,-,-,-,-
5,13103,3,港区,Minato-ku,250309,3830,248369,137,20486,1295,72104,15,4406,2383,151373,17,1940,1,35,2,34,14,1871,-,-
5,13104,4,新宿区,Shinjuku-ku,237202,4409,236141,339,40366,1974,80354,45,2588,2051,112833,34,1061,2,28,4,94,28,939,-,-
5,13105,5,文京区,Bunkyo-ku,190399,2583,189552,414,49548,882,38783,62,5235,1225,95986,23,847,5,313,3,73,15,461,-,-
5,13106,6,台東区,Taito-ku,175549,3063,175526,192,22958,1517,67446,2,144,1352,84978,1,23,-,-,-,-,1,23,-,-
5,13107,7,墨田区,Sumida-ku,288971,4781,287442,310,36159,1924,86327,4,189,2543,164767,23,1529,-,-,3,100,20,1429,-,-
5,13108,8,江東区,Koto-ku,352157,5838,350002,271,32100,1848,74640,4,915,3715,242347,43,2155,1,19,1,16,41,2120,-,-
5,13109,9,品川区,Shinagawa-ku,270300,4476,269406,628,72966,2140,89644,4,390,1704,106406,20,894,2,117,3,59,15,718,-,-
5,13110,10,目黒区,Meguro-ku,203722,2764,202158,616,80211,1356,59677,38,3492,754,58778,32,1564,14,1163,4,65,13,325,1,11
5,13111,11,大田区,Ota-ku,459835,7294,459419,1142,132482,3362,138324,2,313,2788,188300,13,416,3,79,3,88,6,164,1,85
5,13112,12,世田谷区,Setagaya-ku,675553,9079,672457,2261,268637,4261,195603,26,2411,2531,205806,104,3096,39,1536,25,425,40,1135,-,-
5,13113,13,渋谷区,Shibuya-ku,204648,3327,204557,355,47415,1660,75891,59,3955,1253,77296,4,91,1,36,1,11,2,44,-,-
5,13114,14,中野区,Nakano-ku,279242,4151,278047,429,50650,2049,76710,135,9858,1538,140829,34,1195,6,447,6,119,22,629,-,-
5,13115,15,杉並区,Suginami-ku,397725,5823,395770,1204,137966,2721,111477,48,2064,1850,144263,57,1955,11,587,28,598,18,770,-,-
5,13116,16,豊島区,Toshima-ku,189318,3573,189065,395,46048,1626,62442,11,1480,1541,79095,2,253,1,14,-,-,1,239,-,-
5,13117,17,北区,Kita-ku,212618,3614,211434,441,50851,1867,76458,48,2254,1258,81871,36,1184,5,213,2,31,29,940,-,-
5,13118,18,荒川区,Arakawa-ku,132860,2163,132504,239,26831,911,37176,1,201,1012,68296,15,356,3,106,5,76,7,174,-,-
5,13119,19,板橋区,Itabashi-ku,360265,5539,358458,584,69011,2077,90300,8,555,2870,198592,54,1807,1,14,9,137,44,1656,-,-
5,13120,20,練馬区,Nerima-ku,452894,6253,450979,1200,139068,2625,108613,22,2177,2406,201121,78,1915,15,511,36,695,27,709,-,-
5,13121,21,足立区,Adachi-ku,532356,7785,524170,1005,114528,3765,154109,11,1019,3004,254514,127,8186,11,767,30,661,86,6758,-,-
5,13122,22,葛飾区,Katsushika-ku,308705,4496,305746,604,70824,2314,95873,11,1262,1567,137787,93,2959,14,757,24,393,55,1809,-,-
5,13123,23,江戸川区,Edogawa-ku,486772,6081,477606,854,100481,2135,100588,-,-,3092,276537,97,9166,6,182,29,788,61,8104,1,92
2,13200,,市部,All shi,3041947,37073,2996861,7675,882174,12396,585579,221,20584,16781,1508524,887,45086,199,9966,293,5747,386,28997,9,376
5,13201,1,八王子市,Hachioji-shi,351341,4018,347098,959,115127,1293,59377,42,2933,1724,169661,123,4243,37,1969,51,1019,29,924,6,331
5,13202,2,立川市,Tachikawa-shi,198564,2527,194360,361,41372,1059,49558,1,183,1106,103247,67,4204,9,916,20,479,38,2809,-,-
5,13203,3,武蔵野市,Musashino-shi,102903,1333,102077,281,34362,617,25936,3,405,432,41374,19,826,9,383,-,-,10,443,-,-
5,13204,4,三鷹市,Mitaka-shi,176240,2131,172871,359,40006,497,25609,1,75,1274,107181,57,3369,3,220,5,146,48,2984,1,19
5,13205,5,青梅市,Ome-shi,80428,817,79473,318,36941,156,8746,1,204,342,33582,25,955,11,583,14,372,-,-,-,-
5,13206,6,府中市,Fuchu-shi,194554,2410,187563,456,51751,941,46816,2,252,1011,88744,53,6991,3,71,17,285,33,6635,-,-
5,13207,7,昭島市,Akishima-shi,86418,1146,85594,202,21981,519,25336,1,121,424,38156,30,824,3,145,11,151,16,528,-,-
5,13208,8,調布市,Chofu-shi,275043,3748,273031,453,50191,1391,62377,10,565,1894,159898,61,2012,5,211,15,273,41,1528,-,-
5,13209,9,町田市,Machida-shi,286458,3221,283751,843,103420,954,48320,14,759,1410,131252,95,2707,32,925,22,510,39,1246,2,26
5,13210,10,小金井市,Koganei-shi,48521,621,48206,191,21311,252,11230,1,109,177,15556,7,315,4,275,3,40,-,-,-,-
5,13211,11,小平市,Kodaira-shi,146427,1770,145154,310,32840,384,14955,112,12544,964,84815,30,1273,3,598,10,151,17,524,-,-
5,13212,12,日野市,Hino-shi,209376,2387,199832,430,49223,579,28823,-,-,1378,121786,78,9544,18,1090,31,602,29,7852,-,-
5,13213,13,東村山市,Higashimurayama-shi,94961,1192,94316,255,29485,405,18268,1,85,531,46478,14,645,3,206,3,63,8,376,-,-
5,13214,14,国分寺市,Kokubunji-shi,88442,1151,87642,254,28318,425,19237,19,843,453,39244,29,800,10,346,12,214,7,240,-,-
5,13215,15,国立市,Kunitachi-shi,46350,601,45971,131,16219,260,11201,7,616,203,17935,15,379,6,249,7,87,2,43,-,-
5,13218,16,福生市,Fussa-shi,33018,405,32777,110,12615,192,10222,-,-,103,9940,7,241,3,67,2,32,2,142,-,-
5,13219,17,狛江市,Komae-shi,52619,729,52415,139,15509,258,11396,-,-,332,25510,8,204,1,60,3,38,4,106,-,-
5,13220,18,東大和市,Higashiyamato-shi,51356,541,50963,159,18624,99,5380,1,135,282,26824,13,393,6,223,7,170,-,-,-,-
5,13221,19,清瀬市,Kiyose-shi,45706,528,45454,142,15918,162,7351,1,311,223,21874,6,252,2,202,4,50,-,-,-,-
5,13222,20,東久留米市,Higashikurume-shi,65560,755,64873,193,20282,154,8106,-,-,408,36485,24,687,2,80,4,85,18,522,-,-
5,13223,21,武蔵村山市,Musashimurayama-shi,55072,726,54592,152,15969,349,17851,-,-,225,20772,12,480,4,273,8,207,-,-,-,-
5,13224,22,多摩市,Tama-shi,69590,835,68242,122,14827,214,9699,-,-,499,43716,24,1348,4,113,6,103,14,1132,-,-
5,13225,23,稲城市,Inagi-shi,58340,707,57867,161,18621,291,14667,1,91,254,24488,23,473,6,192,12,188,5,93,-,-
5,13227,24,羽村市,Hamura-shi,27973,317,27828,126,14800,113,5668,-,-,78,7360,7,145,2,55,5,90,-,-,-,-
5,13228,25,あきる野市,Akiruno-shi,55102,652,54020,244,26758,263,12981,1,102,144,14179,33,1082,11,482,11,176,11,424,-,-
5,13229,26,西東京市,Nishitokyo-shi,141585,1805,140891,324,35704,569,26469,2,251,910,78467,27,694,2,32,10,216,15,446,-,-
3,13300,,郡部,All gun,36873,380,36266,151,17624,92,5116,-,-,137,13526,17,607,6,406,11,201,-,-,-,-
3,13350,,島部,All islands,9126,112,8149,41,4111,47,2284,24,1754,-,-,6,977,1,83,3,851,2,43,-,-
4,13360,1,大島支庁,Oshima-shicho,5256,54,4290,19,1867,11,669,24,1754,-,-,5,966,1,83,2,840,2,43,-,-
4,13380,2,三宅支庁,Miyake-shicho,365,3,365,3,365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,2815,36,2804,18,1643,18,1161,-,-,-,-,1,11,-,-,1,11,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,690,19,690,1,236,18,454,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地  域  別  着  工  住  宅  数 （平成25年） ,,,,,,,,,,,,,,,,,,,,,,,,,
　この表は， 建築基準法に基づき建築主から知事に届出のあった建築工事届により，着工住宅を工事別に分類したもので， 「新設」 ,,,,,,,,,,,,,,,,,,,,,,,,,
とは建築物の新築， 増築又は改築によって住宅の戸が新たに造られる工事をいい，「その他」とは住宅が増築又は改築されるときで， ,,,,,,,,,,,,,,,,,,,,,,,,,
住宅戸数が新たに増加しない工事をいう。 ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  DWELLING  CONSTRUCTION STARTS BY DISTRICT ( 2013 ) ,,,,,,,,,,,,,,,,,,,,,,,,,
This table refers to the number of dwelling constructions started after submission of construction notification to the ,,,,,,,,,,,,,,,,,,,,,,,,,
Governor by the builders as prescribed in the Building Standards Act which have been classified by type of construction.,,,,,,,,,,,,,,,,,,,,,,,,,
Newly constructed refers to the building of a new dwelling unit through new construction extension  or reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,
"and ""Others"" refers to extension or reconstruction that does not result in an increase of dwelling units. ",,,,,,,,,,,,,,,,,,,,,,,,,
(Space in m2) ,,,,,,,,,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,,,,,,,,,
