年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／コールローン・買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／コールマネー・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
平成21,2009,総数,Total,103,1102,1727933,4816,58775,1354651,309546,1664982,119873,11003,1744139,24902,13886,82545,1727624,959709,648302,119531,1557567,1567496,251429,185821,164400
平成22,2010,総数,Total,101,1105,1705080,4456,55819,1339434,305235,1634966,108898,5957,1941683,32952,12976,169383,1806288,1043169,630738,132296,1633125,1633989,255219,180289,295028
平成23,2011,総数,Total,101,1110,1712953,4829,41684,1353866,312457,1651278,108759,8838,2069348,26572,14874,137364,1782726,1028891,634412,119327,1658780,1613456,252243,190180,279202
平成24,2012,総数,Total,99,1109,1768816,4345,36070,1416333,311946,1706557,129396,7555,1998574,26505,11851,218174,1857786,1066976,646351,144372,1712472,1683886,282785,218892,210738
平成25,2013,総数,Total,98,1127,1820402,3946,37356,1455844,323151,1757901,25685,3837,1694990,30042,16617,657315,1935184,1126543,655789,152770,1779135,1756798,275185,138287,259011
平成25,2013,4,Apr.,99,1110,1754683,3489,38537,1417846,294688,1693056,122090,5686,1865724,28254,11788,305124,1855029,1022762,655285,176902,1702953,1680275,265848,201674,227539
平成25,2013,5,May,99,1110,1752598,3393,37905,1419241,291937,1690968,120517,4549,1804202,31798,16255,401751,1871407,1014004,652338,204974,1686435,1696132,264081,201570,241758
平成25,2013,6,June,99,1110,1765815,3933,39088,1423510,299163,1703972,118103,5906,1709350,23731,7757,427238,1844871,1048694,652864,143233,1711341,1667581,250002,189507,239435
平成25,2013,7,July,98,1111,1768081,3426,36646,1435170,292725,1706338,26373,4538,1705296,26197,11235,437783,1837273,1013795,654968,168424,1692317,1660924,272471,110215,242260
平成25,2013,8,Aug.,98,1112,1763400,3809,36689,1434700,288087,1701592,25546,3613,1702539,22419,7910,489895,1809512,1016714,654028,138683,1678339,1632495,274743,119108,252216
平成25,2013,9,Sept.,98,1112,1788271,3616,34928,1436984,312631,1726025,21791,5753,1730494,30027,14679,506004,1880908,1058132,657644,165038,1726707,1704766,268454,100360,252047
平成25,2013,10,Oct.,98,1113,1767656,3434,37310,1437047,289751,1705832,26891,4652,1685145,24398,9202,557341,1836209,1019786,658566,157776,1696700,1659288,284068,118734,249316
平成25,2013,11,Nov.,98,1126,1779925,3945,38192,1443036,294644,1717947,28901,4987,1717844,23411,8554,584946,1848586,1042989,653056,152465,1704240,1671526,290115,115493,248865
平成25,2013,12,Dec.,98,1126,1808283,4162,40690,1446747,316575,1745973,30850,5732,1733783,24228,7000,575593,1857019,1065732,654666,136540,1727663,1677374,273713,119286,269028
平成26,2014,1,Jan.,98,1126,1799648,3592,39633,1444855,311456,1737649,28347,7171,1644331,25197,9750,618461,1862690,1034183,659522,168907,1718770,1684217,286431,125172,261259
平成26,2014,2,Feb.,98,1127,1798007,3598,39035,1444303,310958,1736103,27529,8072,1645624,22266,10487,613512,1861841,1037966,655576,168210,1717430,1683655,281988,119368,249517
平成26,2014,3,Mar.,98,1127,1820402,3946,37356,1455844,323151,1757901,25685,3837,1694990,30042,16617,657315,1935184,1126543,655789,152770,1779135,1756798,275185,138287,259011
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成21～25年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2009-2013 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，新生銀行，あおぞら銀行及び農林中央金庫（平成19年7月より）をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：一般社団法人全国銀行協会金融調査部 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
