項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,160818,47656,39566,18757,14517,11832,8978,6993,3885,2582,5752,300,69277,61257,6424,1096,500
,区部,All ku,,,,135591,38677,30999,16378,12957,10630,8306,6382,3398,2369,5203,292,59074,51753,5809,1031,481
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,201,14,14,5,4,11,25,18,12,4,71,23,247,64,57,41,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1918,169,284,294,270,268,253,175,52,36,107,10,1298,940,273,55,30
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4494,462,791,711,635,651,589,338,81,91,140,5,2281,1929,301,42,9
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3565,286,482,455,465,543,554,360,130,121,167,2,2258,1680,458,80,40
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3721,299,550,550,520,513,517,355,145,123,146,3,1936,1582,260,70,24
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,595,94,79,63,60,93,37,33,21,29,61,25,207,162,31,6,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,3961,470,640,502,481,503,540,308,140,104,233,40,2178,1744,313,79,42
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2410,554,496,321,281,231,182,107,62,51,118,7,1729,1471,207,35,16
