年次,Year,総数 Total 1),300万円未満 Under 3 mil. yen,300万円～500万円未満 3mil. yen - under 5mil. yen,500万円～1000万円未満 5mil. yen - under 10mil. yen,1000万円～3000万円未満 10mil. yen - under 30mil. yen,3000万円～5000万円未満30mil. yen - under 50mil. yen,5000万円～1億円未満 50mil. yen - under 100mil. yen,1億円～3億円未満 100mil. yen - under 300mil. yen,3億円～10億円未満300mil. yen - under 1 bil.yen,10億円～50億円未満 1 bil. yen - under 5 bil.yen,50億円以上 5 bil. yen or more
平成13,2001,270828,2259,89752,21049,126215,11864,8445,5192,3161,1751,1140
平成18,2006,255400,3844,82584,19942,115667,12236,9519,5448,3265,1783,1112
,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,
8-8  資本金階級別企業数 (平成13，18年) 8-8  ENTERPRISES BY CAPITAL SIZE   (2012，2016),,,,,,,,,,,,
資料：都総務局統計部経済統計課 「事業所・企業統計調査報告」 Source: Bureau of General Affairs， TMG ,,,,,,,,,,,,
