地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity
0,13000,,総数,Tokyo-to,3183817,391813,123875,259681,8257,2687593,1472960,1214633,15169,75513,13729,170101,1062033,1416,252829
1,13100,,区部,All ku,1979141,285632,89413,188633,7586,1625675,962685,662990,9671,49047,9116,113853,…,1119,193128
5,13101,1,千代田区,Chiyoda-ku,30157,4624,451,4168,5,24716,16446,8270,62,691,64,933,…,147,17917
5,13102,2,中央区,Chuo-ku,40214,7075,973,6052,50,31786,21554,10232,80,996,277,1592,…,117,14967
5,13103,3,港区,Minato-ku,72753,8670,1906,6372,392,61939,46925,15014,274,1272,598,3368,…,168,23876
5,13104,4,新宿区,Shinjuku-ku,53027,7099,1195,5895,9,44352,27607,16745,173,1366,37,3788,…,87,15643
5,13105,5,文京区,Bunkyo-ku,32993,4233,614,3618,1,28280,18221,10059,70,402,8,2099,…,26,2862
5,13106,6,台東区,Taito-ku,34637,7171,881,6274,16,26734,15245,11489,45,641,46,1892,…,43,4126
5,13107,7,墨田区,Sumida-ku,49687,10218,2378,7812,28,37789,20875,16914,158,1153,369,2681,…,22,4445
5,13108,8,江東区,Koto-ku,109760,26718,11400,13598,1720,75672,44306,31366,681,4976,1713,5204,…,92,28180
5,13109,9,品川区,Shinagawa-ku,71160,12323,3099,7414,1810,56532,34725,21807,489,1501,315,4599,…,59,9860
5,13110,10,目黒区,Meguro-ku,53669,3857,892,2946,19,48699,33104,15595,218,835,60,3616,…,17,1530
5,13111,11,大田区,Ota-ku,159752,28736,9908,16663,2165,124543,73460,51083,1155,4346,972,9736,…,41,19385
5,13112,12,世田谷区,Setagaya-ku,198366,14148,4088,10045,15,179683,118003,61680,743,3419,373,13366,…,27,4200
5,13113,13,渋谷区,Shibuya-ku,50449,4354,671,3677,6,45183,32185,12998,159,712,41,3374,…,68,9120
5,13114,14,中野区,Nakano-ku,47248,4732,863,3865,4,41395,24292,17103,244,821,56,4333,…,13,1453
5,13115,15,杉並区,Suginami-ku,98467,7851,1942,5902,7,88272,52798,35474,474,1754,116,6552,…,7,669
5,13116,16,豊島区,Toshima-ku,42214,5384,802,4576,6,35783,21260,14523,216,823,8,3120,…,41,6767
5,13117,17,北区,Kita-ku,55148,7108,1712,5376,20,46535,24554,21981,384,1044,77,3842,…,11,1517
5,13118,18,荒川区,Arakawa-ku,35370,6398,1595,4737,66,27828,15117,12711,106,849,189,1911,…,12,1175
5,13119,19,板橋区,Itabashi-ku,112086,17097,6058,11009,30,91548,49785,41763,523,2693,225,6757,…,28,5449
5,13120,20,練馬区,Nerima-ku,165677,17729,5334,12362,33,143561,79469,64092,813,3352,222,8726,…,22,6364
5,13121,21,足立区,Adachi-ku,185823,33838,13938,19752,148,143323,74060,69263,1098,6643,921,8468,…,32,6844
5,13122,22,葛飾区,Katsushika-ku,105529,14809,4837,9870,102,86615,45173,41442,464,2879,762,5480,…,18,3812
5,13123,23,江戸川区,Edogawa-ku,174955,31460,13876,16650,934,134907,73521,61386,1042,5879,1667,8416,…,21,2967
2,13200,,市部,All shi,1166394,98054,30701,66932,421,1035810,499698,536112,5111,24135,3284,54752,…,297,59701
5,13201,1,八王子市,Hachioji-shi,179959,16931,5913,10933,85,157027,74506,82521,1079,4360,562,8769,…,57,11664
5,13202,2,立川市,Tachikawa-shi,55189,5778,1414,4356,8,47453,22177,25276,234,1557,167,2492,…,29,6008
5,13203,3,武蔵野市,Musashino-shi,27965,1634,327,1307,-,25475,14375,11100,329,459,68,1320,…,23,2571
5,13204,4,三鷹市,Mitaka-shi,42266,3606,1044,2554,8,37815,20193,17622,60,700,85,2413,…,5,615
5,13205,5,青梅市,Ome-shi,49089,4163,1449,2624,90,43565,19215,24350,196,968,197,2448,…,3,323
5,13206,6,府中市,Fuchu-shi,66798,6567,2121,4428,18,58130,28905,29225,260,1624,217,3285,…,12,3361
5,13207,7,昭島市,Akishima-shi,34222,3229,1156,2065,8,29995,13697,16298,150,701,147,1521,…,6,842
5,13208,8,調布市,Chofu-shi,53288,4623,1446,3174,3,47167,25018,22149,258,1076,164,2557,…,30,4944
5,13209,9,町田市,Machida-shi,130700,9080,2767,6299,14,118646,57665,60981,659,2066,249,5339,…,33,7349
5,13210,10,小金井市,Koganei-shi,25653,1324,305,1018,1,23825,12025,11800,75,369,60,1320,…,7,1017
5,13211,11,小平市,Kodaira-shi,49322,3793,1056,2730,7,44183,21279,22904,182,978,186,2338,…,2,96
5,13212,12,日野市,Hino-shi,50144,3001,769,2228,4,45794,21902,23892,194,1023,132,2379,…,8,1239
5,13213,13,東村山市,Higashimurayama-shi,41168,3444,1113,2325,6,36644,16870,19774,117,875,88,1787,…,4,646
5,13214,14,国分寺市,Kokubunji-shi,28554,1720,301,1417,2,26296,13085,13211,76,402,60,1314,…,4,1039
5,13215,15,国立市,Kunitachi-shi,20178,2440,1090,1328,22,16997,8987,8010,40,611,90,805,…,5,319
5,13218,16,福生市,Fussa-shi,26590,1649,474,1169,6,24389,10086,14303,88,382,82,1257,…,12,1840
5,13219,17,狛江市,Komae-shi,17628,1611,389,1220,2,15567,8076,7491,133,288,29,1058,…,3,302
5,13220,18,東大和市,Higashiyamato-shi,26582,2365,611,1750,4,23567,10749,12818,54,533,63,1322,…,1,64
5,13221,19,清瀬市,Kiyose-shi,18721,1380,288,1090,2,16909,7594,9315,100,291,41,796,…,4,507
5,13222,20,東久留米市,Higashikurume-shi,32359,3127,891,2222,14,28263,13043,15220,188,707,74,1406,…,2,108
5,13223,21,武蔵村山市,Musashimurayama-shi,28092,4519,1919,2536,64,22171,10197,11974,70,1258,74,1284,…,1,2956
5,13224,22,多摩市,Tama-shi,40819,2247,673,1569,5,37577,18278,19299,220,744,31,1872,…,21,7279
5,13225,23,稲城市,Inagi-shi,24941,1957,604,1348,5,22376,11313,11063,60,512,36,1031,…,9,1605
5,13227,24,羽村市,Hamura-shi,19983,1793,689,1082,22,17758,8063,9695,44,304,84,855,…,2,185
5,13228,25,あきる野市,Akiruno-shi,29624,2735,1040,1690,5,25907,11384,14523,146,652,184,1569,…,7,2147
5,13229,26,西東京市,Nishitokyo-shi,46560,3338,852,2470,16,42314,21016,21298,99,695,114,2215,…,7,675
3,13300,,郡部,All gun,28392,5670,2798,2645,227,20528,9165,11363,255,1538,401,1225,…,0,0
3,13350,,島部,All islands,9889,2457,963,1471,23,5580,1412,4168,131,793,928,270,…,0,0
,,,地域不詳,Not reported,1,-,-,-,-,-,-,-,1,-,-,1,…,0,0
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT,,,,,,,,,,,,,,,,,,,
4-6  地域別自動車保有台数及び有料駐車場数 (平成25年度末) ,,,,,,,,,,,,,,,,,,,
登録自動車台数には外国軍人軍属の私有車を含む。 また， 駐車場は駐車場法に基づき届けられた500m2以上のものである。 ,,,,,,,,,,,,,,,,,,,
　　注 1) 総排気量が250ccを超えるオートバイなど。 ,,,,,,,,,,,,,,,,,,,
　　資料： (財)自動車検査登録情報協会，都建設局道路管理部管理課,,,,,,,,,,,,,,,,,,,
4-6  NUMBER OF MOTOR VEHICLES AND PAY PARKING LOTS BY DISTRICT ,,,,,,,,,,,,,,,,,,,
( End of Fiscal Year 2013 ) ,,,,,,,,,,,,,,,,,,,
Motor vehicles registered include private vehicles owned by foreign military and civilian personnel. ,,,,,,,,,,,,,,,,,,,
Pay parking lots refer to those with an area of at least 500m2 reported as regulated under the Parking Lot Act. ,,,,,,,,,,,,,,,,,,,
