年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,コンクリート Concrete／延長 Length,コンクリート Concrete／面積 Area,高級アスファルト Top-grade asphalt／延長 Length,高級アスファルト Top-grade asphalt／面積 Area,ブロック Blocks／延長 Length,ブロック Blocks／面積 Area,コンクリート平板 Concrete slabs／延長 Length,コンクリート平板 Concrete slabs／面積 Area,簡易 Base-grade asphalt／延長 Length,簡易 Base-grade asphalt／面積 Area,砂利 Gravel roads／延長 Length,砂利 Gravel roads／面積 Area,その他 Others／延長 Length,その他 Others／面積 Area
平成22,2010,0,13000,,総数,Tokyo-to,"24,327,936","181,967,523","541,366","8,279,448","14,429,039","110,426,923","169,550","5,437,490","49,223","2,423,626","6,435,377","42,156,111","2,678,226","5,667,058","25,155","7,576,867"
平成23,2011,0,13000,,総数,Tokyo-to,"24,341,542","182,542,404","535,962","8,287,860","14,424,003","110,348,260","171,839","6,086,360","49,266","2,466,548","6,495,043","42,147,812","2,641,204","5,526,082","24,225","7,679,482"
平成24,2012,0,13000,,総数,Tokyo-to,"24,405,945","183,598,991","541,132","8,296,590","14,511,073","110,553,152","172,931","6,183,114","48,562","2,504,708","6,495,081","42,170,123","2,613,470","5,457,586","23,695","8,433,717"
平成25,2013,0,13000,,総数,Tokyo-to,"24,431,102","184,674,165","547,603","8,535,978","14,534,935","111,353,831","174,823","6,127,506","49,220","2,501,098","6,498,916",r 42，264，153,"2,607,986",r 5，427，157,"17,619","8,464,442"
平成26,2014,0,13000,,総数,Tokyo-to,"24,466,923","185,309,675","547,306","8,576,358","14,567,700","111,672,603","176,218","6,168,537","50,520","2,594,591","6,507,164","42,347,698","2,596,868","5,404,308","21,147","8,545,580"
平成26,2014,1,13100,,区部,All ku,"11,874,641","102,009,934","78,725","3,095,240","8,829,672","70,422,600","130,779","4,514,368","28,278","1,791,936","2,790,961","19,667,057","14,335","46,599","1,891","2,472,134"
平成26,2014,2,13101,1,千代田区,Chiyoda-ku,"174,825","2,770,857",775,"147,927","172,025","2,034,871","1,614","177,267",352,"59,755",-,"241,016",-,-,59,"110,021"
平成26,2014,2,13102,2,中央区,Chuo-ku,"194,885","2,990,493",21,"187,523","187,646","2,074,289","6,609","338,090",78,"66,719",365,"174,036",-,-,166,"149,836"
平成26,2014,2,13103,3,港区,Minato-ku,"305,366","4,402,188","4,623","185,418","286,899","3,125,465","1,597","272,810",-,"45,197","12,137","537,888",-,-,110,"235,410"
平成26,2014,2,13104,4,新宿区,Shinjuku-ku,"355,720","3,362,809","13,036","162,642","342,431","2,775,221",153,"103,248",-,"28,529",100,"204,040",-,-,-,"89,129"
