年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成20,2008,0,13000,東京都,Tokyo-to,2019899,801401,1218498,156594,62129,94465,327022,129747,197275
平成21,2009,0,13000,東京都,Tokyo-to,2002283,795794,1206489,154155,61268,92887,320540,127396,193143
平成22,2010,0,13000,東京都,Tokyo-to,1860923,739420,1121503,141414,56190,85225,291053,115647,175406
平成23,2011,0,13000,東京都,Tokyo-to,1839868,731045,1108823,139526,55439,84087,285806,113561,172245
平成24,2012,0,13000,東京都,Tokyo-to,1881425,748402,1133023,142357,56628,85730,280854,111719,169135
平成24,2012,1,13100,区部,All ku,1393668,554650,839017,154920,61655,93265,290856,115755,175101
平成24,2012,2,13101,千代田区,Chiyoda-ku,18259,7415,10844,374664,152159,222505,642118,260778,381340
平成24,2012,2,13102,中央区,Chuo-ku,30371,12070,18301,234847,93334,141513,405752,161257,244496
平成24,2012,2,13103,港区,Minato-ku,88618,35347,53272,422492,168516,253975,704115,280845,423269
平成24,2012,2,13104,新宿区,Shinjuku-ku,56761,22551,34210,173737,69026,104711,256557,101931,154626
平成24,2012,2,13105,文京区,Bunkyo-ku,44726,17814,26912,213273,84946,128327,378452,150736,227716
平成24,2012,2,13106,台東区,Taito-ku,24403,9699,14704,135768,53958,81809,228868,90959,137908
平成24,2012,2,13107,墨田区,Sumida-ku,30201,11999,18203,121195,48149,73046,235683,93633,142050
平成24,2012,2,13108,江東区,Koto-ku,65890,26431,39459,140773,56469,84304,286538,114941,171597
平成24,2012,2,13109,品川区,Shinagawa-ku,62368,24808,37559,168874,67174,101700,303663,120791,182872
平成24,2012,2,13110,目黒区,Meguro-ku,59032,23493,35540,218308,86879,131429,410106,163208,246899
平成24,2012,2,13111,大田区,Ota-ku,101975,40485,61491,146424,58131,88293,284141,112805,171335
平成24,2012,2,13112,世田谷区,Setagaya-ku,169585,67598,101987,191515,76340,115176,366872,146238,220633
平成24,2012,2,13113,渋谷区,Shibuya-ku,61733,24603,37129,294855,117514,177341,462252,184230,278023
平成24,2012,2,13114,中野区,Nakano-ku,45622,18141,27480,145450,57838,87612,235588,93681,141907
平成24,2012,2,13115,杉並区,Suginami-ku,94464,37576,56887,171584,68254,103330,304262,121032,183231
平成24,2012,2,13116,豊島区,Toshima-ku,40671,16163,24508,141379,56186,85194,223680,88893,134787
平成24,2012,2,13117,北区,Kita-ku,38595,15324,23270,115723,45948,69774,211777,84087,127689
平成24,2012,2,13118,荒川区,Arakawa-ku,22365,8885,13480,109379,43453,65926,211339,83959,127380
平成24,2012,2,13119,板橋区,Itabashi-ku,62948,24997,37951,117374,46610,70764,220846,87700,133146
平成24,2012,2,13120,練馬区,Nerima-ku,93974,37364,56611,130962,52070,78893,271066,107774,163292
平成24,2012,2,13121,足立区,Adachi-ku,62760,24906,37853,91547,36331,55217,191372,75946,115426
平成24,2012,2,13122,葛飾区,Katsushika-ku,45410,18035,27375,103140,40963,62177,221531,87983,133548
平成24,2012,2,13123,江戸川区,Edogawa-ku,72935,28944,43991,108167,42926,65241,231066,91698,139368
平成24,2012,1,13200,市部,All shi,480517,190883,289635,116221,46168,70053,256684,101966,154718
平成24,2012,2,13201,八王子市,Hachioji-shi,58697,23289,35408,100961,40058,60903,227251,90166,137085
平成24,2012,2,13202,立川市,Tachikawa-shi,19973,7935,12038,111190,44174,67016,239984,95342,144642
平成24,2012,2,13203,武蔵野市,Musashino-shi,25644,10211,15432,184459,73452,111007,353367,140712,212655
平成24,2012,2,13204,三鷹市,Mitaka-shi,26765,10644,16122,143576,57095,86481,290813,115645,175168
平成24,2012,2,13205,青梅市,Ome-shi,13072,5188,7885,94628,37554,57075,243088,96471,146618
平成24,2012,2,13206,府中市,Fuchu-shi,31123,12370,18753,121268,48198,73070,263329,104661,158668
平成24,2012,2,13207,昭島市,Akishima-shi,11339,4494,6845,101438,40202,61236,230924,91520,139403
平成24,2012,2,13208,調布市,Chofu-shi,30234,12008,18226,134341,53357,80984,272789,108345,164444
平成24,2012,2,13209,町田市,Machida-shi,49218,19567,29651,115138,45774,69364,265554,105573,159981
平成24,2012,2,13210,小金井市,Koganei-shi,16763,6665,10098,140169,55729,84440,281328,111851,169477
平成24,2012,2,13211,小平市,Kodaira-shi,21305,8458,12847,113266,44964,68302,249349,98986,150363
平成24,2012,2,13212,日野市,Hino-shi,20313,8072,12241,112211,44588,67623,245584,97585,147999
平成24,2012,2,13213,東村山市,Higashimurayama-shi,15445,6137,9308,100863,40077,60787,233569,92805,140763
平成24,2012,2,13214,国分寺市,Kokubunji-shi,17077,6792,10285,141402,56238,85164,289281,115052,174229
平成24,2012,2,13215,国立市,Kunitachi-shi,11070,4402,6668,146594,58294,88300,302407,120254,182152
平成24,2012,2,13218,福生市,Fussa-shi,5619,2228,3391,95540,37881,57659,198835,78837,119998
平成24,2012,2,13219,狛江市,Komae-shi,9764,3879,5885,123979,49250,74729,245329,97455,147874
平成24,2012,2,13220,東大和市,Higashiyamato-shi,8345,3312,5033,99476,39483,59993,238338,94599,143739
平成24,2012,2,13221,清瀬市,Kiyose-shi,7003,2780,4224,94476,37497,56980,220831,87645,133186
平成24,2012,2,13222,東久留米市,Higashikurume-shi,11984,4761,7223,103686,41194,62492,240229,95442,144787
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,5741,2275,3466,81476,32288,49188,206184,81707,124476
平成24,2012,2,13224,多摩市,Tama-shi,17030,6758,10272,116618,46278,70340,260861,103518,157343
平成24,2012,2,13225,稲城市,Inagi-shi,10487,4170,6317,121605,48351,73254,290996,115702,175294
平成24,2012,2,13227,羽村市,Hamura-shi,5738,2274,3465,101465,40202,61262,235385,93264,142121
平成24,2012,2,13228,あきる野市,Akiruno-shi,7310,2898,4412,90176,35746,54430,239975,95127,144848
平成24,2012,2,13229,西東京市,Nishitokyo-shi,23455,9318,14137,117694,46755,70939,259293,103006,156287
