年末（平成）,End of year,地域階層,地域コード,地域,District,総数Total,中国China,韓国・朝鮮Korea,フィリピンPhilippines,アメリカU.S.A.,インドIndia,タイThailand,ネパールNepal,イギリスU.K.,フランスFrance,ミャンマーMyanmar,その他Others
21,2009,0,13000,総数,Tokyo-to,418116,157070,116158,31502,18746,9644,7202,6416,6986,5587,5128,53677
22,2010,0,13000,総数,Tokyo-to,422226,164672,115025,30572,18264,9585,7296,7054,6702,5561,5257,52238
23,2011,0,13000,総数,Tokyo-to,406096,164199,105522,29540,17342,8750,7177,7786,6064,4945,5238,49533
24,2012,0,13000,総数,Tokyo-to,390674,161169,99880,27929,15901,8313,6906,8669,5522,4635,4781,46969
25,2013,0,13000,総数,Tokyo-to,394410,162809,96215,28075,15590,7902,6885,10623,5250,4642,4998,51421
25,2013,1,13100,区部,All ku,330586,138642,81208,21114,12855,7279,5654,9215,4620,4353,4758,40888
25,2013,3,13101,千代田区,Chiyoda-ku,2457,1084,370,47,172,93,32,44,72,153,7,383
25,2013,3,13102,中央区,Chuo-ku,4916,2136,1095,113,267,234,52,73,95,80,25,746
25,2013,3,13103,港区,Minato-ku,18104,3492,3662,889,3342,627,179,97,800,680,25,4311
25,2013,3,13104,新宿区,Shinjuku-ku,34121,12713,11377,654,959,207,675,1493,346,759,1086,3852
25,2013,3,13105,文京区,Bunkyo-ku,7087,2912,1887,193,278,88,198,172,94,149,117,999
25,2013,3,13106,台東区,Taito-ku,12802,6083,3543,632,171,611,258,277,69,83,65,1010
25,2013,3,13107,墨田区,Sumida-ku,9309,4493,1970,1250,119,76,341,106,51,31,67,805
25,2013,3,13108,江東区,Koto-ku,21234,10840,4593,1369,337,1187,345,271,106,99,206,1881
25,2013,3,13109,品川区,Shinagawa-ku,10446,3844,2310,679,543,393,164,489,179,138,181,1526
25,2013,3,13110,目黒区,Meguro-ku,6982,1613,1464,511,718,132,126,229,307,239,40,1603
25,2013,3,13111,大田区,Ota-ku,18545,7513,3671,2120,531,247,403,1146,157,91,110,2556
25,2013,3,13112,世田谷区,Setagaya-ku,14845,4007,4019,727,1283,365,194,273,585,344,71,2977
25,2013,3,13113,渋谷区,Shibuya-ku,8880,1855,1574,279,1270,171,188,132,660,519,34,2198
25,2013,3,13114,中野区,Nakano-ku,10949,4342,2880,412,375,82,197,508,163,145,182,1663
25,2013,3,13115,杉並区,Suginami-ku,10709,3822,2672,442,557,113,193,707,236,160,141,1666
