産業 (大分類),Industry (Major groups),総数 Total,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／企業数 Enterprises,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／インターネットのみ Utilizing the Internet only／他の企業などと行っている With other companies,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／インターネットのみ Utilizing the Internet only／一般消費者と行っている With general consumers ,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／インターネット以外のみ Utilizing a computer network other than the Internet／他の企業などと行っている With other companies,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／インターネット以外のみ Utilizing a computer network other than the Internet／一般消費者と行っている With general consumers ,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／インターネット及びインターネット以外の併用  Utilizing the Internet and a computer network other／他の企業などと行っている With other companies,電子商取引を行っている企業数 Number of enterprises engaged in electronic commerce／インターネット及びインターネット以外の併用 Utilizing the Internet and a computer network other／一般消費者と行っている With general consumers 
総数,Total,255400,39213,25352,13886,2531,320,3500,1415
農業,Agriculture,284,42,32,14,1,-,3,1
林業,Forestry,21,2,1,-,1,-,-,-
漁業,Fisheries,5,2,-,1,1,-,-,-
鉱業,Mining,72,2,1,1,-,-,-,-
建設業,Construction,28393,2943,2345,505,155,18,208,58
製造業,Manufacturing,38377,6034,4305,1288,512,38,615,165
電気・ガス・熱供給・水道,Electricity， gas， heat supply and water,88,16,14,-,-,-,2,2
情報通信業,Information and communications,15398,4584,3183,1836,126,25,328,175
運輸業,Transport,5182,647,441,110,82,1,79,18
卸売・小売業,Wholesale and retail trade,73066,14795,8244,6099,1254,147,1468,602
金融・保険業,Finance and insurance,3678,613,336,274,31,7,59,28
不動産業,Real estate,23462,1765,1145,927,53,32,151,115
飲食店，宿泊業,Eating and drinking places ， accommodations,17103,788,410,453,31,6,36,31
医療，福祉,Medical， health care and welfare,2255,158,102,57,7,-,15,2
教育，学習支援業,Education， learning support,2479,387,207,264,4,3,17,17
複合サービス事業,Compound services,5,-,-,-,-,-,-,-
サービス業（他に分類されないもの）,Services， n.e.c.,45532,6435,4586,2057,273,43,519,201
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,
5-6  企業の電子商取引の状況(平成18年) 5-6 ENGAGEMENT ELECTRONIC COMMERCE OF ENTERPRISES （2006）,,,,,,,,,
「事業所・企業統計調査」による。10月１日現在。電子商取引とは，インターネットやインターネット以外のコンピューターネットワークを利用した商取引をいう。ただし，決済及び同一企業内の事業所間での商取引は，ここでいう電子商取引には含まれない。,,,,,,,,,
Date are based on the Establishment and Enterprise Census. As of October 1. Electronic commerce is the commercial transaction utilizing a computer network such as the Internet. However ， transaction to other establishments of the same enterprise is not included in this category.,,,,,,,,,
注 1) 複数回答があるため，内訳の合算は合計に一致しない。,,,,,,,,,
Note: 1) The total is not necessarily equals to the sum of its components due to multiple answers.,,,,,,,,,
資料：都総務局統計部経済統計課「事業所・企業統計調査報告」　　　　Source :  Bureau of General Affairs ， T.M.G.,,,,,,,,,
