地域階層,地域コード,項番 Item number,地域,District,事業所総数／Number of establishments Total,卸売業 Wholesale trade／計 Total,卸売業 Wholesale trade／各種商品卸売業 Wholesale trade， general merchandise,卸売業 Wholesale trade／繊維品卸売業 (衣服，身の回り品を除く) Textile products (except apparel，  accessories and notions),卸売業 Wholesale trade／衣服・身の回り品卸売業 Apparel，apparel accessories and notions,卸売業 Wholesale trade／農畜産物・水産物卸売業 Agricultural， animal and poultry farm and aquatic products,卸売業 Wholesale trade／食料・飲料卸売業 Food and beverages,卸売業 Wholesale trade／建築材料卸売業 Building materials,卸売業 Wholesale trade／化学製品卸売業 Chemicals and related products,卸売業 Wholesale trade／鉱物・金属材料卸売業  Minerals and metals,卸売業 Wholesale trade／再生資源卸売業 Recycled material,卸売業 Wholesale trade／一般機械器具卸売業 General machinery and equipment,卸売業 Wholesale trade／自動車卸売業 Motor vehicles,卸売業 Wholesale trade／電気機械器具卸売業 Electrical machinery， equipment and supplies,卸売業 Wholesale trade／その他の機械器具卸売業 Miscellaneous machinery and equipment,卸売業 Wholesale trade／家具・建具・じゅう器等卸売業 Furniture， fixtures and house furnishings,卸売業 Wholesale trade／医薬品・化粧品等卸売業 Drugs and toiletries,卸売業 Wholesale trade／他に分類されない卸売業 Other products， n.e.c.,小売業 Retail trade／計 Total,小売業 Retail trade／百貨店，総合スーパー Department stores and general merchandise supermarkets,小売業 Retail trade／その他の各種商品小売業 (従業者が常時50人未満のもの) Miscellaneous retail trade， general merchandise (with less than 50 employees),小売業 Retail trade／呉服・服地・寝具小売業 Dry goods， cloth and bedding stores,小売業 Retail trade／男子服小売業 Men's clothing stores,小売業 Retail trade／婦人・子供服小売業 Women's and children's clothing stores,小売業 Retail trade／靴・履物小売業 Footwear stores,小売業 Retail trade／その他の織物・衣服・身の回り品小売業 Miscellaneous dry goods， apparel and apparel accessories stores,小売業 Retail trade／各種食料品小売業 Grocery stores,小売業 Retail trade／酒小売業 Liquor stores,小売業 Retail trade／食肉小売業 Meat and poultry stores,小売業 Retail trade／鮮魚小売業 Fresh fish stores,小売業 Retail trade／野菜・果実小売業 Vegetable and fruit stores,小売業 Retail trade／菓子・パン小売業 Confectioneries and bakeries,小売業 Retail trade／米殻類小売業 Rice，barley and other cereals stores,小売業 Retail trade／その他の飲食料品小売業 Retail food and beverage stores， n.e.c.,小売業 Retail trade／自動車小売業 Motor vehicle stores,小売業 Retail trade／自転車小売業 Bicycle stores,"小売業 Retail trade／家具・建具・畳小売業 Furniture， fixture and “Tatami"" mat stores",小売業 Retail trade／機械器具小売業 Appliance stores,小売業 Retail trade／その他のじゅう器小売業 Miscellaneous household utensil stores,小売業 Retail trade／医薬品・化粧品小売業 Drug and toiletry stores,小売業 Retail trade／農耕用品小売業 Farming and gardening supply stores,小売業 Retail trade／燃料小売業 Fuel stores,小売業 Retail trade／書籍・文房具小売業 Book and stationery stores,小売業 Retail trade／スポーツ用品・がん具・娯楽用品・楽器小売業 Sporting goods， toy， amusement goods and musical instrument stores,小売業 Retail trade／写真機・写真材料小売業 Camera and photographic supply stores,小売業 Retail trade／時計・眼鏡・光学機械小売業 Watch，Spectacles and  optical goods stores,小売業 Retail trade／他に分類されない小売業 Retail trade， n.e.c.
0,13000,,東京都,Tokyo-to,149965,47270,163,979,5180,4150,4088,3553,2744,2443,1136,3447,1532,3296,2307,1736,1921,8595,102695,148,103,1883,2739,8879,1587,3861,1638,3000,1553,1172,2494,6226,1989,16506,3709,1204,2284,3966,1935,8120,116,2235,5485,2779,365,2059,14660
1,13100,,区部,All ku,119223,41921,152,950,4999,3590,3425,2801,2548,2290,1002,3077,1202,2871,2038,1518,1611,7847,77302,91,72,1465,2177,6988,1288,3095,1038,2323,1193,920,1881,4553,1562,12475,2228,845,1656,2951,1521,5992,53,1417,4287,2052,296,1542,11341
2,13101,1,千代田区,Chiyoda-ku,6684,3627,22,111,276,136,220,139,364,235,14,305,50,510,252,86,164,743,3057,3,3,17,123,239,40,140,39,51,6,7,23,154,22,414,21,9,30,268,55,165,1,20,394,199,21,60,533
2,13102,2,中央区,Chuo-ku,10299,7240,23,313,1138,1265,605,240,648,443,42,474,67,326,230,217,219,990,3059,7,2,109,125,250,79,154,12,64,18,37,40,154,23,490,48,12,42,66,71,191,-,36,189,60,21,85,674
2,13103,3,港区,Minato-ku,6789,3196,18,40,261,212,263,160,216,239,28,352,131,327,202,107,140,500,3593,2,7,52,131,430,63,226,45,72,18,17,42,194,30,604,71,7,81,93,75,238,4,46,202,87,17,61,678
2,13104,4,新宿区,Shinjuku-ku,5294,1559,7,17,116,143,150,105,73,48,19,95,44,131,112,69,96,334,3735,4,6,61,103,427,92,185,54,85,29,24,61,144,69,583,53,26,70,134,79,318,3,37,266,154,25,81,562
2,13105,5,文京区,Bunkyo-ku,3254,1356,9,13,79,56,95,56,54,26,18,68,18,123,294,36,114,297,1898,1,1,27,36,120,22,75,27,75,25,29,56,126,37,314,34,12,46,66,47,169,1,26,144,46,6,41,289
2,13106,6,台東区,Taito-ku,7812,4160,6,154,943,127,177,122,194,138,46,217,53,193,164,145,73,1408,3652,3,2,104,132,217,110,285,28,101,38,38,59,224,62,467,86,32,106,117,95,216,3,44,179,136,21,80,667
2,13107,7,墨田区,Sumida-ku,4583,2084,7,55,322,64,133,148,131,214,64,158,51,63,52,102,50,470,2499,1,1,51,57,131,26,98,35,114,48,31,69,161,73,416,104,29,55,97,59,173,-,60,116,52,10,55,377
2,13108,8,江東区,Koto-ku,4550,1572,9,18,94,120,125,352,79,105,63,110,62,51,41,62,33,248,2978,8,2,52,69,262,51,107,36,98,46,46,72,197,79,539,99,30,58,95,45,256,-,73,149,70,4,57,378
2,13109,9,品川区,Shinagawa-ku,4441,1545,7,8,118,72,114,90,97,87,36,172,60,226,112,83,48,215,2896,4,4,59,55,234,49,107,38,99,46,50,85,158,68,537,65,23,71,103,69,271,2,32,154,60,17,73,363
2,13110,10,目黒区,Meguro-ku,2850,578,2,9,97,33,59,31,22,21,13,35,25,60,21,37,15,98,2272,2,2,37,54,328,35,105,30,54,36,18,66,120,36,306,49,22,90,70,57,177,4,27,105,55,8,46,333
2,13111,11,大田区,Ota-ku,6947,1903,4,7,44,309,182,175,89,161,92,239,75,117,51,46,47,265,5044,2,3,98,88,355,64,135,70,150,106,95,165,343,124,925,164,69,120,201,79,417,1,100,251,95,12,85,727
