年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成23,2011,13200,,市部,All shi,1398417,11968,172339,624371,120609,10756,2826,8255,131238,52691,167685,963,94558,158
平成24,2012,13200,,市部,All shi,1398647,10742,157423,635892,118661,8315,2954,9026,135863,52144,170022,26,93079,4501
平成25,2013,13200,,市部,All shi,1399474,10347,163153,655304,112921,6476,2793,8804,138541,50508,158372,49,92040,164
平成25,2013,13201,1,八王子市,Hachioji-shi,188362,718,17128,90414,15604,429,295,2250,18801,6426,22313,0,13984,0
平成25,2013,13202,2,立川市,Tachikawa-shi,70403,472,8839,34457,5228,546,181,360,6576,2343,7094,0,4306,0
平成25,2013,13203,3,武蔵野市,Musashino-shi,59809,449,9183,22459,5460,262,71,410,8849,1952,8305,0,2411,0
平成25,2013,13204,4,三鷹市,Mitaka-shi,63214,526,7556,30697,3552,157,152,329,6458,2120,7151,0,4380,136
平成25,2013,13205,5,青梅市,Ome-shi,46341,415,5346,21820,4386,21,191,339,3664,1830,5541,7,2783,0
平成25,2013,13206,6,府中市,Fuchu-shi,93654,510,12824,42162,6469,514,93,362,13206,2879,9679,0,4957,0
平成25,2013,13207,7,昭島市,Akishima-shi,38431,363,4688,18654,3082,387,34,183,2768,1440,4320,0,2511,0
平成25,2013,13208,8,調布市,Chofu-shi,74841,504,9186,35478,4950,236,85,327,8728,2636,8443,0,4269,0
平成25,2013,13209,9,町田市,Machida-shi,131887,641,16360,64744,12414,407,301,892,9867,5030,15267,0,5935,28
平成25,2013,13210,10,小金井市,Koganei-shi,37989,366,4500,16604,3899,387,46,210,3468,1467,4111,0,2931,0
平成25,2013,13211,11,小平市,Kodaira-shi,57757,464,7174,27518,4587,211,79,165,4099,2202,6815,13,4429,0
平成25,2013,13212,12,日野市,Hino-shi,57901,410,6355,27156,4860,251,127,330,6750,2037,5898,14,3712,0
平成25,2013,13213,13,東村山市,Higashimurayama-shi,49706,355,4256,24832,3885,420,94,104,4520,1795,5533,0,3912,0
平成25,2013,13214,14,国分寺市,Kokubunji-shi,40541,349,3397,16450,3213,179,61,85,8299,1553,3967,5,2982,0
平成25,2013,13215,15,国立市,Kunitachi-shi,25650,327,2898,12003,1864,175,64,233,3113,1037,2344,0,1592,0
平成25,2013,13218,16,福生市,Fussa-shi,22010,292,2963,10351,2294,207,46,149,1643,842,2126,8,1091,0
平成25,2013,13219,17,狛江市,Komae-shi,24658,323,3701,11215,1953,97,28,86,1438,1124,2198,0,2495,0
平成25,2013,13220,18,東大和市,Higashiyamato-shi,28076,313,3689,14712,1944,42,52,94,1672,1102,2788,1,1667,0
平成25,2013,13221,19,清瀬市,Kiyose-shi,27196,246,3582,14443,1707,125,48,68,1044,989,2792,1,2150,0
平成25,2013,13222,20,東久留米市,Higashikurume-shi,37289,319,3404,17995,2835,255,89,108,3712,1558,4012,0,3005,0
平成25,2013,13223,21,武蔵村山市,Musashimurayama-shi,26746,286,3042,13855,1820,59,35,199,2024,1062,2990,0,1374,0
平成25,2013,13224,22,多摩市,Tama-shi,50333,379,7374,23067,3832,278,56,485,2711,1781,7783,0,2588,0
平成25,2013,13225,23,稲城市,Inagi-shi,30506,319,2552,11642,2895,97,59,132,4548,1180,5079,0,2003,0
平成25,2013,13227,24,羽村市,Hamura-shi,20847,257,3137,9265,2102,138,30,255,1517,772,2179,0,1194,0
平成25,2013,13228,25,あきる野市,Akiruno-shi,30242,285,3748,11766,3048,212,387,275,3638,1054,3176,0,2655,0
平成25,2013,13229,26,西東京市,Nishitokyo-shi,65084,461,6274,31543,5038,384,88,375,5427,2297,6470,0,6726,0
平成23,2011,13300,,郡部,All gun,31246,586,5608,8918,3179,389,1229,931,4268,1248,3288,62,1541,-
平成24,2012,13300,,郡部,All gun,31153,504,4786,9291,3324,443,1222,687,4295,1458,3583,42,1518,0
平成25,2013,13300,,郡部,All gun,31823,490,5426,9303,2946,331,1186,1024,3798,1266,4466,73,1514,0
平成25,2013,13303,1,瑞穂町,Mizuho-machi,13663,168,1965,4411,1402,136,54,72,1766,523,2686,6,474,0
平成25,2013,13305,2,日の出町,Hinode-machi,8806,154,1531,3332,689,79,207,101,864,307,878,0,664,0
平成25,2013,13307,3,檜原村,Hinohara-mura,3311,73,854,609,280,47,339,78,415,222,278,23,92,0
平成25,2013,13308,4,奥多摩町,Okutama-machi,6044,95,1077,951,575,69,587,773,753,214,623,44,284,0
平成23,2011,13350,,島部,All islands,35484,514,9106,4963,4991,512,1885,1828,3641,1395,3367,207,2979,94
平成24,2012,13350,,島部,All islands,35070,455,9198,5139,5315,476,1813,1981,2929,1563,2863,74,3175,89
平成25,2013,13350,,島部,All islands,37968,449,7855,6076,8158,488,1739,1696,2978,1613,3215,548,3044,110
平成25,2013,13361,1,大島町,Oshima-machi,12719,83,2391,2206,4542,96,273,454,458,245,884,319,766,0
平成25,2013,13362,2,利島村,Toshima-mura,962,19,171,152,187,28,116,99,55,17,74,0,44,0
平成25,2013,13363,3,新島村,Niijima-mura,3991,54,937,623,290,53,266,261,424,327,486,0,271,0
平成25,2013,13364,4,神津島村,Kozushima-mura,2647,47,418,440,319,127,283,189,312,54,297,76,84,0
平成25,2013,13381,5,三宅村,Miyake-mura,3821,51,624,459,644,47,272,266,316,282,430,66,313,53
平成25,2013,13382,6,御蔵島村,Mikurajima-mura,1206,17,627,112,65,0,108,61,72,19,79,0,45,0
平成25,2013,13401,7,八丈町,Hachijo-machi,7171,97,976,1360,1172,137,287,208,1161,300,612,87,717,57
平成25,2013,13402,8,青ヶ島村,Aogashima-mura,870,15,484,52,85,0,38,12,33,7,87,0,57,0
平成25,2013,13421,9,小笠原村,Ogasawara-mura,4582,67,1227,672,853,0,96,146,145,362,266,0,747,0
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成23～平成25年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2011-2013 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
