年次,Year,月次 ,Month,立会日数 Trading days,上場会社数(年・月末) Number of listed companies (End of y.& m.),時価総額(年・月末)(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数(千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証株価指数平均 (TOPIX) Tokyo stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成21,2009,総数,Total,243,1684,302712168,2272011,154.34,869.33,245.11,2.24
平成22,2010,総数,Total,245,1670,305693030,2088554,135.69,885.43,240.36,1.91
平成23,2011,総数,Total,245,1672,251395748,2141414,139.94,820.8,228.49,2.03
平成24,2012,総数,Total,248,1695,296442945,2095784,140.67,768.64,219.08,2.18
平成25,2013,総数,Total,245,1774,458484253,3436155,220.95,1125.94,296.09,1.65
平成25,2013,1,Jan.,19,1697,324714528,3835182,19.75,901.2,248.86,1.91
平成25,2013,2,Feb.,19,1699,337490278,4028693,20.73,961.02,259.96,1.83
平成25,2013,3,Mar.,20,1709,359766497,3556539,19.25,1028.55,281.53,1.69
平成25,2013,4,Apr.,21,1712,404650096,4608741,26.06,1110.41,297.15,1.6
平成25,2013,5,May,21,1716,394641859,5001761,28.16,1203.38,318.5,1.55
平成25,2013,6,June,20,1712,393957453,3555081,19.06,1089.48,286.71,1.75
平成25,2013,7,July,22,1752,396506736,2946044,17.23,1186.91,309.01,1.62
平成25,2013,8,Aug.,22,1752,387439882,2267401,13.24,1145.42,300.56,1.66
平成25,2013,9,Sept.,19,1746,417303078,3237545,16.47,1185.18,311.34,1.6
平成25,2013,10,Oct.,22,1754,418973677,2706080,15.59,1188.51,306.17,1.58
平成25,2013,11,Nov.,20,1760,441904562,2830574,14.47,1222.9,311.84,1.55
平成25,2013,12,Dec.,20,1774,458484253,2801852,14.28,1254.45,314.1,1.52
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (1) 第一部 (平成21～25年) 15-6  TRANSACTIONS OF STOCK (1) THE 1st SECTION ( 2009-2013 ),,,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注 1) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: 1) Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
