品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,21500732,,10039199,,11461533
食料品及び動物,Foodstuffs and animals,,,,,,,,,,1566147,,1439676,,126471
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,,1，000t,,924,435060,924,435060,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,715,562514,674,505516,41,56998
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,,1，000t,,1509,283211,1456,246363,53,36848
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,407078,,398201,,8878
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,288,114911,288,114911,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,263268,,263268,,-
食料に適さない原材料,No beverage raw material,,,,,,,,,,294875,,224263,,70612
鉱物性燃料,Mineral fuels,,,,,,,,,,12330,,10123,,2207
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,110,26623,110,25193,1,1430
化学製品,Chemical products,,,,,,,,,,2590729,,903589,,1687140
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,590329,,190712,,399617
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,472691,,114301,,358390
化学製品,Chemical products,医薬品,Medical products,,,,,1，000t,,40,1208715,31,136967,9,1071748
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,913,275723,904,238366,9,37357
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1704495,,1010888,,693607
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,,1，000t,,998,137509,998,137509,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,,,,195991,,168210,,27781
