年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,ゴルフ場利用税交付金 Golf facilities tax allocations,地方消費税交付金 Local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成23,2011,13100,,区部,All ku,3233681,905940,15943,12198,6648,37,132141,7629,16169,886527,1235,26527,79354,15780,542016,187372,16387,4032,153317,85872,62872,75685
平成24,2012,13100,,区部,All ku,3258147,922015,15013,11739,7457,38,132834,8619,5025,905047,1214,27202,80035,15497,542630,190416,22447,7641,134773,94003,63657,70846
平成25,2013,13100,,区部,All ku,3312579,948056,14365,14969,23481,40,131702,8403,4950,936101,1137,29043,84368,16007,563811,199026,15364,7607,109397,96394,65464,42895
平成25,2013,13101,1,千代田区,Chiyoda-ku,49569,15420,300,197,311,-,9434,188,9,6738,23,246,3688,546,2833,1764,2151,2115,483,1631,1494,-
平成25,2013,13102,2,中央区,Chuo-ku,78449,22596,390,320,503,-,7748,244,64,13694,27,385,5239,713,6968,4224,1067,48,7486,2409,3710,612
平成25,2013,13103,3,港区,Minato-ku,116591,61575,452,981,1516,-,10785,281,61,2450,47,379,6089,741,9586,6220,451,184,9268,3525,1999,-
平成25,2013,13104,4,新宿区,Shinjuku-ku,133402,40571,478,616,964,-,8363,295,85,26949,50,1546,3512,874,24003,8747,1131,228,7672,3414,2708,1196
平成25,2013,13105,5,文京区,Bunkyo-ku,78746,28780,272,480,753,-,3494,167,55,17335,22,845,1955,436,8198,3873,481,109,6185,3752,1054,500
平成25,2013,13106,6,台東区,Taito-ku,91885,18917,317,264,415,-,3547,196,102,28192,28,565,2636,630,20531,6768,493,92,1013,3170,3010,998
平成25,2013,13107,7,墨田区,Sumida-ku,102167,21182,362,323,508,-,3273,224,166,37068,33,999,2349,489,19654,6065,465,257,2499,2784,1542,1926
平成25,2013,13108,8,江東区,Koto-ku,171553,45145,666,681,1083,22,6229,415,356,52550,51,2648,2972,739,27902,9709,272,3031,7856,5130,2545,1550
平成25,2013,13109,9,品川区,Shinagawa-ku,133089,42044,542,664,1045,-,5818,335,161,36177,38,1517,4966,606,20751,8460,1068,710,1277,3647,3264,-
平成25,2013,13110,10,目黒区,Meguro-ku,86967,40318,367,641,1004,-,3070,226,74,15106,32,953,2414,460,9393,4397,130,35,2917,4406,842,181
平成25,2013,13111,11,大田区,Ota-ku,239318,67950,1777,1108,1731,-,7974,617,433,68717,82,2389,6877,1123,43349,15138,651,23,3456,5866,5752,4305
平成25,2013,13112,12,世田谷区,Setagaya-ku,244136,109089,1205,1830,2867,-,8230,744,342,43598,106,1512,5986,1328,35924,16837,784,51,250,4162,6791,2498
平成25,2013,13113,13,渋谷区,Shibuya-ku,81818,43427,403,660,1030,-,5566,249,44,5612,39,765,3090,685,8443,3836,383,95,-,6452,923,116
平成25,2013,13114,14,中野区,Nakano-ku,115384,30484,410,494,775,-,3238,252,112,33275,29,520,1892,522,20477,7694,791,126,6383,2031,926,4952
平成25,2013,13115,15,杉並区,Suginami-ku,169146,59627,726,1006,1583,-,5295,447,186,38444,65,643,3936,773,23906,10190,662,56,9562,7114,1636,3290
平成25,2013,13116,16,豊島区,Toshima-ku,104751,29860,437,431,679,-,4450,270,113,29237,30,852,3056,655,19686,6636,78,9,4763,1213,1986,310
平成25,2013,13117,17,北区,Kita-ku,133567,26114,453,413,649,10,3536,280,163,47355,32,1299,2998,549,23513,6965,1448,41,7540,2622,4324,3262
平成25,2013,13118,18,荒川区,Arakawa-ku,85470,15394,274,236,373,-,2180,169,162,36051,21,1035,1939,337,16081,5095,314,11,1749,2080,1756,213
平成25,2013,13119,19,板橋区,Itabashi-ku,181977,42380,776,677,1063,4,5503,480,384,63059,66,2744,3699,782,40277,10625,354,31,665,3800,2294,2311
平成25,2013,13120,20,練馬区,Nerima-ku,230574,61610,1011,1013,1590,-,6534,624,402,81281,84,903,3831,828,43334,15187,467,13,1064,3048,3214,4536
平成25,2013,13121,21,足立区,Adachi-ku,263018,44189,1034,669,1052,3,6743,640,586,97417,89,2314,4550,854,57259,16105,722,125,15308,3728,5342,4289
平成25,2013,13122,22,葛飾区,Katsushika-ku,174835,31526,666,487,764,-,4319,412,380,69818,60,1632,2607,524,32058,11716,434,15,3097,5908,3818,4595
平成25,2013,13123,23,江戸川区,Edogawa-ku,246167,49858,1043,778,1222,-,6372,645,509,85978,83,2354,4089,812,49685,12776,567,199,8905,14500,4536,1254
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成23～25年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2011-2013 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,
