年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成23,2011,13100,,区部,All ku,3122952,21248,367663,1558191,255446,13631,1742,53040,279076,20366,410374,2521,136414,3239
平成24,2012,13100,,区部,All ku,3144193,19103,392279,1591288,250868,10245,951,45788,287773,22484,403762,889,118579,183
平成25,2013,13100,,区部,All ku,3179555,18356,404619,1615333,252272,7993,972,42994,287310,22219,418733,826,107799,131
平成25,2013,13101,1,千代田区,Chiyoda-ku,46567,578,12581,12582,4273,100,-,1500,6715,382,6977,-,879,-
平成25,2013,13102,2,中央区,Chuo-ku,75909,625,11749,24724,6021,201,57,4057,13509,379,13999,-,588,-
平成25,2013,13103,3,港区,Minato-ku,106228,717,15502,43481,11016,294,-,2579,7997,2307,21148,-,1187,-
平成25,2013,13104,4,新宿区,Shinjuku-ku,129948,758,17050,68019,14437,838,-,2086,9078,1772,12258,-,3653,-
平成25,2013,13105,5,文京区,Bunkyo-ku,75880,649,11344,31786,6435,149,-,665,3795,1001,17974,-,2082,-
平成25,2013,13106,6,台東区,Taito-ku,87643,652,9991,48188,7532,246,-,3954,5177,1348,7247,-,3307,-
平成25,2013,13107,7,墨田区,Sumida-ku,98981,637,10976,54962,7208,317,-,1859,7362,767,11486,-,3405,-
平成25,2013,13108,8,江東区,Koto-ku,167417,874,25827,83241,15878,188,-,980,8477,1063,27265,613,3011,-
平成25,2013,13109,9,品川区,Shinagawa-ku,129744,844,16244,60272,10663,531,-,1749,18813,1338,16325,2,2963,-
平成25,2013,13110,10,目黒区,Meguro-ku,83205,696,13817,37334,7806,209,7,696,6603,513,10937,0,4587,-
平成25,2013,13111,11,大田区,Ota-ku,224512,1053,24785,121061,16263,124,19,3358,27967,1490,20635,-,7756,-
平成25,2013,13112,12,世田谷区,Setagaya-ku,236604,926,29052,114267,19720,346,193,1624,26683,689,33650,-,9455,-
平成25,2013,13113,13,渋谷区,Shibuya-ku,72277,753,12987,34691,7293,193,-,650,3332,777,9056,-,2544,-
平成25,2013,13114,14,中野区,Nakano-ku,112492,857,13039,53437,7967,305,3,608,9671,928,13064,-,12612,-
平成25,2013,13115,15,杉並区,Suginami-ku,161697,969,25591,81333,13591,561,63,805,13386,682,22974,-,1743,-
平成25,2013,13116,16,豊島区,Toshima-ku,102046,672,16701,50161,7042,156,-,743,12645,352,9073,-,4501,-
平成25,2013,13117,17,北区,Kita-ku,127958,851,16579,67201,8513,196,-,2749,9124,1469,17800,65,3412,-
平成25,2013,13118,18,荒川区,Arakawa-ku,82996,612,9723,45752,6273,123,-,1790,7058,695,8467,-,2503,-
平成25,2013,13119,19,板橋区,Itabashi-ku,176683,916,17320,108205,14207,173,103,1110,9894,661,18859,-,5236,-
平成25,2013,13120,20,練馬区,Nerima-ku,225771,1075,20544,124606,17522,827,262,2458,20295,928,27014,-,10240,-
平成25,2013,13121,21,足立区,Adachi-ku,254188,941,23050,141457,15330,1011,92,1763,21519,1054,38595,-,9376,-
平成25,2013,13122,22,葛飾区,Katsushika-ku,167360,814,19085,86627,11016,596,32,3341,14730,1254,19019,12,10702,130
平成25,2013,13123,23,江戸川区,Edogawa-ku,233447,887,31086,121945,16265,305,141,1871,23478,369,34910,134,2058,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成23～25年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2011-2013 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
