年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成21,2009,総数,Total,,,,2034150,2989010,57342,539511,1976808,2449499
平成22,2010,総数,Total,,,,1969215,2948991,60518,475896,1908697,2473095
平成23,2011,総数,Total,,,,1899436,2765152,59525,447492,1839911,2317660
平成24,2012,総数,Total,,,,1968053,3072475,69839,580634,1898214,2491841
平成25,2013,総数,Total,,,,2162100,3202455,70596,572661,2091504,2629794
平成25,2013,うち区部,Ku area only,,,,2074740,2577201,12180,2102,2062560,2575099
平成25,2013,東海道本線,Tokaido Line,,,※,1389909,1540280,30,1302,1389879,1538978
平成25,2013,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
平成25,2013,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1389909,1540280,30,1302,1389879,1538978
平成25,2013,中央線,Chuo Line,,,,79560,580878,50616,526183,28944,54695
平成25,2013,中央線,Chuo Line,中野,Nakano,※,800,-,800,-,-,-
平成25,2013,中央線,Chuo Line,八王子,Hachioji,,78760,580878,49816,526183,28944,54695
平成25,2013,青梅線,Ome Line,,,,8600,44376,8600,44376,-,-
平成25,2013,青梅線,Ome Line,拝島,Haijima,,8600,44376,8600,44376,-,-
平成25,2013,東北本線,Tohoku Line,,,※,20,175835,-,-,20,175835
平成25,2013,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
平成25,2013,東北本線,Tohoku Line,北王子,Kitaoji,,20,175835,-,-,20,175835
平成25,2013,常磐線,Joban Line,,,※,672661,861086,-,800,672661,860286
平成25,2013,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
平成25,2013,常磐線,Joban Line,綾瀬,Ayase,,-,800,-,800,-,-
平成25,2013,常磐線,Joban Line,隅田川,Sumidagawa,,672661,860286,-,-,672661,860286
平成25,2013,総武線,Sobu Line,,,※,11350,-,11350,-,-,-
平成25,2013,総武線,Sobu Line,新小岩操,Shinkoiwaso,,10148,-,10148,-,-,-
平成25,2013,総武線,Sobu Line,越中島,Etchujima,,1202,-,1202,-,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成21～25年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2009-2013 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
