年度(和暦),Fiscal year,路線と地域,District and Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成21,2009,総数,All Line,総数,All Station,,3258406,1930282,1328124
平成22,2010,総数,All Line,総数,All Station,,3232332,1929709,1302623
平成23,2011,総数,All Line,総数,All Station,,3225866,1917516,1308359
平成24,2012,総数,All Line,総数,All Station,,3273538,1929235,1343261
平成25,2013,総数,All Line,総数,All Station,,3317344,1962690,1354654
平成25,2013,東京都,Tokyo to,総数,All Station,,2773094,1614710,1158384
平成25,2013,東海道本線,Tokaido Line,,,※,665277,394354,270923
平成25,2013,東海道本線,Tokaido Line,東京,Tokyo,,151807,79939,71867
平成25,2013,東海道本線,Tokaido Line,有楽町,Yurakucho,,61089,33115,27973
平成25,2013,東海道本線,Tokaido Line,新橋,Shimbashi,,93055,57343,35712
平成25,2013,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,56861,34618,22243
平成25,2013,東海道本線,Tokaido Line,田町,Tamachi,,52718,37635,15083
平成25,2013,東海道本線,Tokaido Line,品川,Shinagawa,,122516,70658,51859
平成25,2013,東海道本線,Tokaido Line,大井町,Oimachi,,36647,22242,14405
平成25,2013,東海道本線,Tokaido Line,大森,Omori,,33931,21807,12124
平成25,2013,東海道本線,Tokaido Line,蒲田,Kamata,,51001,33318,17683
平成25,2013,東海道本線,Tokaido Line,西大井,Nishi-oi,,5652,3679,1973
平成25,2013,中央本線,Chuo Line,,,,735711,448983,286728
平成25,2013,中央本線,Chuo Line,神田,Kanda,※,35620,20883,14737
平成25,2013,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,38229,23369,14861
平成25,2013,中央本線,Chuo Line,水道橋,Suidobashi,※,31142,16508,14634
平成25,2013,中央本線,Chuo Line,飯田橋,Iidabashi,※,33287,21049,12237
平成25,2013,中央本線,Chuo Line,市ヶ谷,Ichigaya,※,21499,14146,7353
平成25,2013,中央本線,Chuo Line,四ツ谷,Yotsuya,※,33738,22559,11179
平成25,2013,中央本線,Chuo Line,信濃町,Shinanomachi,※,9822,4389,5433
平成25,2013,中央本線,Chuo Line,千駄ヶ谷,Sendagaya,※,7462,3121,4341
平成25,2013,中央本線,Chuo Line,代々木,Yoyogi,※,25556,12297,13259
平成25,2013,中央本線,Chuo Line,大久保,Okubo,※,9043,4932,4111
平成25,2013,中央本線,Chuo Line,東中野,Higashi-nakano,※,14437,8434,6004
平成25,2013,中央本線,Chuo Line,中野,Nakano,※,50541,31574,18966
平成25,2013,中央本線,Chuo Line,高円寺,Koenji,※,17971,10530,7441
平成25,2013,中央本線,Chuo Line,阿佐ヶ谷,Asagaya,※,16169,9617,6552
平成25,2013,中央本線,Chuo Line,荻窪,Ogikubo,※,31402,19312,12089
平成25,2013,中央本線,Chuo Line,西荻窪,Nishi-ogikubo,※,15477,9060,6417
平成25,2013,中央本線,Chuo Line,吉祥寺,Kichijoji,,50838,29569,21270
平成25,2013,中央本線,Chuo Line,三鷹,Mitaka,,33844,22519,11326
平成25,2013,中央本線,Chuo Line,武蔵境,Musashi-sakai,,23846,16329,7517
平成25,2013,中央本線,Chuo Line,東小金井,Higashi-koganei,,10552,7379,3173
平成25,2013,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,21719,14715,7004
平成25,2013,中央本線,Chuo Line,国分寺,Kokubunji,,39719,26650,13069
平成25,2013,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,10364,5809,4555
平成25,2013,中央本線,Chuo Line,国立,Kunitachi,,19432,12993,6438
平成25,2013,中央本線,Chuo Line,立川,Tachikawa,,58550,32468,26082
平成25,2013,中央本線,Chuo Line,日野,Hino,,10458,7438,3020
平成25,2013,中央本線,Chuo Line,豊田,Toyoda,,11282,8057,3225
平成25,2013,中央本線,Chuo Line,八王子,Hachioji,,31095,17835,13260
平成25,2013,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11564,8087,3477
平成25,2013,中央本線,Chuo Line,高尾,Takao,,11054,7355,3699
平成25,2013,南武線,Nambu Line,,,,42677,27351,15326
平成25,2013,南武線,Nambu Line,矢野口,Yanokuchi,,3531,2358,1174
平成25,2013,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2458,1726,732
平成25,2013,南武線,Nambu Line,南多摩,Minamitama,,2452,1603,849
平成25,2013,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6256,2817,3439
平成25,2013,南武線,Nambu Line,分倍河原,Bubaigawara,,14260,9418,4843
平成25,2013,南武線,Nambu Line,西府,Nishifu,,3552,2523,1028
平成25,2013,南武線,Nambu Line,谷保,Yaho,,3713,2514,1199
平成25,2013,南武線,Nambu Line,矢川,Yagawa,,2880,1892,988
平成25,2013,南武線,Nambu Line,西国立,Nishi-kunitachi,,3575,2501,1074
平成25,2013,横浜線,Yokohama Line,,,,59646,37843,21803
平成25,2013,横浜線,Yokohama Line,成瀬,Naruse,,7069,4504,2565
平成25,2013,横浜線,Yokohama Line,町田,Machida,,40493,24853,15640
平成25,2013,横浜線,Yokohama Line,相原,Aihara,,3804,2707,1097
平成25,2013,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6365,4579,1787
平成25,2013,横浜線,Yokohama Line,片倉,Katakura,,1914,1200,715
平成25,2013,青梅線,Ome Line,,,,59730,38955,20775
平成25,2013,青梅線,Ome Line,西立川,Nishi-tachikawa,,2419,1324,1094
平成25,2013,青梅線,Ome Line,東中神,Higashi-nakagami,,2587,1741,846
平成25,2013,青梅線,Ome Line,中神,Nakagami,,3872,2620,1252
平成25,2013,青梅線,Ome Line,昭島,Akishima,,9632,6212,3420
平成25,2013,青梅線,Ome Line,拝島,Haijima,,10707,6962,3745
平成25,2013,青梅線,Ome Line,牛浜,Ushihama,,1577,893,684
平成25,2013,青梅線,Ome Line,福生,Fussa,,6139,3857,2282
平成25,2013,青梅線,Ome Line,羽村,Hamura,,5148,3484,1664
平成25,2013,青梅線,Ome Line,小作,Ozaku,,6271,4323,1948
平成25,2013,青梅線,Ome Line,河辺,Kabe,,4966,3297,1669
平成25,2013,青梅線,Ome Line,東青梅,Higashi-ome,,2509,1803,706
平成25,2013,青梅線,Ome Line,青梅,Ome,,2590,1827,763
平成25,2013,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
平成25,2013,青梅線,Ome Line,日向和田,Hinatawada,,371,252,119
平成25,2013,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
平成25,2013,青梅線,Ome Line,二俣尾,Futamatao,,178,132,47
平成25,2013,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
平成25,2013,青梅線,Ome Line,沢井,Sawai,○,…,…,…
平成25,2013,青梅線,Ome Line,御嶽,Mitake,,258,50,208
平成25,2013,青梅線,Ome Line,川井,Kawai,○,…,…,…
平成25,2013,青梅線,Ome Line,古里,Kori,,97,52,45
平成25,2013,青梅線,Ome Line,鳩ノ巣,Hatonosu,,74,26,49
平成25,2013,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
平成25,2013,青梅線,Ome Line,奥多摩,Okutama,,336,100,236
平成25,2013,五日市線,Itsukaichi Line,,,,9216,6449,2767
平成25,2013,五日市線,Itsukaichi Line,熊川,Kumagawa,,514,351,163
平成25,2013,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1791,1275,516
平成25,2013,五日市線,Itsukaichi Line,秋川,Akigawa,,2730,1926,805
平成25,2013,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1513,1121,392
平成25,2013,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,979,679,299
平成25,2013,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1688,1096,592
平成25,2013,武蔵野線,Musashino Line,,,,23047,15833,7214
平成25,2013,武蔵野線,Musashino Line,北府中,Kita-fuchu,,5132,3977,1155
平成25,2013,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4127,2790,1336
平成25,2013,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,13789,9066,4723
