年次,Year,産業 (大分類) Industry (Division),産業 (大分類),Industry (Division),総数 Total 1),300万円未満 Under 3 mil. yen,300万円～500万円未満 3mil. yen - under 5mil. yen,500万円～1000万円未満 5mil. yen - under 10mil. yen,1000万円～3000万円未満 10mil. yen - under 30mil. yen,3000万円～5000万円未満30mil. yen - under 50mil. yen,5000万円～1億円未満 50mil. yen - under 100mil. yen,1億円～3億円未満 100mil. yen - under 300mil. yen,3億円～10億円未満300mil. yen - under 1 bil.yen,10億円～50億円未満 1 bil. yen - under 5 bil.yen,50億円以上 5 bil. yen or more
平成21,2009,,東京都,Tokyo-to,280603,8360,96322,24266,116398,12378,9928,5221,3048,1668,1131
平成24,2012,,東京都,Tokyo-to,259771,8906,82194,22233,101403,11698,10030,4911,2861,1567,1181
平成24,2012,A，B,農業，林業・漁業,Agriculture， forestry and fisheries,392,15,162,53,115,12,11,6,4,-,-
平成24,2012,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,49,-,5,2,20,1,3,3,6,4,4
平成24,2012,D,建設業,Construction,30308,616,10811,3133,12473,1409,885,289,139,73,60
平成24,2012,E,製造業,Manufacturing,36139,636,11918,3022,14761,1749,1509,754,461,396,401
平成24,2012,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,96,1,3,2,10,7,6,20,31,7,9
平成24,2012,G,情報通信業,Information and communications,16829,819,3380,974,7715,1138,1074,693,423,186,85
平成24,2012,H,運輸業，郵便業,Transport and postal activities,5477,78,988,538,2565,406,391,201,114,69,42
平成24,2012,I,卸売業，小売業,Wholesale and retail trade,65580,2015,18143,5238,25706,3016,2558,1144,777,331,167
平成24,2012,J,金融業，保険業,Finance and insurance,3989,195,1169,230,1195,155,230,187,224,144,184
平成24,2012,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,32295,957,10651,2698,13548,1425,1249,535,214,140,64
平成24,2012,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,19627,1053,6016,1385,8548,749,639,360,174,89,104
平成24,2012,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,17696,986,7850,2177,3908,373,272,137,60,34,15
平成24,2012,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,11436,562,4520,1199,3328,364,377,143,62,47,18
平成24,2012,O,教育，学習支援業,Education， learning support,2978,185,1055,241,1030,97,96,52,19,3,-
平成24,2012,P,医療，福祉,Medical， health care and welfare,3488,366,1524,382,723,72,71,50,16,7,5
平成24,2012,Q,複合サービス事業,Compound services,7,-,3,-,3,-,-,-,-,-,1
平成24,2012,R,サービス業 (他に分類されないもの),Services， n.e.c.,13385,422,3996,959,5755,725,659,337,137,37,22
平成21,2009,,全国,Japan,1805545,75921,700016,232192,642401,70767,43478,14796,7834,3689,2117
平成24,2012,,全国,Japan,1706470,74885,609711,214636,587021,69905,45294,14793,7877,3801,2159
平成24,2012,A，B,農業，林業・漁業,Agriculture， forestry and fisheries,18202,1171,9004,3560,3290,439,336,85,35,6,2
平成24,2012,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1477,22,330,202,700,102,64,23,8,5,4
平成24,2012,D,建設業,Construction,303749,8459,111157,49689,107688,16293,5904,1062,378,159,100
平成24,2012,E,製造業,Manufacturing,275569,7264,82919,32415,113012,15265,11623,3868,2587,1449,832
