年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成24,2012,総数,All Courses,4395,3739,2597,50,70.8
平成25,2013,総数,All Courses,4517,3860,2562,68,68.1
平成25,2013,メカトロニクス,Mechatronics (2 years),54,22,16,-,72.7
平成25,2013,自動車整備工学,Automobile mechanics (2 years),59,43,43,-,100
平成25,2013,機械加工,Machining (2 years),25,20,20,-,100
平成25,2013,自動車車体整備,Automobile body repair  (2 years),18,9,8,-,88.9
平成25,2013,メカニカルデザイン,Mechanical engineering (2 years),11,13,13,-,100
平成25,2013,精密加工,Precision machining,21,11,10,-,90.9
平成25,2013,木工技術,Woodworking,59,52,46,-,88.5
平成25,2013,インテリアサービス,Interior decoration,20,16,11,1,75
平成25,2013,電気工事,Electrical wiring ,108,92,76,-,82.6
平成25,2013,コンピュータ制御システム,Embedded computer system development,12,5,3,-,60
平成25,2013,電気設備技術,Electrical work,29,11,9,-,81.8
平成25,2013,計測制御システム,Measurement control systems,21,15,11,-,73.3
平成25,2013,環境分析,Environmental analysis,23,19,13,-,68.4
平成25,2013,自動車塗装,Automobile body painting,17,16,15,-,93.8
平成25,2013,パソコングラフィック,Computer graphics,29,21,21,-,100
平成25,2013,ＯＡシステム開発,OA system development,51,39,30,-,76.9
平成25,2013,ネットワークプログラミング,Network programming,27,13,6,-,46.2
平成25,2013,金型加工,Die and mold machining,14,10,5,-,50
平成25,2013,三次元CAD・CAMモデル,CAD／CAM 3D modeling,23,21,16,-,76.2
平成25,2013,機械組立技術,Machine assembly,16,10,8,-,80
平成25,2013,建築設備,Building equipment installation,16,14,11,-,78.6
平成25,2013,広告美術,Advertising art,21,17,15,-,88.2
平成25,2013,サイン・ディスプレイ,Signs and displays,28,24,18,-,75
平成25,2013,測量設計,Surveying,19,13,13,-,100
平成25,2013,建築塗装,Construction painting,15,10,9,1,100
平成25,2013,環境空調サービス,Air conditioning services,20,14,9,1,71.4
平成25,2013,和装技術,Kimono-making,31,27,16,1,63
平成25,2013,電気設備システム,Electrical facilities management,30,28,26,-,92.9
平成25,2013,Ｗｅｂ設計,Web design,30,24,22,-,91.7
平成25,2013,組込みシステム技術,Embedded systems technology,16,10,8,-,80
平成25,2013,若年者就業支援科(福祉サービスコース),Employment ｓupport course for young people (welfare service course),9,5,5,-,100
平成25,2013,若年者就業支援科(塗装コース),Employment ｓupport course for young people (painting course),23,8,7,-,87.5
平成25,2013,若年者就業支援科（溶接コース）,Employment support course for young people (welding course),18,14,14,-,100
平成25,2013,ネットワーク施工,Network technology,41,35,20,-,57.1
平成25,2013,プラスチック加工,Plastics processing,10,10,9,1,100
平成25,2013,アパレルパタンナー,Fashion pattern making,30,23,20,1,91.3
平成25,2013,製くつ,Shoemaking,21,21,19,-,90.5
平成25,2013,財務管理,Financial accounting,118,98,44,1,45.9
平成25,2013,ＣＡＤ製図,CAD drafting,198,160,115,3,73.8
平成25,2013,建築ＣＡＤ,Architecture CAD,56,36,28,-,77.8
平成25,2013,溶接,Welding,31,36,30,2,88.9
平成25,2013,住宅内外装仕上,Interior and exterior finishing,53,42,30,1,73.8
平成25,2013,建築設備施工,Equipment installation,39,35,28,1,82.9
平成25,2013,住宅リフォーム,Home renovation,59,50,35,9,88
平成25,2013,グリーンエクステリア,Gardening and exterior work,64,63,60,1,96.8
平成25,2013,セキュリティサービス,Security services,58,52,30,-,57.7
平成25,2013,電気・通信工事,Electrical／telecommunications wiring,60,50,40,1,82
平成25,2013,印刷企画営業,Print design and marketing,34,31,15,1,51.6
平成25,2013,グラフィック印刷,Graphic printing,28,24,22,-,91.7
平成25,2013,ＤＴＰ,DTP,60,52,38,1,75
平成25,2013,医療事務,Medical billing,236,219,98,-,44.7
平成25,2013,貿易実務,International trade documentation,117,81,32,-,39.5
平成25,2013,ＯＡソフト管理,Office software management,111,85,32,-,37.6
平成25,2013,単位制パソコン,Computer operations (flexible course),147,134,41,2,32.1
平成25,2013,ネットワーク構築,Network construction,59,51,20,-,39.2
平成25,2013,配管,Plumbing,25,15,14,-,93.3
平成25,2013,物流管理実務,Logistics management,95,79,46,-,58.2
平成25,2013,ファッションリテール,Fashion retail,23,17,15,-,88.2
平成25,2013,調理,Cooking,59,46,35,-,76.1
平成25,2013,介護サービス,Nursing care,323,303,279,2,92.7
平成25,2013,ビルクリーニング管理,Building custodial services,36,27,25,-,92.6
平成25,2013,ビルクリーニング管理（高年齢者向）,Building custodial services (for elderly people),38,35,31,1,91.4
平成25,2013,福祉調理,Cooking for welfare institutions,59,44,42,-,95.5
平成25,2013,福祉用具,Assistive equipment,30,30,26,-,86.7
平成25,2013,D1Yアドバイザー,DIY advisor,44,55,22,5,49.1
平成25,2013,三次元ＣＡＤ,3D CAD,114,99,52,1,53.5
平成25,2013,マンション維持管理,Condominium maintenance and management,66,62,42,1,69.4
平成25,2013,パソコン実践,Computer operations,294,288,99,1,34.7
平成25,2013,インテリアリフォーム,Interior renovation,56,50,23,9,64
平成25,2013,ビル管理,Building management,173,163,139,-,85.3
平成25,2013,電気設備管理,Electrical facility management,63,61,58,-,95.1
平成25,2013,電気設備管理（高年齢者向）,Electrical facility management (for elderly people),78,71,58,-,81.7
平成25,2013,電気設備保全,Electrical facility maintenance,48,44,31,1,72.7
平成25,2013,経営管理実務,Business management,101,91,31,-,34.1
平成25,2013,ビジネス経理,Business accounting,58,46,8,1,19.6
平成25,2013,庭園施工管理,Gardening,60,59,41,17,98.3
平成25,2013,ホテル・レストランサービス,Hotel and restaurant services,43,41,22,-,53.7
平成25,2013,設備保全,Facility maintenance,41,36,27,-,75
平成25,2013,板金溶接,Sheet metal welding,19,17,14,-,82.4
平成25,2013,施設警備,Security services for facilities,27,26,23,-,88.5
平成25,2013,自動車運転（足立）,Vehicle driving (Adachi),1,1,-,-,-
,,,,,,,,
7-2  都立職業能力開発センター(職業訓練校)修了者就職状況 (平成24，25年度) ,,,,,,,,
PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTER ,,,,,,,,
( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2012 and 2013 ) ,,,,,,,,
この表の数字には， 2ケ月以下の訓練，障害者訓練，高年齢者向け夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less those for the disabled night courses for the elderly or courses commissioned by others. ,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
