産業,Industry,組合数 Unions／平成24年 2012,組合数 Unions／平成25年 2013,組合員数 No. of Members／平成24年 2012,組合員数 No. of Members／平成25年 2013
総数,Total,7602,7503,2075518,2122563
農業，林業,Agriculture and forestry,5,5,370,346
漁業,Fisheries,11,11,1072,1009
鉱業，砕石業，砂利採取業,Mining and quarrying of stone and gravel,8,8,952,988
建設業,Construction,361,351,219084,210668
製造業,Manufacturing,1283,1267,338104,336354
電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,132,132,21821,20916
情報通信業,Information and communications,603,583,195019,203412
運輸業，郵便業,Transport and postal activities ,1350,1313,191290,192259
卸売業，小売業,Wholesale and retail trade,868,849,260597,283727
金融業，保険業,Finance and insurance,557,552,255788,255576
不動産業，物品賃貸業,Real estate and goods rental and leasing,81,81,14251,13783
学術研究，専門・技術サービス業,Scientific research， professional and technical services,282,273,33483,35022
宿泊業，飲食サービス業,Accommodations， eating and drinking services,101,101,65116,79450
生活関連サービス業，娯楽業,Living-related and personal services and amusement services,135,133,54387,54561
教育，学習支援業,Education， learning support,447,453,93771,95961
医療，福祉,Medical， health care and welfare,434,435,112524,118266
複合サービス事業,Compound services,60,65,6224,6466
サービス業 (他に分類されないもの),Services， n.e.c.,452,456,83003,84180
公務 (他に分類されるものを除く),Government， except elsewhere classified,292,292,110296,105952
分類不能の産業,Industries unable to classify,140,143,18366,23667
,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　7  労働 7  LABOR,,,,,
7-7  産業別労働組合組織状況 （平成24年，25年） 7-7  LABOR UNIONS BY INDUSTRY ( 2012 and 2013 ),,,,,
6月30日現在,,,,,
Figures are as of June 30.,,,,,
資料：都産業労働局「労働組合基礎調査」 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,
