年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成21,2009,総数,Total,,,,,,3141933,1759773,1382160,3141636,1759773,1381863
平成22,2010,総数,Total,,,,,,3132394,1769490,1362904,3132019,1769490,1362529
平成23,2011,総数,Total,,,,,,3092882,1762658,1330224,3092580,1762658,1329922
平成24,2012,総数,Total,,,,,,3198046,1815420,1382626,3197664,1815420,1382244
平成25,2013,総数,Total,,,,,,3334757,1899773,1434984,3334398,1899773,1434625
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,2327141,1312670,1014471,2326641,1312670,1013971
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,271314,121999,149315,274066,121999,152067
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,38535,18301,20234,38895,18301,20594
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,10105,3191,6914,11177,3191,7986
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,13589,6148,7441,14505,6148,8357
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,9392,4153,5239,9776,4153,5623
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,9948,4553,5395,9608,4553,5055
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,11991,6394,5597,11614,6394,5220
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,虎ノ門,Toranomon,,20112,11531,8581,19839,11531,8308
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,新橋,Shimbashi,,42172,21233,20939,41320,21233,20087
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,銀座,Ginza,◎,17205,6004,11201,18053,6004,12049
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,京橋,Kyobashi,,8617,4319,4298,8874,4319,4555
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,日本橋,Nihombashi,◎,10970,3966,7004,9988,3966,6022
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,三越前,Mitsukoshimae,◎,12671,5258,7413,12037,5258,6779
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,神田,Kanda,,9673,3817,5856,9530,3817,5713
平成25,2013,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,末広町,Suehirocho,,3858,1425,2433,3913,1425,2488
