年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成21,2009,総数,Total,,,950,2472,871,1,3,2,949,2469,869,
平成22,2010,総数,Total,,,965,2290,778,1,3,-,964,2287,778,
平成23,2011,総数,Total,,,850,2272,821,-,1,-,850,2271,821,
平成24,2012,総数,Total,,,997,2041,711,1,6,-,996,2035,711,
平成25,2013,総数,Total,,,799,1791,631,1,2,-,798,1789,631,
平成25,2013,歩行者の場合,Pedestrians,,,208,640,102,-,2,-,208,638,102,
平成25,2013,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,3,24,6,-,-,-,3,24,6,
平成25,2013,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,-,1,1,-,-,-,-,1,1,
平成25,2013,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,5,29,8,-,1,-,5,28,8,
平成25,2013,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,2,5,2,-,-,-,2,5,2,
平成25,2013,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,2,13,-,-,-,-,2,13,-,
平成25,2013,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,1,8,-,-,-,-,1,8,-,
平成25,2013,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places,1,4,-,-,-,-,1,4,-,
平成25,2013,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,14,-,-,-,-,-,14,-,-,
平成25,2013,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings,-,-,-,-,-,-,-,-,-,
平成25,2013,歩行者の場合,Pedestrians,路上遊戯,Playing on road,4,15,-,-,-,-,4,15,-,
平成25,2013,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,49,151,8,-,-,-,49,151,8,
平成25,2013,歩行者の場合,Pedestrians,その他の違反,Other violations,1,9,1,-,-,-,1,9,1,
平成25,2013,歩行者の場合,Pedestrians,調査不能,Cause undetermined,-,2,-,-,-,-,-,2,-,
平成25,2013,歩行者の場合,Pedestrians,違反なし,No violation,108,358,71,-,1,-,108,357,71,
平成25,2013,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,18,21,5,-,-,-,18,21,5,
平成25,2013,自転車乗車の場合,Riding on bicycles,,,314,865,436,1,-,-,313,865,436,
平成25,2013,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals,-,10,14,-,-,-,-,10,14,
平成25,2013,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,-,3,2,-,-,-,-,3,2,
平成25,2013,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns,-,-,-,-,-,-,-,-,-,
平成25,2013,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation,-,-,1,-,-,-,-,-,1,
平成25,2013,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,1,94,48,-,-,-,1,94,48,
平成25,2013,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation,-,-,-,-,-,-,-,-,-,
平成25,2013,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,3,102,53,-,-,-,3,102,53,
平成25,2013,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,9,187,102,-,-,-,9,187,102,
平成25,2013,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,-,9,6,-,-,-,-,9,6,
平成25,2013,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined,1,3,2,-,-,-,1,3,2,
平成25,2013,自転車乗車の場合,Riding on bicycles,違反なし,No violation,23,425,201,-,-,-,23,425,201,
平成25,2013,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,277,32,7,1,-,-,276,32,7,
平成25,2013,その他,Others,,,277,286,93,-,-,-,277,286,93,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成21～25年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2009-2013 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
