年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成21,2009,,,25136,31804,22167,16931,4,33,2,32,5323,1434,0,0,-,-,94365,87977,1244,702,18,43,13517,10930,4,29,-,-,8901,6888,1,0,-,-
平成22,2010,,,28031,35471,16061,14804,4,27,5,34,4620,849,0,0,-,-,96472,89678,859,466,16,45,14938,11833,4,28,-,-,9695,7719,1,1,-,-
平成23,2011,,,26550,33646,15481,13407,5,23,5,37,4559,1026,0,0,-,-,91404,85458,862,424,16,48,13424,10763,3,26,-,-,9548,7461,1,0,-,-
平成24,2012,,,29555,36764,15765,13732,4,25,5,33,5176,1049,0,0,-,-,97592,91175,867,396,16,46,15067,12045,6,25,-,-,10812,8982,1,0,-,-
平成25,2013,,,31218,38116,16085,14900,3,20,4,29,4420,831,0,0,-,-,99027,92402,903,342,16,46,16076,13163,6,25,-,-,10838,9016,1,1,-,-
平成25,2013,1,Jan.,2311,3129,1115,735,138,1348,123,1090,0,5,0,0,-,-,7653,6782,60309,22462,1429,3775,1301,988,284,2028,-,-,925,688,57,82,-,-
平成25,2013,2,Feb.,1905,2596,967,906,385,1586,407,2836,155,14,0,5,-,-,6608,6194,53951,30208,1283,3444,1131,834,340,1898,-,-,764,533,148,18,-,-
平成25,2013,3,Mar.,2371,3225,1392,1292,338,1698,436,2845,364,54,0,0,-,-,8903,8266,94864,30469,1382,3950,1296,971,400,2285,-,-,902,628,69,54,-,-
平成25,2013,4,Apr.,2368,2682,1108,1021,283,1529,463,2391,349,57,0,0,-,-,7651,7406,67810,28372,1361,3998,1155,1035,650,2059,-,-,710,676,69,25,-,-
平成25,2013,5,May,2407,3111,1253,1161,260,1561,371,2877,444,66,0,0,-,-,8248,7757,83564,21700,1337,4029,1349,1006,683,2122,-,-,895,682,160,20,-,-
平成25,2013,6,June,1882,2186,775,720,195,1451,265,1814,393,57,0,18,-,-,5845,5325,61774,20344,1092,3442,1070,952,738,1906,-,-,532,474,75,20,-,-
平成25,2013,7,July,2906,3195,1270,1305,247,1864,375,2273,194,26,0,0,-,-,9522,9248,76520,19443,1341,3224,1307,1176,511,2007,-,-,939,901,75,38,-,-
平成25,2013,8,Aug.,4326,5104,2388,2317,330,1689,431,2933,563,122,0,0,-,-,14955,13578,95589,20992,1256,3629,1896,1588,484,2139,-,-,1654,1409,67,31,-,-
平成25,2013,9,Sept.,2658,3129,1346,1271,185,1546,444,2717,783,209,28,126,-,-,8274,7335,60106,31583,1232,3736,1373,1163,484,2033,-,-,854,706,91,151,-,-
平成25,2013,10,Oct.,2624,3024,1587,1477,236,2132,378,2501,682,147,4,205,-,-,6605,6047,58319,41318,1328,5684,1361,1161,464,2163,-,-,831,757,142,18,-,-
平成25,2013,11,Nov.,2582,3469,1362,1239,338,1403,307,2148,266,50,2,0,-,-,8166,7608,69159,23877,1224,3500,1530,1121,393,1983,-,-,933,731,68,12,-,-
平成25,2013,12,Dec.,2878,3266,1522,1456,374,1718,496,2386,227,24,0,0,-,-,6597,6856,120929,50785,1690,3998,1307,1168,779,2472,-,-,899,831,98,67,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成21～25年） 4-23 TRANSPORTATION BY AIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2009-2013 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: Monthly amount of  freight／mail handled in kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
