学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,"63,101","29,096","34,005",…,…,…,"8,845",…,…
小学校,Elementary schools,"39,691",30760,11187,19573,4526,1252,3274,4405,1930,2475
中学校,Junior high schools,21243,15097,8502,6595,4463,1899,2564,1683,807,876
高等学校,Senior high schools,"13,942","9,394","6,129","3,265","2,996","1,629","1,367","1,552",857,695
中等教育学校,Secondary education schools,578,399,269,130,141,69,72,38,23,15
大学,Colleges and universities,1155,713,598,115,121,…,…,321,166,155
高等専門学校,Colleges of technology,…,136,125,11,…,…,…,32,…,…
特別支援学校,Special needs schools,6705,5549,2232,3317,470,167,303,686,297,389
幼稚園,Kindergartens,1178,855,21,834,277,72,205,46,17,29
高等学校（通信制）,Senior high schools (Correspondence course),91,47,30,17,40,21,19,4,2,2
専修学校,Specialized training schools,913,151,3,148,684,333,351,78,15,63
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成25年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2013 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」 Source: Ministry of Education， Culture， Sports， Science and Technology,,,,,,,,,,,
