年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
平成21,2009,,,総数, Total,1587819,-,20021,-,2164,535777,249432,86726,24172,48639,980123,1095
平成22,2010,,,総数, Total,1671311,-,18835,-,2065,512813,253790,84985,22719,47584,1088601,1413
平成23,2011,,,総数, Total,1517014,-,23315,-,1931,458233,231269,75137,22906,55833,977667,35
平成24,2012,,,総数, Total,1739258,198,23418,-,2435,521170,252083,74770,23880,68055,1123979,3
平成25,2013,,,総数, Total,1813350,284,32559,257,2171,533363,278610,72377,24267,68779,1162163,13774
平成25,2013,1,Jan.,総数, Total,70899,-,2119,-,45,25326,17110,4606,802,4645,38764,-
平成25,2013,2,Feb.,総数, Total,77293,-,1546,-,18,27314,18578,4128,1020,9167,39248,-
平成25,2013,3,Mar.,総数, Total,113809,-,3442,-,195,36486,25600,5363,1173,8368,65318,-
平成25,2013,4,Apr.,総数, Total,106361,284,2555,-,875,34768,20134,5264,1854,4711,59186,3982
平成25,2013,5,May,総数, Total,152501,-,2725,257,46,45904,21321,7256,2784,4892,91864,6813
平成25,2013,6,June,総数, Total,120260,-,1512,-,96,31790,17254,5364,1002,5131,81731,-
平成25,2013,7,July,総数, Total,249799,-,2539,-,53,62299,26341,7667,2285,6721,178133,54
平成25,2013,8,Aug.,総数, Total,336198,-,6445,-,179,121543,46910,11273,7940,9611,198420,-
平成25,2013,9,Sept.,総数, Total,180187,-,2226,-,54,53194,24312,5290,2436,4380,118677,1656
平成25,2013,10,Oct.,総数, Total,129937,-,1962,-,30,34878,22570,5155,1043,3808,88719,540
平成25,2013,11,Nov.,総数, Total,140073,-,2800,-,161,32627,20567,6243,1127,3368,100751,366
平成25,2013,12,Dec.,総数, Total,136033,-,2688,-,419,27234,17913,4768,801,3977,101352,363
平成21,2009,,,乗船者, Boarding passengers,866615,-,10308,-,1318,280186,125709,45490,14635,24296,550138,369
平成22,2010,,,乗船者, Boarding passengers,887335,-,9908,-,1040,267542,128164,44348,13761,23245,585456,144
平成23,2011,,,乗船者, Boarding passengers,775341,-,12595,-,992,243424,117084,39784,14256,27886,490412,32
平成24,2012,,,乗船者, Boarding passengers,883279,198,12461,-,1147,272776,127621,39438,14084,34597,562100,-
平成25,2013,,,乗船者, Boarding passengers,939826,284,16741,-,1069,277484,139555,37930,14799,35188,600581,8479
平成25,2013,1,Jan.,乗船者, Boarding passengers,34636,-,675,-,28,12892,7954,2411,521,1659,19382,-
平成25,2013,2,Feb.,乗船者, Boarding passengers,39516,-,800,-,4,13657,9289,2064,510,5436,19619,-
平成25,2013,3,Mar.,乗船者, Boarding passengers,58295,-,1862,-,146,19052,12427,2847,762,4576,32659,-
平成25,2013,4,Apr.,乗船者, Boarding passengers,54881,284,1573,-,452,17384,10067,2632,927,2364,29731,3093
平成25,2013,5,May,乗船者, Boarding passengers,76779,-,1179,-,32,24028,10922,3877,1455,2110,46069,3361
平成25,2013,6,June,乗船者, Boarding passengers,61776,-,760,-,64,16757,8894,2779,679,2937,41258,-
平成25,2013,7,July,乗船者, Boarding passengers,127250,-,1515,-,35,33295,13425,4065,1684,3410,88941,54
平成25,2013,8,Aug.,乗船者, Boarding passengers,170011,-,3220,-,116,62408,23669,5755,4567,4767,99500,-
平成25,2013,9,Sept.,乗船者, Boarding passengers,109465,-,1074,-,31,27694,12494,2923,1621,2205,77519,942
平成25,2013,10,Oct.,乗船者, Boarding passengers,66026,-,1006,-,16,18307,11242,2840,715,1921,44476,300
平成25,2013,11,Nov.,乗船者, Boarding passengers,71262,-,1355,-,110,17347,10070,3363,736,1548,50536,366
平成25,2013,12,Dec.,乗船者, Boarding passengers,69929,-,1722,-,35,14663,9102,2374,622,2255,50891,363
平成21,2009,,,降船者, Deboarding passengers,721204,-,9713,-,846,255591,123723,41236,9537,24343,429985,726
平成22,2010,,,降船者, Deboarding passengers,783976,-,8927,-,1025,245271,125626,40637,8958,24339,503145,1269
平成23,2011,,,降船者, Deboarding passengers,741673,-,10720,-,939,214809,114185,35353,8650,27947,487255,3
平成24,2012,,,降船者, Deboarding passengers,855979,-,10957,-,1288,248394,124462,35332,9796,33458,561879,3
平成25,2013,,,降船者, Deboarding passengers,873524,-,15818,257,1102,255879,139055,34447,9468,33591,561582,5295
平成25,2013,1,Jan.,降船者, Deboarding passengers,36263,-,1444,-,17,12434,9156,2195,281,2986,19382,-
平成25,2013,2,Feb.,降船者, Deboarding passengers,37777,-,746,-,14,13657,9289,2064,510,3731,19629,-
平成25,2013,3,Mar.,降船者, Deboarding passengers,55514,-,1580,-,49,17434,13173,2516,411,3792,32659,-
平成25,2013,4,Apr.,降船者, Deboarding passengers,51480,-,982,-,423,17384,10067,2632,927,2347,29455,889
平成25,2013,5,May,降船者, Deboarding passengers,75722,-,1546,257,14,21876,10399,3379,1329,2782,45795,3452
平成25,2013,6,June,降船者, Deboarding passengers,58484,-,752,-,32,15033,8360,2585,323,2194,40473,-
平成25,2013,7,July,降船者, Deboarding passengers,122549,-,1024,-,18,29004,12916,3602,601,3311,89192,-
平成25,2013,8,Aug.,降船者, Deboarding passengers,166187,-,3225,-,63,59135,23241,5518,3373,4844,98920,-
平成25,2013,9,Sept.,降船者, Deboarding passengers,70722,-,1152,-,23,25500,11818,2367,815,2175,41158,714
平成25,2013,10,Oct.,降船者, Deboarding passengers,63911,-,956,-,14,16571,11328,2315,328,1887,44243,240
平成25,2013,11,Nov.,降船者, Deboarding passengers,68811,-,1445,-,51,15280,10497,2880,391,1820,50215,-
平成25,2013,12,Dec.,降船者, Deboarding passengers,66104,-,966,-,384,12571,8811,2394,179,1722,50461,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-20　航路別乗降船人員 (平成21～25年)（東京港） 4-20 NUMBER OF PASSENGERS BY VESSEL ROUTE ( 2009-2013 )( Port of Tokyo ),,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,
