年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成21,2009,総数,Total,185.1,172,17459803,10935189,6524614
平成22,2010,総数,Total,185.1,172,17473565,11046524,6427041
平成23,2011,総数,Total,185.1,172,17332492,11036922,6295570
平成24,2012,総数,Total,185.1,172,17851220,11290068,6561152
平成25,2013,総数,Total,185.1,172,18693047,11808378,6884669
平成25,2013,銀座線,Ginza Line,14.3,19,1362869,675430,687439
平成25,2013,丸ノ内線,Marunouchi Line,27.4,28,2176514,1268141,908373
平成25,2013,日比谷線,Hibiya Line,20.3,21,2218924,1361541,857383
平成25,2013,東西線,Tozai Line,22.2,17,3381377,2285586,1095791
平成25,2013,千代田線,Chiyoda Line,24,20,3008702,2071088,937614
平成25,2013,有楽町線,Yurakucho Line,26.9,23,2649288,1759461,889827
平成25,2013,半蔵門線,Hanzomon Line,16.8,14,1759354,1029904,729450
平成25,2013,南北線 ,Namboku Line,21.3,19,1081580,713580,368000
平成25,2013,副都心線,Fukutoshin Line,11.9,11,1054440,643648,410792
,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成21～25年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2009-2013 ),,,,,,,,
資料：東京地下鉄株式会社 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
