地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品 Plastic products,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,14040,292976,137058573,451248098,819820929,351828950,889,52,598,89,328,585,2600,258,16,772,257,366,238,154,169,1874,451,1218,666,393,764,182,338,783,29792,1625,6145,801,3692,7772,55499,10335,301,9566,3807,4310,4506,3232,2740,20793,9618,18538,14095,11434,21848,16220,24563,11744,68750544,16164035,7470673,1587714,7856707,14700358,108391901,37148528,2170044,13310182,7044623,8219812,17484414,16851642,8764872,30109003,28066672,39312502,37144083,33899068,58793519,77997704,147146599,31435730
1,13100,,区部,All ku,11031,168173,72286440,179634050,347619775,159771470,619,20,533,71,265,533,2387,198,8,608,246,363,160,133,128,1552,345,873,454,149,455,79,211,641,13430,580,4943,670,2180,6452,49599,7693,186,6880,2912,4291,2904,2579,1621,16386,4612,11611,8046,2093,6376,2085,3009,7035,30231767,1903832,6348544,1450232,2914112,12405101,96231453,26365160,1172171,9526588,3647205,8207461,10574775,13046529,5536485,23893098,8067969,22656351,24770510,3968438,12062165,4928802,5258084,12452943
2,13101,1,千代田区,Chiyoda-ku,120,1939,874162,1539608,3740420,2098441,1,-,6,-,-,6,96,-,-,-,1,-,-,-,-,1,-,1,-,3,1,-,-,4,6,-,50,-,-,46,1722,-,-,-,8,-,-,-,-,14,-,5,-,32,7,-,-,49,x,-,81203,-,-,128668,3398761,-,-,-,x,-,-,-,-,x,-,x,-,20480,x,-,-,73251
2,13102,2,中央区,Chuo-ku,195,2678,1167553,2631836,5378800,2618025,27,-,9,1,1,9,124,-,-,1,1,2,1,-,-,2,1,2,1,1,-,1,-,11,405,-,82,6,6,74,1825,-,-,19,6,25,22,-,-,28,6,10,27,11,-,45,-,81,467951,-,109493,x,x,70728,3885417,-,-,x,x,x,x,-,-,x,x,x,x,x,-,x,-,168512
2,13103,3,港区,Minato-ku,158,2581,1294891,2992662,6469200,3312383,16,1,5,1,6,1,86,1,-,2,-,-,5,1,2,3,6,6,3,1,5,3,1,3,306,8,52,6,36,7,1699,65,-,21,-,-,74,5,9,29,86,62,17,10,56,15,5,13,927347,x,50411,x,37467,x,3479389,x,-,x,-,-,1037966,x,x,43346,151957,286264,x,x,86000,9415,x,96674
2,13104,4,新宿区,Shinjuku-ku,361,11269,5742779,13888887,23776896,9413926,18,2,14,1,6,20,248,2,-,3,-,1,-,-,3,4,1,5,9,5,4,3,-,12,356,40,122,14,36,203,9767,32,-,57,-,5,-,-,23,42,115,46,122,29,41,127,-,92,1133285,x,83634,x,55667,392268,20846169,x,-,88871,-,x,-,-,15326,33889,x,48569,322538,24879,96728,223672,-,153148
2,13105,5,文京区,Bunkyo-ku,358,6902,3188730,6476196,13267614,6477487,10,-,15,4,3,9,243,4,-,5,1,2,3,-,-,6,-,1,23,1,6,1,1,20,116,-,152,28,13,68,5557,38,-,35,21,77,44,-,-,30,-,5,482,7,61,7,6,155,114688,-,195925,34637,18189,61250,10874693,69741,-,27930,x,x,127563,-,-,18453,-,x,1042398,x,141505,x,x,184061
2,13106,6,台東区,Taito-ku,532,4855,1697260,3968353,7604736,3465934,40,-,40,3,16,46,108,5,-,14,12,93,3,-,2,36,2,9,8,-,4,2,4,85,498,-,325,20,137,361,1093,56,-,112,105,823,20,-,16,247,11,75,83,-,28,24,27,794,543000,-,372903,7618,218814,502372,1769574,88127,-,124536,115034,1831376,15147,-,x,229792,x,89665,175620,-,28891,x,29839,1302051
2,13107,7,墨田区,Sumida-ku,957,13104,6034669,10176025,27065315,15378002,37,5,90,8,21,63,159,20,1,54,61,78,13,9,11,173,15,38,10,2,11,3,11,64,535,322,728,56,135,604,2256,2409,16,653,636,902,448,239,66,1440,189,583,68,18,101,20,103,577,1040022,1429152,1557844,79512,152435,768955,3292491,9352889,x,846198,773543,1658486,545464,964358,142924,1988954,349257,773484,67262,x,131726,22025,176567,826948
2,13108,8,江東区,Koto-ku,664,11147,4725951,15477854,29077058,12978446,52,1,32,26,19,45,232,9,3,29,7,3,29,19,6,65,9,28,8,1,10,2,9,20,1759,7,309,336,158,484,4270,497,87,306,58,78,427,402,153,684,135,286,160,39,132,24,181,175,4487492,x,305362,1043549,256959,778945,9258985,2591763,x,593548,80123,189140,2088692,2536377,765787,1373144,262118,463809,290933,x,289121,x,361294,343362
2,13109,9,品川区,Shinagawa-ku,484,6492,2787914,5068465,10779503,5450588,21,1,5,-,5,10,68,10,-,40,5,3,9,1,7,66,24,77,27,21,50,3,14,17,208,7,45,-,35,94,772,360,-,525,52,19,124,4,62,714,426,1065,452,208,735,36,425,124,319666,x,29761,-,46746,116493,1056832,649351,-,661166,70121,x,439682,x,83466,1264082,885336,1480561,769959,353917,1649054,50300,620422,197362
2,13110,10,目黒区,Meguro-ku,154,2631,1294771,2664877,4889777,2124774,14,-,4,-,3,2,14,5,-,10,1,-,1,1,1,23,10,12,9,9,15,3,6,11,395,-,17,-,29,11,246,58,-,74,13,-,22,17,7,244,167,285,229,232,205,62,68,250,635468,-,11848,-,47025,x,385239,163607,-,56047,x,-,x,x,x,334843,267236,520098,310199,619237,416508,118737,86423,687424
