産業 1,Industry 1,産業 2,Industry 2,平成24年 2012,平成25年 2013
総額,Total,,,10336530,10253328
農業,Agriculture,,,-,-
林業,Forestry,,,-,-
漁業,Fishery,,,-,-
鉱業,Mining,,,34456,35225
製造業,Manufacturing Industries,,,2677760,2585068
製造業,Manufacturing Industries,食料品製造業 1),Food and kindred products,402100,407463
製造業,Manufacturing Industries,繊維工業 2),Textile mill products,-,-
製造業,Manufacturing Industries,パルプ，紙，紙加工品製造業,Pulp， paper and paper worked products,92286,88691
製造業,Manufacturing Industries,化学工業,Chemical and allied industries,192559,174233
製造業,Manufacturing Industries,石油製品，石炭製品製造業,Petroleum and coal products,2762,2622
製造業,Manufacturing Industries,ゴム製品製造業,Rubber products,67982,57138
製造業,Manufacturing Industries,窯業，土石製品製造業,Ceramic， clay and stone products,102024,102455
製造業,Manufacturing Industries,鉄鋼業,Iron and steel ,282102,293523
製造業,Manufacturing Industries,非鉄金属製造業,Non-ferrous metals and products,20468,19178
製造業,Manufacturing Industries,機械器具製造業 3),Machinery  ,1027777,980549
製造業,Manufacturing Industries,その他の製造業 4),Miscellaneous manufacturing industries,487698,459217
鉄道業,Railway ｔｒansport,,,2373207,2402863
その他の産業 5),Other industries,,,5251107,5230172
,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,
6-2  産業別電力使用量 （平成24，25年） 6-2  DEMAND FOR ELECTRIC POWER BY INDUSTRY ( Fiscal Years 2012 and 2013 ),,,,,
契約電力500kW以上,,,,,
Figures refer to contracts not less than 500kW. ,,,,,
注 1)  「飲料・飼料製造業」を含む。,,,,,
2）「衣服・その他の繊維製品製造業」を含む。,,,,,
3）「電気機械器具製造業」，「輸送用機械器具製造業」，「機械その他」を含む。,,,,,
4）「木材，木製品製造業」，「出版，印刷，同関連産業」，「プラスチック製品製造業」，「金属製品製造業」を含む。,,,,,
5） 「建設業」，「電気・ガス・熱供給・水道業」，「 運輸・通信業」を含む。,,,,,
Note: 1） Including “Manufacture of beverage and feed”.,,,,,
2) Including  “Manufacture of apparel and other finished products made from fabrics and similar materials”.,,,,,
3)Including “Electrical machinery，equipment and supplies”， “Transportation equipment” and  “Machinery and others”.,,,,,
4) Including “Lumber and wood  products”， “Publishing， printing and allied industries”， “Plastic products”  and “Fabricated metal products”.,,,,,
5) Including　“Construction”， “ Electricity， gas， heat supply and water”，“Transport and communication”.,,,,,
資料：東京電力株式会社 Source: Tokyo Electric Power Co.， Ltd.,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,
