項目階層,項番 Item number,項目,Item,平成23年度 Fiscal year 2011／実数 Value,平成23年度 Fiscal year 2011／構成比 Percentage Distribution (%),平成23年度 Fiscal year 2011／対前年度増加率 Percent changes from previous fiscal year (%),平成24年度 Fiscal year 2012／実数 Value,平成24年度 Fiscal year 2012／構成比 Percentage Distribution (%),平成24年度 Fiscal year 2012／対前年度増加率 Percent changes from previous fiscal year (%)
0,1,産業,Industries,84909.7,91.4,1.6,84119.1,91.5,-0.9
1,,農林水産業,Agriculture， forestry and fishing,46.6,0.1,-1.7,49.2,0.1,5.6
1,,鉱業,Mining,28.2,0,-2,25.5,0,-9.6
1,,製造業,Manufacturing,7069.1,7.6,6.7,6933.1,7.5,-1.9
1,,建設業,Construction,4169.2,4.5,-6.5,3887,4.2,-6.8
1,,電気・ガス・水道業,Electricity， gas and water supply ,997.9,1.1,-10.1,1009.5,1.1,1.2
1,,卸売・小売業,Wholesale and retail trade,19663.7,21.2,7.5,19330.5,21,-1.7
1,,金融・保険業,Finance and insurance,8407,9.1,-7,8692.4,9.5,3.4
1,,不動産業,Real estate,11432.8,12.3,0.5,11421.2,12.4,-0.1
1,,運輸業,Transport ,3656.6,3.9,1.7,3648.7,4,-0.2
1,,情報通信業,Information and communications,10453.1,11.3,0.6,10306.4,11.2,-1.4
1,,サービス業,service activities,18985.3,20.4,2.1,18815.6,20.5,-0.9
0,2,政府サービス生産者,Producers of government services,6349.2,6.8,0.4,6182.2,6.7,-2.6
1,,電気・ガス・水道業,Electricity， gas and water supply ,307.5,0.3,-1.4,301.6,0.3,-1.9
1,,サービス業,Service activities,958.1,1,1,941.7,1,-1.7
1,,公務,Public administration,5083.6,5.5,0.4,4938.9,5.4,-2.8
0,3,対家計民間非営利サービス生産者,Producers of private non-profit services to households ,1530.7,1.6,4,1561.1,1.7,2
1,,サービス業,Service activities,1530.7,1.6,4,1561.1,1.7,2
0,4,小計 (1+2+3),Sub-total (1+2+3),92789.6,99.9,1.6,91862.4,99.9,-1
0,5,輸入品に課される税・関税,Taxes and duties on imports,424.5,0.5,16.5,408.8,0.4,-3.7
1,6,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,356.7,0.4,1.8,362.3,0.4,1.6
0,7,都内総生産 (4+5-6),Gross prefectural domestic product (4+5-6),92857.3,100,1.6,91908.9,100,-1
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成23，24年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2011 and 2012 ),,,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,,
項目階層（0:大項目　1:項目）,,,,,,,,,
