年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1)
平成23,2011,総数,Total,28066978,13990360,10140563,3728570,121227,14076618,10196224,3763993,116401
平成24,2012,総数,Total,31816332,15883357,11109339,4660688,113330,15932975,11157729,4664876,110370
平成25,2013,総数,Total,32757495,16353947,10690948,5556730,106269,16403548,10719095,5579939,104514
平成25,2013,東京,Tokyo,8504,4357,4173,184,-,4147,3727,420,-
平成25,2013,羽田（空港）,Haneda(Airport),7941222,3935844,2636272,1293083,6489,4005378,2663684,1334297,7397
平成25,2013,成田（空港）,Narita(Airport),24807769,12413746,8050503,4263463,99780,12394023,8051684,4245222,97117
,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成23～25年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2011-2013 ),,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
