年度末,End of fiscal year,業種,Type of industry,給水件数 № of customers,基本水量 Basic water supply,用途別 Use of water／冷却 For cooling,用途別 Use of water／洗浄 For washing,用途別 Use of water／洗車 For car washing,用途別 Use of water／散水 For watering,用途別 Use of water／水洗トイレ For toilet flushing,用途別 Use of water／その他 Others
平成23,2011,総数,Total,310,13864,1634,1423,1198,905,6589,2115
平成24,2012,総数,Total,308,13868,1634,1433,1122,908,6684,2087
平成25,2013,総数,Total,308,13615,1839,1384,828,740,6487,2337
,,,,,,,,,,,
6-7  工業用水道の業種・用途別基本水量 (2) 一般雑用水　（平成23～25年度末） ,,,,,,,,,,,
6-7  BASIC INDUSTRIAL WATER SUPPLY BY TYPE OF INDUSTRY AND WATER USE (2) GENERAL MISCELLANEOUS USE ( End of Fiscal Years 2011-2013 ),,,,,,,,,,,
注) 集合住宅は含まない。,,,,,,,,,,,
Note: Excluding collective housing.,,,,,,,,,,,
　　資料：都水道局総務部調査課「事業年報」　　  　　　   Source : Bureau of Waterworks T.M.G. ,,,,,,,,,,,
（単位　立方メ－トル／日）(In cubic meters per day),,,,,,,,,,,
