年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  
平成22,2010,0,13000,,東京都,Tokyo-to,104286.84,56805.9,2807.14,3541.76,49147.58,1309.42,345.98,8682.11,25450.02,1827.63,12.24,4777.35,6385.61
平成23,2011,0,13000,,東京都,Tokyo-to,103945.14,56894.62,2811.85,3573.41,49195.06,1314.3,325.75,8592.51,25353.88,1834.27,12.19,4758.61,6173.25
平成24,2012,0,13000,,東京都,Tokyo-to,103826.38,56991.26,2779.65,3450.35,49445.92,1315.33,317.77,8485.92,25274.01,1824.45,12.39,4749.91,6170.68
平成25,2013,0,13000,,東京都,Tokyo-to,103775.38,57109.69,2785,3468.18,49445.24,1411.28,314,8395.62,25222.55,1818.48,12.08,4713.5,6189.46
平成26,2014,0,13000,,東京都,Tokyo-to,103696.91,57225.47,2789.95,3473.18,49546.69,1415.66,308.97,8296.87,25175.99,1790.12,11.95,4713.8,6173.74
平成26,2014,1,13100,,区部,All ku          　,33299.91,31537.27,1993.46,1682.6,27860.44,0.77,0.62,556.9,17.85,-,5.62,1168.23,13.42
平成26,2014,3,13101,1,千代田区,Chiyoda-ku,405.32,364.32,313.34,-,50.98,-,-,-,-,-,-,40.99,0.01
平成26,2014,3,13102,2,中央区,Chuo-ku,396.72,395.98,241.64,12.67,141.67,-,-,-,-,-,-,0.72,0.02
平成26,2014,3,13103,3,港区,Minato-ku,992.63,922.1,292.08,21.5,608.52,-,-,-,-,-,0.06,70.41,0.06
平成26,2014,3,13104,4,新宿区,Shinjuku-ku,1017.44,986.85,112.61,14.67,859.57,-,-,-,-,-,-,30.36,0.23
平成26,2014,3,13105,5,文京区,Bunkyo-ku,595.97,588.67,79.68,19.58,489.41,-,-,-,-,-,-,7.02,0.28
平成26,2014,3,13106,6,台東区,Taito-ku,480.67,453.7,249.75,-,203.95,-,-,-,-,-,-,26.82,0.15
平成26,2014,3,13107,7,墨田区,Sumida-ku,710.03,685.61,42.96,119,523.65,-,-,-,-,-,-,24.14,0.28
平成26,2014,3,13108,8,江東区,Koto-ku,1561.07,1493.64,64.53,440.77,988.34,-,-,-,-,-,4.27,62.79,0.37
平成26,2014,3,13109,9,品川区,Shinagawa-ku,1367.24,1155.31,78.86,145.4,931.05,-,-,-,-,-,-,211.55,0.38
平成26,2014,3,13110,10,目黒区,Meguro-ku,925.88,909.04,34.02,-,875.02,-,-,2.78,0.57,-,-,13.3,0.19
平成26,2014,3,13111,11,大田区,Ota-ku,2574.65,2497.06,32.44,236.69,2227.93,-,-,3.86,1.15,-,0.15,71.43,1
平成26,2014,3,13112,12,世田谷区,Setagaya-ku,3692.22,3474.17,18.68,-,3455.46,0.03,-,112.28,6.11,-,-,98.14,1.52
平成26,2014,3,13113,13,渋谷区,Shibuya-ku,847.88,809.96,124.33,-,685.63,-,-,-,-,-,-,37.78,0.14
平成26,2014,3,13114,14,中野区,Nakano-ku,1037.16,1006.59,14.75,-,991.84,-,-,4.15,0.16,-,-,25.68,0.58
平成26,2014,3,13115,15,杉並区,Suginami-ku,2243.87,2158.3,18.44,-,2139.82,0.04,-,40.63,2.24,-,0.16,41.58,0.96
平成26,2014,3,13116,16,豊島区,Toshima-ku,822.27,784.1,94.34,-,689.76,-,-,-,-,-,-,37.76,0.41
平成26,2014,3,13117,17,北区,Kita-ku,1044.06,952.95,21.23,67.14,864.58,-,-,0.3,0.7,-,-,89.51,0.6
平成26,2014,3,13118,18,荒川区,Arakawa-ku,591.98,542.07,15.05,72.04,454.98,-,-,-,-,-,-,49.59,0.32
平成26,2014,3,13119,19,板橋区,Itabashi-ku,1849.13,1800.89,15.76,141.77,1643.34,0.02,-,19.35,2.83,-,-,25.31,0.75
平成26,2014,3,13120,20,練馬区,Nerima-ku,3120.5,2833.07,6.46,-,2826.29,0.32,-,224.96,4.07,-,-,56.63,1.77
平成26,2014,3,13121,21,足立区,Adachi-ku,2863.61,2732.71,34.5,217.73,2480.44,0.04,0.53,59.09,0.02,-,-,69.54,1.72
平成26,2014,3,13122,22,葛飾区,Katsushika-ku,1747.43,1657.71,47,55.05,1555.62,0.04,-,38.32,-,-,0.04,50.54,0.82
平成26,2014,3,13123,23,江戸川区,Edogawa-ku,2412.18,2332.47,41.01,118.59,2172.59,0.28,0.09,51.18,-,-,0.94,26.64,0.86
平成26,2014,1,13200,,市部,All shi,42952.28,24056.89,772.67,1595.25,20977.02,711.96,299.35,4539.19,8827.93,1174.28,4.26,3041.59,1008.79
平成26,2014,3,13201,1,八王子市,Hachioji-shi,9108.4,3732.02,60.14,148.54,3086.4,436.95,63.08,717.62,2988.29,444.93,2.85,822.96,336.64
平成26,2014,3,13202,2,立川市,Tachikawa-shi,1387.54,1051.61,45.96,122.94,881.54,1.17,0.05,265.56,2.64,-,-,63.45,4.23
平成26,2014,3,13203,3,武蔵野市,Musashino-shi,678.77,631.92,62.16,19.84,549.93,-,-,30.97,0.03,-,-,15.02,0.83
平成26,2014,3,13204,4,三鷹市,Mitaka-shi,1040.99,861.19,33.6,31.64,795.35,0.59,0.12,156.38,8.38,-,0.01,12.45,2.47
平成26,2014,3,13205,5,青梅市,Ome-shi,6038.27,1243,9.77,128.19,998.04,107,22.22,413.94,3255.64,509.81,0.54,352.69,240.45
平成26,2014,3,13206,6,府中市,Fuchu-shi,1512.86,1289,29.63,206.19,1053.18,-,47.02,85.75,-,-,-,87.17,3.92
平成26,2014,3,13207,7,昭島市,Akishima-shi,912.33,751.31,28.43,126.89,595.98,0.01,7.97,59.05,12.31,0.02,0.07,78.52,3.08
平成26,2014,3,13208,8,調布市,Chofu-shi,1206.72,1005.89,28.05,29.08,948.71,0.05,9.39,138.09,8.32,-,-,42.32,2.71
平成26,2014,3,13209,9,町田市,Machida-shi,4205.71,2778.67,69.3,63.89,2575.82,69.67,47.9,482.36,502.23,-,-,281.87,112.67
平成26,2014,3,13210,10,小金井市,Koganei-shi,666.08,566.04,16.13,0.65,549.27,-,-,71,4.29,-,-,21.73,3.02
平成26,2014,3,13211,11,小平市,Kodaira-shi,1321.37,1011.12,25.2,66.44,919.32,0.16,-,193.7,1.75,-,-,110.53,4.29
平成26,2014,3,13212,12,日野市,Hino-shi,1451.64,1102.07,11.34,179.82,910.7,0.22,19.01,141.07,56.88,-,-,123.16,9.45
平成26,2014,3,13213,13,東村山市,Higashimurayama-shi,995.73,759.16,19.17,44.85,695.14,-,0.74,159.49,12.53,-,-,59.69,4.13
平成26,2014,3,13214,14,国分寺市,Kokubunji-shi,807.55,627.07,11.91,25.98,589.12,0.06,-,149.27,4.22,-,-,24.81,2.18
平成26,2014,3,13215,15,国立市,Kunitachi-shi,480.01,407.94,17.27,18.12,372.5,0.06,14.81,44.05,1.23,-,-,11.02,0.95
平成26,2014,3,13218,16,福生市,Fussa-shi,388.86,358.85,18.86,11.61,328.38,-,0.1,13.21,1.69,-,-,14.47,0.54
平成26,2014,3,13219,17,狛江市,Komae-shi,397.59,336.04,17.48,10.11,308.44,-,-,41.19,1.11,-,-,18.59,0.67
平成26,2014,3,13220,18,東大和市,Higashiyamato-shi,607.07,511.36,16.45,26.8,468.11,-,-,65.34,17.22,-,-,9.7,3.44
平成26,2014,3,13221,19,清瀬市,Kiyose-shi,593.33,348.05,12.95,8.59,326.51,-,-,195.29,8.96,-,-,33.98,7.04
平成26,2014,3,13222,20,東久留米市,Higashikurume-shi,849.21,656.45,20.97,23.33,606.64,5.5,-,158.69,6.79,-,-,18.89,8.39
平成26,2014,3,13223,21,武蔵村山市,Musashimurayama-shi,894.45,527.95,33.44,78.71,415.77,0.02,0.35,175.38,38.15,0.98,-,119.44,32.21
平成26,2014,3,13224,22,多摩市,Tama-shi,1017.97,804.15,117.13,-,687.01,0.02,2.26,39.92,32.09,-,-,138.73,0.81
平成26,2014,3,13225,23,稲城市,Inagi-shi,934.52,466.64,12.02,13.59,439.28,1.75,9.32,126.77,112.5,2.93,-,206.42,9.94
平成26,2014,3,13227,24,羽村市,Hamura-shi,610.28,541.18,19.15,170.22,351.77,0.04,4.72,36.31,6.07,-,0.55,14.49,6.97
平成26,2014,3,13228,25,あきる野市,Akiruno-shi,3790.64,811.27,10.29,24.36,687.94,88.68,50.3,434.45,1743.89,215.61,0.25,328.83,206.05
平成26,2014,3,13229,26,西東京市,Nishitokyo-shi,1054.4,876.92,25.88,14.88,836.16,-,-,144.35,0.74,-,-,30.69,1.7
平成26,2014,1,13300,,郡部,All gun,13732.76,851.03,23.82,195.33,378.33,253.55,7.79,715.33,10558.28,508.94,2.07,191.34,897.98
平成26,2014,3,13303,1,瑞穂町,Mizuho-machi,939.14,481.06,12.78,177.15,234.45,56.67,-,267.44,58.39,0.14,-,79.67,52.44
平成26,2014,3,13305,2,日の出町,Hinode-machi,1619.54,240.49,11.04,18.18,130.86,80.42,2.74,145.92,891.12,173.54,-,67.48,98.26
平成26,2014,3,13307,3,檜原村,Hinohara-mura,4631.99,43.19,-,-,-,43.19,0.32,180.2,3883.49,314.18,-,14.76,195.86
平成26,2014,3,13308,4,奥多摩町,Okutama-machi,6542.08,86.3,-,-,13.02,73.28,4.74,121.78,5725.28,21.08,2.07,29.42,551.42
平成26,2014,1,13350,,島部,All islands,13711.96,780.28,-,-,330.9,449.38,1.21,2485.45,5771.93,106.9,-,312.64,4253.55
平成26,2014,2,13360,,大島支庁,Oshima-shicho,5669.75,378.24,-,-,52.19,326.05,-,1313.48,2366.6,42.57,-,98.96,1469.9
平成26,2014,3,13361,1,大島町,Oshima-machi,4342.85,283.16,-,-,52.19,230.97,-,921.06,1790.32,34.98,-,90.23,1223.11
平成26,2014,3,13362,2,利島村,Toshima-mura,233.06,5.97,-,-,-,5.97,-,25.94,152.44,7.59,-,1.49,39.64
平成26,2014,3,13363,3,新島村,Niijima-mura,587.82,66.78,-,-,-,66.78,-,231.22,192.39,-,-,6.28,91.15
平成26,2014,3,13364,4,神津島村,Kozushima-mura,506.02,22.33,-,-,-,22.33,-,135.26,231.45,-,-,0.97,116.01
平成26,2014,2,13380,,三宅支庁,Miyake-shicho,3173.16,95.06,-,-,-,95.06,-,655.22,1351.12,34.28,-,186.09,851.39
平成26,2014,3,13381,1,三宅村,Miyake-mura,2844.46,91.18,-,-,-,91.18,-,621.32,1109.1,34.28,-,186.09,802.49
平成26,2014,3,13382,2,御蔵島村,Mikurajima-mura,328.7,3.88,-,-,-,3.88,-,33.9,242.02,-,-,-,48.9
平成26,2014,2,13400,,八丈支庁,Hachijo-shicho,4314.73,286.76,-,-,278.71,8.05,1.21,489.6,1945.78,30.03,-,25.62,1535.73
平成26,2014,3,13401,1,八丈町,Hachijo-machi,4182.93,278.71,-,-,278.71,-,1.21,478.51,1917.16,8.42,-,24.86,1474.06
平成26,2014,3,13402,2,青ヶ島村,Aogashima-mura,131.8,8.05,-,-,-,8.05,-,11.09,28.62,21.6,-,0.77,61.67
平成26,2014,2,13420,,小笠原支庁,Ogasawara-shicho,554.32,20.23,-,-,-,20.23,-,27.16,108.42,0.02,-,1.96,396.54
平成26,2014,3,13421,1,小笠原村,Ogasawara-mura,554.32,20.23,-,-,-,20.23,-,27.16,108.42,0.02,-,1.96,396.54
,,,,,,,,,,,,,,,,,,,
