年度,Fiscal year,区分,Classification,都バス Toei Bus／使用車両数 Vehicles used(両 vehicles),都バス Toei Bus／走行キロ数 Distance traveled(1000km),都バス Toei Bus／乗車人員 Boarding passengers／総数 Total(千人 in thousands),都バス Toei Bus／乗車人員 Boarding passengers／定期 Commuter Pass(千人 in thousands),都バス Toei Bus／乗車人員 Boarding passengers／普通 Tickets(千人 in thousands),都バス Toei Bus／乗車料収入 Passenger fare／総数 Total(千円 in 1000yen),都バス Toei Bus／乗車料収入 Passenger fare／定期 Commuter Pass(千円 in 1000yen),都バス Toei Bus／乗車料収入 Passenger fare／普通 Tickets(千円 in 1000yen),都バス Toei Bus／燃料消費量 Fuel consumption(kl),都バス Toei Bus／1日1車平均 Average per vehicle per day／走行キロ数 Distance traveled(km),都バス Toei Bus／1日1車平均 Average per vehicle per day／乗車人員 Boarding passengers(人 passengers),都バス Toei Bus／1日1車平均 Average per vehicle per day／乗車料収入 Passenger fare revenue(円 yen)
平成21,2009,,,442267,47532,204248,76743,127505,33610613,11129789,22480824,19549,108,462,75996
平成21,2009,消費税差引後,Exclude consumption tax,,,,,,32369229,10958920,21410309,,,,73171
平成22,2010,,,442044,47274,201212,78045,123167,33082238,11322487,21759751,20406,107,455,74839
平成22,2010,消費税差引後,Exclude consumption tax,,,,,,31869813,11146241,20723572,,,,72096
平成23,2011,,,442942,47326,202763,78427,124336,33307281,11394893,21912388,20804,107,458,75196
平成23,2011,消費税差引後,Exclude consumption tax,,,,,,32088121,11219181,20868940,,,,72443
平成24,2012,,,443988,47231,211452,86705,124747,34550956,12587448,21963508,21098,106,476,77820
平成24,2012,消費税差引後,Exclude consumption tax,,,,,,33326551,12408924,20917627,,,,75062
平成25,2013,,,441007,46821,212025,87857,124168,34610331,12762199,21848132,20782,106,481,78480
平成25,2013,消費税差引後,Exclude consumption tax,,,,,,33386616,12578871,20807745,,,,75705
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (3)　都バスの運輸成績 （平成21～25年度） 4-9  OPERATIONS OF TOEI TRANSPORTATION  (3)  OPERATIONS OF TOEI BUSES ( Fiscal Years 2009-2013),,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
