年次,Year,月次 ,Month,事業所数 (店) Number of Establishments (stores),営業日数 (日) Business Days (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成21,2009,総数,Total,307,363.2,38256,1487,1185363,30895,71487,16460,28727,731379,6793,31916,38332,226073,3300,3563
平成22,2010,総数,Total,322,363.1,38878,1509,1202590,24500,68293,22010,21781,746449,6492,36916,39422,233866,2861,3667
平成23,2011,総数,Total,332,362.9,38589,1518,1197752,24921,65218,21375,18369,753074,4945,34345,39322,233790,2394,3020
平成24,2012,総数,Total,334,363.6,37915,1517,1185116,27639,63626,13973,22963,754924,7670,28621,34199,229373,2129,3050
平成25,2013,総数,Total,339,363.4,37779,1517,1168461,27754,60553,12107,22775,754688,6120,22554,34005,225941,1964,2974
平成25,2013,1,Jan.,335,30.5,36853,1517,94700,2410,4961,1051,1984,61032,617,2281,2527,17673,164,239
平成25,2013,2,Feb.,334,27.9,35469,1511,85817,1550,3776,711,1459,57465,468,1887,2270,16072,158,183
平成25,2013,3,Mar.,334,30.9,36098,1518,98750,2114,5331,843,2015,62827,509,2491,2864,19584,173,257
平成25,2013,4,Apr.,336,29.9,36269,1533,95151,2194,5080,817,2004,60933,450,2089,2840,18580,165,259
平成25,2013,5,May,335,30.9,36321,1529,96227,2402,5528,922,2007,61255,480,2162,2880,18426,165,214
平成25,2013,6,June,332,29.9,36174,1512,97727,2840,5696,1137,1987,62442,512,1613,2933,18406,161,237
平成25,2013,7,July,334,30.9,36680,1516,99736,2436,5806,1232,1939,64396,493,1747,2990,18533,165,287
平成25,2013,8,Aug.,334,30.9,36417,1519,94283,1889,4343,834,1787,61792,391,1539,2784,18757,167,198
平成25,2013,9,Sept.,334,29.9,35992,1515,92481,1647,3982,837,1762,61527,401,1339,2689,18136,160,206
平成25,2013,10,Oct.,335,30.9,36161,1517,95259,2351,4998,1059,1903,62136,528,1462,2746,17916,159,199
平成25,2013,11,Nov.,336,29.9,36167,1516,96655,2762,5359,1208,1807,61912,587,1638,2748,18482,154,282
平成25,2013,12,Dec.,339,30.9,37779,1517,121677,3157,5694,1456,2121,76972,684,2307,3735,25378,173,414
平成25,2013,区部(再掲),All ku ( Relisted ),225,363.9,24526,933,785845,18028,39130,8515,14508,494693,4042,15601,23585,166004,1741,2209
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-3  大型小売店販売額 (2) スーパー (平成21～25年) 12-3  LARGE-SCALE RETAIL STORE SALES (2) SUPERMARKETS ( 2009-2013 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，従業者50人以上の百貨店及びスーパーをいう。 ,,,,,,,,,,,,,,,,,,,
売場面積の50％以上についてセルフサービス方式を採用している事業所であって，売場面積が1，500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Supermarkets are establishments adopting a self-service system on 50 percent or more of their floor space and have a floor space of 1，500m2 or more.,,,,,,,,,,,,,,,,,,,
注) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業販売統計年報」  Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
