年度末,End of fiscal year,資産 Assets／貸出金 Loans and bills discounted,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／貸付金 Loans,資産 Assets／現金 Cash,資産 Assets／預け金 Due from banks,資産 Assets／有価証券 Securities,資産 Assets／コールローン Call loans,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／当座預金 Current deposits,負債 Liabilities／預金 Deposits／普通預金 Ordinary deposits,負債 Liabilities／預金 Deposits／定期預金 Time deposits,負債 Liabilities／預金 Deposits／定期積金 Installment savings,負債 Liabilities／預金 Deposits／その他の預金 Other deposits,負債 Liabilities／借用金 Borrowed money
平成21,2009,12251784,241883,12009899,266077,4327641,5276903,200368,21609162,469107,6081179,13337155,1304967,416754,57283
平成22,2010,12014704,243740,11770962,258844,5429178,4963139,19130,21935807,477117,6247931,13520264,1269045,421447,57567
平成23,2011,11914751,253503,11661212,261527,5620566,5235961,173128,22353332,498400,6575673,13726808,1188640,363741,62976
平成24,2012,11853376,230003,11623373,258024,5869646,5603482,111299,22691693,507828,6905653,13771538,1132268,374406,74363
平成25,2013,11969096,202583,11766479,236549,6144629,5704774,68046,23068906,506970,7257785,13839682,1070854,393549,98638
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,
15-2  中小企業金融機関の主要勘定 (1) 信用金庫  (平成21～25年度末) 15-2  MAIN ACCOUNTS OF FINANCIAL INSTITUTIONS FOR SMALL BUSINESSES (1) SHINKIN BANKS ( End of Fiscal Years 2009-2013 ),,,,,,,,,,,,,,,
注 1) 貸付金の中に当座貸越金を含む。 定期積金の中に据え置き預金を含む。,,,,,,,,,,,,,,,
"Note: 1) ""Loans"" include overdrafts. ""Installment savings"" include deferred deposits.",,,,,,,,,,,,,,,
資料：東京都信用金庫協会 Source: Tokyo Association of Shinkin Banks,,,,,,,,,,,,,,,
(単位  百万円) (In millions of yen),,,,,,,,,,,,,,,
