年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
平成25,2013,2,13207,昭島市,Akishima-shi,,6644,3966,-,16,138,20,13,-,-,991,1500
平成25,2013,2,13208,調布市,Chofu-shi,,9482,4665,-,82,336,274,16,-,-,1040,3069
平成25,2013,2,13209,町田市,Machida-shi,,27725,8065,-,125,489,548,7,-,-,9830,8661
平成25,2013,2,13210,小金井市,Koganei-shi,,3154,654,-,-,368,179,20,-,-,1179,754
平成25,2013,2,13211,小平市,Kodaira-shi,,8287,5470,-,14,284,27,11,-,-,21,2460
平成25,2013,2,13212,日野市,Hino-shi,,10098,2908,-,8,203,654,37,12,17,906,5353
平成25,2013,2,13213,東村山市,Higashimurayama-shi,,8330,5686,-,35,139,91,-,-,-,622,1757
平成25,2013,2,13214,国分寺市,Kokubunji-shi,,3035,1687,-,3,469,20,13,-,-,-,843
平成25,2013,2,13215,国立市,Kunitachi-shi,,4963,2035,-,470,62,-,-,-,-,-,2396
平成25,2013,2,13218,福生市,Fussa-shi,,3618,757,-,2,24,332,5,-,-,1634,864
平成25,2013,2,13219,狛江市,Komae-shi,,2725,1801,-,-,80,45,3,-,-,786,10
平成25,2013,2,13220,東大和市,Higashiyamato-shi,,5239,3083,-,3,29,29,1,-,-,2094,-
平成25,2013,2,13221,清瀬市,Kiyose-shi,,7287,3826,-,40,-,137,1,-,13,1140,2130
平成25,2013,2,13222,東久留米市,Higashikurume-shi,,7836,2555,-,9,144,-,2,22,45,2865,2194
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,,4487,4245,-,1,-,28,-,-,-,-,213
平成25,2013,2,13224,多摩市,Tama-shi,,13146,4963,-,4,114,132,1,-,-,1630,6302
平成25,2013,2,13225,稲城市,Inagi-shi,,4487,1160,-,146,119,10,-,-,-,1650,1402
平成25,2013,2,13227,羽村市,Hamura-shi,,1342,349,-,1,21,131,-,-,-,-,840
平成25,2013,2,13228,あきる野市,Akiruno-shi,,169,-,-,-,-,169,-,-,-,-,-
平成25,2013,2,13229,西東京市,Nishitokyo-shi,,11384,5481,-,179,477,52,39,-,-,901,4255
平成25,2013,1,13300,郡部,All gun,,1283,978,-,17,-,204,84,-,-,-,-
平成25,2013,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
平成25,2013,2,13305,日の出町,Hinode-machi,,65,-,-,-,-,65,-,-,-,-,-
平成25,2013,2,13308,奥多摩町,Okutama-machi,,85,-,-,-,-,44,41,-,-,-,-
平成25,2013,2,13307,檜原村,Hinohara-mura,,66,-,-,-,-,23,43,-,-,-,-
平成25,2013,1,13350,島部,All islands,,1535,-,393,-,-,1116,26,-,-,-,-
平成25,2013,1,99999,* 都外,* Out of Tokyo-to,3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数（平成22～平成25年度末） 3-5  RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year  2010-2013 ）,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。,,,,,,,,,,,,,,,,,
3) ＊神奈川県相模原市所在の引揚者住宅。,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は，公営：公営住宅，借上公営住宅 ／その他：特定公共賃貸住宅，特定優良賃貸住宅，改良住宅，区市町村単独住宅等。,,,,,,,,,,,,,,,,,
Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority of the residential units are located.,,,,,,,,,,,,,,,,,
2) Welfare housing etc. includes repatriation housing and Ogasawara housing.,,,,,,,,,,,,,,,,,
3) * Repatriation housing located in Kanagawa prefecture.,,,,,,,,,,,,,,,,,
"4) Municipal housing's ""public"" is public housing and leased public housing， and ""others"" include  specified public rental housing， specified good quality rental housing， upgraded housing， and housing built without state subsidies.",,,,,,,,,,,,,,,,,
資料：都都市整備局総務部企画経理課「事業概要」　　Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部・都外　2:区市町村）,,,,,,,,,,,,,,,,,
