地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,55499,15045565,336074519,40680,4489443,77884293,119,805565,25652977,3277,5536530,134746709,10874,4178074,97631596,17,1169,13802,532,34784,145142
1,13100,,区部,All ku,33518,10570888,248359907,23321,2611526,46376756,104,664482,21125164,2634,4295199,105041918,7174,2983652,75705487,10,958,9717,275,15071,100865
5,13101,1,千代田区,Chiyoda-ku,201,738773,24349284,14,1180,21912,11,140435,5321889,44,128234,3702545,97,466608,15299263,-,-,-,35,2316,3675
5,13102,2,中央区,Chuo-ku,176,671058,17600889,27,2314,41593,10,24048,817880,69,472249,11025496,69,172248,5713946,-,-,-,1,199,x
5,13103,3,港区,Minato-ku,469,393632,11062165,123,15205,277474,11,41042,1399827,128,260284,7288850,193,76334,2091783,-,-,-,14,767,4231
5,13104,4,新宿区,Shinjuku-ku,871,391596,10848151,445,51312,948793,3,3326,89500,148,194360,4980097,247,141585,4826084,-,-,-,28,1013,3677
5,13105,5,文京区,Bunkyo-ku,749,318496,8048052,440,50573,944453,6,51737,1438150,99,145897,3845734,201,70254,1819457,1,11,x,2,24,x
5,13106,6,台東区,Taito-ku,424,228093,6080407,175,17870,351605,4,4949,154000,91,151516,4001944,153,53735,1572758,-,-,-,1,23,x
5,13107,7,墨田区,Sumida-ku,802,346755,7944075,432,46253,789250,2,1163,33230,134,236755,5603123,233,62484,1518372,-,-,-,1,100,x
5,13108,8,江東区,Koto-ku,1073,855926,21436160,468,51926,898298,12,344631,10112190,112,278915,6692566,443,177144,3724536,1,13,x,37,3297,8560
5,13109,9,品川区,Shinagawa-ku,1141,344388,8088217,769,84742,1588868,1,82,x,131,176969,4542402,238,82551,1954147,-,-,-,2,44,x
5,13110,10,目黒区,Meguro-ku,1010,225640,5217195,671,85130,1564993,7,2432,85000,111,94569,2444969,215,43220,1117933,-,-,-,6,289,4300
5,13111,11,大田区,Ota-ku,2524,684011,12474902,1867,206454,3690402,5,1225,29113,176,192020,4323525,466,283028,4417347,3,364,4300,7,920,10215
5,13112,12,世田谷区,Setagaya-ku,4143,781983,16812931,3074,360535,6745262,5,3445,100116,288,243478,5735932,744,173340,4227921,1,16,x,31,1169,3300
5,13113,13,渋谷区,Shibuya-ku,703,358343,10327117,369,45734,823711,6,12763,512100,153,154000,4488140,171,145292,4499537,1,469,x,3,85,300
5,13114,14,中野区,Nakano-ku,1227,325814,6813153,863,99902,1751460,4,2042,55800,89,160696,3514031,264,62567,1483207,-,-,-,7,607,8655
5,13115,15,杉並区,Suginami-ku,2733,477118,9843507,2113,231772,4267329,5,202,3202,138,136171,2900894,458,108297,2663294,1,44,x,18,632,7788
