地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,"162,557",94,1,16,7,120,3,121,5,193,103,191,3,"4,576","3,148",4,391,481,"7,756","110,213","6,965",161,537,4,1,23,"1,358","6,434",652,"1,172",134,"17,178",512
1,13100,区部,All ku,,,,"119,253",69,1,10,5,77,2,95,5,145,75,146,3,"3,650","2,546",4,290,368,"5,597","80,439","5,299",134,449,4,1,15,"1,012","4,897",509,840,95,"12,052",419
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,462, -, -, -, -, -, -,1, -, -, -, -, -,26,17, -,1,5,21,276,32,1,4, -, -, -,1,13,5,7, -,39,13
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,"1,126",1, -, -, -, -, -, -, -, -, -, -, -,69,22, -,1,3,3,888,36, -,6, -, -, -,15,40,1,1, -,37,3
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,615, -, -, -, -, -, -, -, -,1,1,2, -,33,13, -,4,3,21,390,30,2,2,2, -, -,7,38,2,10,1,49,4
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,"1,532",1, -, -, -,2, -,2, -, -, -, -, -,67,29, -,7,23,42,"1,070",82,3,13, -, -, -,10,85,5,7, -,79,5
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,771, -, -, -, -, -, -, -, -,1, -,3, -,52,22, -,2,1,28,445,63,4,3, -, -, -,4,66,6,8, -,55,8
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,397, -, -, -, -,1, -,1, -, -,1, -, -,11,11, -,2,3,13,244,25,1,1, -, -, -,4,24, -,5, -,48,2
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,"1,232",2, -, -, -, -,1,1, -, -,3,3, -,37,29, -,4,3,44,909,55,7,9, -, -,3,4,31,8,5, -,71,3
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,331, -, -, -, -, -, -, -, -, -, -,1, -,14,10, -,2,1,10,208,20, -,7, -, -, -,3,15,5,1, -,32,2
