年次,Year,月次 ,Month,総数 Total,立会市場 Auction Trades／計 Total,立会市場 Auction Trades／普通取引 Regular way,立会市場 Auction Trades／発行日取引 When-issued,立会市場 Auction Trades／立会外分売 Off-floor sell,ToSTNeT市場 ToSTNeT
平成21,2009,総数,Total,552098670,515683532,515678559,-,2263,36415138
平成22,2010,総数,Total,511695772,471258716,471253968,-,1679,40437055
平成23,2011,総数,Total,524646368,478160405,478155990,-,1144,46485963
平成24,2012,総数,Total,519754423,464401756,464391837,-,5712,55352667
平成25,2013,総数,Total,841857965,774518917,774485197,-,5532,67339047
平成25,2013,1,Jan.,72868463,67363936,67361956,-,-,5504527
平成25,2013,2,Feb.,76545161,71397586,71396334,-,1222,5147574
平成25,2013,3,Mar.,71130774,64695855,64694982,-,834,6434918
平成25,2013,4,Apr.,96783554,90578235,90578058,-,-,6205318
平成25,2013,5,May,105036974,97997304,97971847,-,-,7039669
平成25,2013,6,June,71101621,66507563,66507253,-,300,4594058
平成25,2013,7,July,64812973,59697112,59695941,-,978,5115861
平成25,2013,8,Aug.,49882825,45371006,45370155,-,850,4511818
平成25,2013,9,Sept.,61513346,56755786,56755706,-,-,4757560
平成25,2013,10,Oct.,59533755,53436342,53436169,-,-,6097412
平成25,2013,11,Nov.,56611481,50757802,50756734,-,1030,5853679
平成25,2013,12,Dec.,56037034,49960384,49960055,-,315,6076649
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (1) 第一部 (平成21～25年) 15-7  SALES VOLUME BY TYPE OF TRADING (1) THE 1st SECTION ( 2009-2013 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
注 1) 立会市場の計及びToSTNeT市場には，それぞれの過誤訂正分を含む。,,,,,,,,,
Note: 1) Figures in the ToSTNeT and Auction Trades (total) columns include corrections.,,,,,,,,,
資料：(株)東京証券取引所 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
