選挙区階層,地域コード,選挙区,Voting district,マーク Mark,定数 Fixed number,総数 Total,会派別 By Party／東京都議会自由民主党 Liberal Democratic Party,会派別 By Party／都議会公明党 Tokyo Komei,会派別 By Party／日本共産党東京都議会議員団 Japanese Communist Party,会派別 By Party／都議会民主党 The Democratic Party of Japan,会派別 By Party／都議会結いと維新 United and Restoration Party,会派別 By Party／みんなの党 Tokyo Your Party Tokyo,会派別 By Party／都議会生活者ネットワーク Seikatsusha Network,会派別 By Party／無所属 (深呼吸のできる東京) Tokyo Fresh Air Party,会派別 By Party／無所属 (都議会再生) Togikai Saisei
3,13123,江戸川区,Edogawa-ku,,5,5,2,1,1,-,-,1,-,-,-
1,15300,市郡部,All shi and gun,,37,37,19,3,2,10,1,1,1,-,-
3,13201,八王子市,Hachioji-shi,,5,5,2,1,1,-,-,1,-,-,-
3,13202,立川市,Tachikawa-shi,,2,2,1,-,-,1,-,-,-,-,-
3,13203,武蔵野市,Musashino-shi,,1,1,1,-,-,-,-,-,-,-,-
3,13204,三鷹市,Mitaka-shi,,2,2,1,-,-,1,-,-,-,-,-
3,13205,青梅市,Ome-shi,,1,1,1,-,-,-,-,-,-,-,-
3,13206,府中市,Fuchu-shi,,2,2,1,-,-,1,-,-,-,-,-
3,13207,昭島市,Akishima-shi,,1,1,1,-,-,-,-,-,-,-,-
3,13209,町田市,Machida-shi,,3,3,1,1,-,1,-,-,-,-,-
3,13210,小金井市,Koganei-shi,,1,1,1,-,-,-,-,-,-,-,-
3,13211,小平市,Kodaira-shi,,2,2,1,-,-,1,-,-,-,-,-
3,13212,日野市,Hino-shi,,2,2,1,-,-,1,-,-,-,-,-
3,13229,西東京市,Nishitokyo-shi,,2,2,1,-,-,1,-,-,-,-,-
2,,西多摩,Nishitama ,1),2,2,1,-,-,1,-,-,-,-,-
2,,南多摩,Minamitama ,2),2,2,1,-,-,-,1,-,-,-,-
2,,北多摩第1,Kitatama 1 ,3),3,3,1,1,1,-,-,-,-,-,-
2,,北多摩第2,Kitatama 2 ,4),2,2,1,-,-,-,-,-,1,-,-
2,,北多摩第3,Kitatama 3 ,5),2,2,1,-,-,1,-,-,-,-,-
2,,北多摩第4,Kitatama 4 ,6),2,2,1,-,-,1,-,-,-,-,-
1,13350,島部,All islands  ,,1,1,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-4  選挙区，会派別都議会議員数 （平成26年10月1日） 22-4  MEMBERS OF THE TOKYO METROPOLITAN ASSEMBLY BY ELECTORAL DISTRICT AND AFFILIATED PARTY ( Oct. 1， 2014 ),,,,,,,,,,,,,,,
注1) 福生市，羽村市，あきる野市，瑞穂町，日の出町，檜原村，奥多摩町    ,,,,,,,,,,,,,,,
2) 多摩市，稲城市   ,,,,,,,,,,,,,,,
3) 東村山市，東大和市，武蔵村山市   ,,,,,,,,,,,,,,,
4) 国分寺市，国立市   ,,,,,,,,,,,,,,,
5) 調布市，狛江市 ,,,,,,,,,,,,,,,
6) 清瀬市，東久留米市   ,,,,,,,,,,,,,,,
Note:1) Fussa-shi， Hamura-shi， Akiruno-shi， Mizuho-machi， Hinode-machi， Hinohara-mura and Okutama-machi ,,,,,,,,,,,,,,,
2) Tama-shi and Inagi-shi     ,,,,,,,,,,,,,,,
3) Higashimurayama-shi， Higashiyamato-shi and Musashimurayama-shi    ,,,,,,,,,,,,,,,
4) Kokubunji-shi and Kunitachi-shi   ,,,,,,,,,,,,,,,
5) Chofu-shi and Komae-shi     ,,,,,,,,,,,,,,,
6) Kiyose-shi and Higashikurume-shi ,,,,,,,,,,,,,,,
資料：都議会局管理部総務課 Source: Secretariat to the Tokyo Metropolitan Assembly   ,,,,,,,,,,,,,,,
選挙区階層（0:東京都総数　1:区部・市郡部・島部　2:西多摩・南多摩・北多摩　3:区市町村）,,,,,,,,,,,,,,,
