地域階層,地域コード,地域,District,総数 Total／所有者数 Number of owners,総数 Total／面積 Area,個人 Individual／所有者数 Number of owners,個人 Individual／面積 Area,法人 Companies／所有者数 Number of owners,法人 Companies／面積 Area
0,13100,区部,All ku,1238181,302837,1153661,213553,84520,89284
1,13101,千代田区,Chiyoda-ku,8991,3643,5563,671,3428,2972
1,13102,中央区,Chuo-ku,13226,3299,8826,788,4400,2511
1,13103,港区,Minato-ku,18996,8174,14075,2071,4921,6103
1,13104,新宿区,Shinjuku-ku,38207,8715,33364,5049,4843,3666
1,13105,文京区,Bunkyo-ku,28340,5135,25721,3403,2619,1733
1,13106,台東区,Taito-ku,27236,4392,23073,2557,4163,1834
1,13107,墨田区,Sumida-ku,32060,6372,29049,4066,3011,2306
1,13108,江東区,Koto-ku,33363,13383,29552,4063,3811,9319
1,13109,品川区,Shinagawa-ku,44423,12179,41076,6028,3347,6150
1,13110,目黒区,Meguro-ku,38055,8310,35518,6308,2537,2001
1,13111,大田区,Ota-ku,92259,23519,86337,16172,5922,7348
1,13112,世田谷区,Setagaya-ku,131438,33501,125769,26959,5669,6541
1,13113,渋谷区,Shibuya-ku,28364,7207,24290,4069,4074,3138
1,13114,中野区,Nakano-ku,49682,9529,46971,7717,2711,1812
1,13115,杉並区,Suginami-ku,93483,20965,89683,17941,3800,3024
1,13116,豊島区,Toshima-ku,38017,7489,34959,5442,3058,2047
1,13117,北区,Kita-ku,41362,9702,39119,6121,2243,3581
1,13118,荒川区,Arakawa-ku,25226,5317,23498,3588,1728,1729
1,13119,板橋区,Itabashi-ku,65464,16439,62005,12028,3459,4411
1,13120,練馬区,Nerima-ku,120699,29381,117167,26115,3532,3266
1,13121,足立区,Adachi-ku,101016,27075,96765,21274,4251,5802
1,13122,葛飾区,Katsushika-ku,71605,16439,68626,13194,2979,3245
1,13123,江戸川区,Edogawa-ku,96669,22672,92655,17928,4014,4744
0,13200,市部,All shi,860325,429997,834493,328742,25832,101255
1,13201,八王子市,Hachioji-shi,119970,90907,116189,63741,3781,27166
1,13202,立川市,Tachikawa-shi,29709,13907,28577,10500,1132,3407
1,13203,武蔵野市,Musashino-shi,22020,6780,20953,5158,1067,1622
1,13204,三鷹市,Mitaka-shi,31434,10433,30502,8814,932,1620
1,13205,青梅市,Ome-shi,35423,60370,34313,41873,1110,18497
1,13206,府中市,Fuchu-shi,41611,15109,40436,11177,1175,3931
1,13207,昭島市,Akishima-shi,20414,9130,19671,5903,743,3228
1,13208,調布市,Chofu-shi,36490,12068,35307,9947,1183,2122
1,13209,町田市,Machida-shi,92383,42107,90272,34812,2111,7295
1,13210,小金井市,Koganei-shi,22859,6653,22204,5827,655,827
1,13211,小平市,Kodaira-shi,45402,13855,44011,10812,1391,3043
1,13212,日野市,Hino-shi,38473,14525,37569,11232,904,3293
1,13213,東村山市,Higashimurayama-shi,32132,9967,31411,8693,721,1273
1,13214,国分寺市,Kokubunji-shi,26284,8060,25459,6838,825,1221
1,13215,国立市,Kunitachi-shi,13627,4802,13081,3994,546,808
1,13218,福生市,Fussa-shi,10574,3886,10218,3302,356,584
1,13219,狛江市,Komae-shi,14348,3909,14018,3500,330,409
1,13220,東大和市,Higashiyamato-shi,17667,6077,17249,5278,418,799
1,13221,清瀬市,Kiyose-shi,13250,5933,12992,5181,258,752
1,13222,東久留米市,Higashikurume-shi,31512,8511,30834,7229,678,1282
1,13223,武蔵村山市,Musashimurayama-shi,18600,8941,18080,7326,520,1615
1,13224,多摩市,Tama-shi,37940,10170,37208,6692,732,3478
1,13225,稲城市,Inagi-shi,12220,9309,11891,6038,329,3271
1,13227,羽村市,Hamura-shi,12545,6112,12200,4231,345,1881
1,13228,あきる野市,Akiruno-shi,26860,37932,26217,31508,643,6424
1,13229,西東京市,Nishitokyo-shi,56578,10543,53631,9135,2947,1408
,,,,,,,,,
東京都統計年鑑 （平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,
1-4  区市別，所有者別土地所有状況（全地目）（平成25年）1-4  LAND OWNERSHIP BY MUNICIPALITY AND OWNER ( ALL LAND CLASSIFICATION ）( 2013 ),,,,,,,,,
注1) 課税資料（平成25年1月1日)より作成。,,,,,,,,,
2) 面積は評価総地積(免税点未満を含む)。,,,,,,,,,
3) 区部は区分所有に係る土地を除く。,,,,,,,,,
4) 端数処理のため，各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,
Note:1) Material prepared from taxation data (Jan. 1， 2013).,,,,,,,,,
2) Total appraised area (including land under the tax exemption limit).,,,,,,,,,
3) Ku area excludes land coming under condominium unit ownership.,,,,,,,,,
4) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,
資料：都都市整備局都市づくり政策部広域調整課 「東京の土地(土地関係資料集)」 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:区部・市部　1:区市町村）,,,,,,,,,
（単位　面積　千m2）(Area in 1，000 m2),,,,,,,,,
